,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.01,results_full_domain_appears_checkngo.com,230,70,0.19333333333333333,0.196,0.186,1.05,300,rural,urban,0.8533827082205911,rural
1,0.012,results_top_three_domain_appears_checkngo.com,230,70,0.023333333333333334,0.026,0.014,1.83,300,rural,urban,0.5071311220940975,rural
2,0.004,results_top_domain_appears_checkngo.com,230,70,0.0033333333333333335,0.004,0.0,inf,300,rural,urban,0.31836599420477074,rural
3,0.014,results_full_domain_appears_cashnetusa.com,230,70,0.2966666666666667,0.3,0.286,1.05,300,rural,urban,0.8188884192218249,rural
4,0.009,results_top_three_domain_appears_cashnetusa.com,230,70,0.10666666666666667,0.109,0.1,1.09,300,rural,urban,0.834638876444417,rural
5,0.0,results_top_domain_appears_cashnetusa.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
6,0.0,results_full_domain_appears_kingofkash.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
7,0.0,results_top_three_domain_appears_kingofkash.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
8,0.0,results_top_domain_appears_kingofkash.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
9,0.0,results_full_domain_appears_creditloan.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
10,0.0,results_top_three_domain_appears_creditloan.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
11,0.0,results_top_domain_appears_creditloan.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
12,0.0,results_full_domain_appears_lendingclub.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
13,0.0,results_top_three_domain_appears_lendingclub.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
14,0.048,results_top_domain_appears_lendingclub.com,230,70,0.06333333333333334,0.052,0.1,1.92,300,rural,urban,0.22307247861159216,urban
15,0.0,results_full_domain_appears_rocketloans.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
16,0.057,**results_top_three_domain_appears_rocketloans.com,230,70,0.043333333333333335,0.057,0.0,inf,300,rural,urban,0.00026615037837647224,rural
17,0.057,**results_top_domain_appears_rocketloans.com,230,70,0.043333333333333335,0.057,0.0,inf,300,rural,urban,0.00026615037837647224,rural
18,0.0,results_full_domain_appears_amazon.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
19,0.0,results_top_three_domain_appears_amazon.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
20,0.0,results_top_domain_appears_amazon.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
21,0.01,results_full_domain_appears_wellsfargo.com,230,70,0.3933333333333333,0.396,0.386,1.03,300,rural,urban,0.8822039395390152,rural
22,0.014,results_top_three_domain_appears_wellsfargo.com,230,70,0.19666666666666666,0.2,0.186,1.08,300,rural,urban,0.7909235532279485,rural
23,0.007,results_top_domain_appears_wellsfargo.com,230,70,0.08,0.078,0.086,1.1,300,rural,urban,0.8452178119742533,urban
24,0.024,results_full_domain_appears_nerdwallet.com,230,70,0.39,0.396,0.371,1.07,300,rural,urban,0.716499199204441,rural
25,0.0,results_top_three_domain_appears_nerdwallet.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
26,0.0,results_top_domain_appears_nerdwallet.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
27,0.006,results_full_domain_appears_creditkarma.com,230,70,0.23333333333333334,0.235,0.229,1.03,300,rural,urban,0.9146013151762449,rural
28,0.039,results_top_three_domain_appears_creditkarma.com,230,70,0.07,0.061,0.1,1.64,300,rural,urban,0.32335742604162765,urban
29,0.0,results_top_domain_appears_creditkarma.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
30,0.0,results_full_domain_appears_theatlantic.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
31,0.0,results_top_three_domain_appears_theatlantic.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
32,0.0,results_top_domain_appears_theatlantic.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
33,0.0,results_full_domain_appears_citizensbank.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
34,0.017,results_top_three_domain_appears_citizensbank.com,230,70,0.08666666666666667,0.083,0.1,1.21,300,rural,urban,0.6680172132067177,urban
35,0.0,results_top_domain_appears_citizensbank.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
36,0.0,results_full_domain_appears_santanderbank.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
37,0.0,results_top_three_domain_appears_santanderbank.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
38,0.007,results_top_domain_appears_santanderbank.com,230,70,0.02,0.022,0.014,1.52,300,rural,urban,0.6660349454273105,rural
39,0.0,results_full_domain_appears_regions.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
40,0.0,results_top_three_domain_appears_regions.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
41,0.0,results_top_domain_appears_regions.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
42,0.0,results_full_domain_appears_NewsCarousel,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
43,0.0,results_top_three_domain_appears_NewsCarousel,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
44,0.004,results_top_domain_appears_NewsCarousel,230,70,0.0033333333333333335,0.004,0.0,inf,300,rural,urban,0.31836599420477074,rural
45,0.0,results_full_domain_appears_acecashexpress.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
46,0.001,results_top_three_domain_appears_acecashexpress.com,230,70,0.056666666666666664,0.057,0.057,1.01,300,rural,urban,0.9844699678138835,urban
47,0.004,results_top_domain_appears_acecashexpress.com,230,70,0.0033333333333333335,0.004,0.0,inf,300,rural,urban,0.31836599420477074,rural
48,0.0,results_full_domain_appears_usbank.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
49,0.006,results_top_three_domain_appears_usbank.com,230,70,0.01,0.009,0.014,1.64,300,rural,urban,0.7199762873476716,urban
50,0.0,results_top_domain_appears_usbank.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
51,0.0,results_full_domain_appears_lendingtree.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
52,0.0,results_top_three_domain_appears_lendingtree.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
53,0.0,results_top_domain_appears_lendingtree.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
54,0.0,results_full_domain_appears_opploans.com,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
55,0.0,results_top_three_domain_appears_opploans.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
56,0.0,results_top_domain_appears_opploans.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
57,0.0,results_full_domain_appears_avant.com,230,70,0.3,0.3,0.3,1.0,300,rural,urban,1.0,
58,0.045,results_top_three_domain_appears_avant.com,230,70,0.03666666666666667,0.026,0.071,2.74,300,rural,urban,0.16974353792257102,urban
59,0.0,results_top_domain_appears_avant.com,230,70,0.0,0.0,0.0,,300,rural,urban,,
60,0.099,*results_full_domain_appears_debt.org,230,70,0.13333333333333333,0.157,0.057,2.74,300,rural,urban,0.007655641208688556,rural
61,0.052,**results_top_three_domain_appears_debt.org,230,70,0.04,0.052,0.0,inf,300,rural,urban,0.00046671929851735134,rural
62,0.0,results_top_domain_appears_debt.org,230,70,0.0,0.0,0.0,,300,rural,urban,,
63,0.049,results_full_domain_appears_wikipedia.org,230,70,0.22333333333333333,0.235,0.186,1.26,300,rural,urban,0.37018504858405843,rural
64,0.004,results_top_three_domain_appears_wikipedia.org,230,70,0.16,0.161,0.157,1.02,300,rural,urban,0.94082184167177,rural
65,0.0,results_top_domain_appears_wikipedia.org,230,70,0.0,0.0,0.0,,300,rural,urban,,
66,0.0,results_full_domain_appears_quickenloans.com,230,70,0.3,0.3,0.3,1.0,300,rural,urban,1.0,
67,0.009,results_top_three_domain_appears_quickenloans.com,230,70,0.10666666666666667,0.109,0.1,1.09,300,rural,urban,0.834638876444417,rural
68,0.0,results_top_domain_appears_quickenloans.com,230,70,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
69,0.001,results_full_domain_appears_nytimes.com,230,70,0.21333333333333335,0.213,0.214,1.01,300,rural,urban,0.9824421976917904,urban
