,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.099,*results_full_domain_appears_debt.org,230,70,0.13333333333333333,0.157,0.057,2.74,300,rural,urban,0.007655641208688556,rural
1,0.179,*results_full_domain_appears_MapsLocations,230,70,0.42,0.378,0.557,1.47,300,rural,urban,0.009566346678060195,urban
2,0.0,results_full_domain_appears_NewsCarousel,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
3,0.049,results_full_domain_appears_wikipedia.org,230,70,0.22333333333333333,0.235,0.186,1.26,300,rural,urban,0.37018504858405843,rural
4,0.179,*results_full_domain_appears_MapsLocations,230,70,0.42,0.378,0.557,1.47,300,rural,urban,0.009566346678060195,urban
5,0.003,results_full_domain_appears_NewsCarousel,190,207,0.20151133501259447,0.2,0.203,1.01,397,low-income,high-income,0.9428316379288931,high-income
6,0.038,results_full_domain_appears_wikipedia.org,190,207,0.21158690176322417,0.232,0.193,1.2,397,low-income,high-income,0.3527467254743537,low-income
7,0.053,results_full_domain_appears_MapsLocations,190,207,0.4433249370277078,0.416,0.469,1.13,397,low-income,high-income,0.2909545771915657,high-income
8,0.011,results_full_domain_appears_NewsCarousel,340,57,0.20151133501259447,0.2,0.211,1.05,397,GOP,DEM,0.8580499136588848,DEM
9,0.022,results_full_domain_appears_wikipedia.org,340,57,0.21158690176322417,0.215,0.193,1.11,397,GOP,DEM,0.7054313990084214,GOP
10,0.117,results_full_domain_appears_MapsLocations,340,57,0.4433249370277078,0.426,0.544,1.28,397,GOP,DEM,0.10610279132962139,DEM
11,0.057,**results_top_three_domain_appears_rocketloans.com,230,70,0.043333333333333335,0.057,0.0,inf,300,rural,urban,0.00026615037837647224,rural
12,0.052,**results_top_three_domain_appears_debt.org,230,70,0.04,0.052,0.0,inf,300,rural,urban,0.00046671929851735134,rural
13,0.042,*results_top_three_domain_appears_avant.com,190,207,0.042821158690176324,0.021,0.063,2.98,397,low-income,high-income,0.03635449333381708,high-income
14,0.0,results_top_three_domain_appears_NewsCarousel,230,70,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
15,0.004,results_top_three_domain_appears_wikipedia.org,230,70,0.16,0.161,0.157,1.02,300,rural,urban,0.94082184167177,rural
16,0.034,results_top_three_domain_appears_MapsLocations,230,70,0.21666666666666667,0.209,0.243,1.16,300,rural,urban,0.5583697585290023,urban
17,0.002,results_top_three_domain_appears_NewsCarousel,190,207,0.19899244332493704,0.2,0.198,1.01,397,low-income,high-income,0.9617044990390016,low-income
18,0.004,results_top_three_domain_appears_wikipedia.org,190,207,0.16120906801007556,0.163,0.159,1.02,397,low-income,high-income,0.9197040420268675,low-income
19,0.014,results_top_three_domain_appears_MapsLocations,190,207,0.22418136020151133,0.232,0.217,1.07,397,low-income,high-income,0.7359409657370609,low-income
20,0.007,results_top_three_domain_appears_NewsCarousel,340,57,0.19899244332493704,0.2,0.193,1.04,397,GOP,DEM,0.9024006227438744,GOP
21,0.024,results_top_three_domain_appears_wikipedia.org,340,57,0.16120906801007556,0.165,0.14,1.17,397,GOP,DEM,0.6316219135454461,GOP
22,0.046,results_top_three_domain_appears_MapsLocations,340,57,0.22418136020151133,0.218,0.263,1.21,397,GOP,DEM,0.47212632880132455,DEM
23,0.057,**results_top_domain_appears_rocketloans.com,230,70,0.043333333333333335,0.057,0.0,inf,300,rural,urban,0.00026615037837647224,rural
24,0.026,*results_top_domain_appears_santanderbank.com,340,57,0.022670025188916875,0.026,0.0,inf,397,GOP,DEM,0.002582701092114697,GOP
25,0.004,results_top_domain_appears_NewsCarousel,230,70,0.0033333333333333335,0.004,0.0,inf,300,rural,urban,0.31836599420477074,rural
26,0.0,results_top_domain_appears_wikipedia.org,230,70,0.0,0.0,0.0,,300,rural,urban,,
27,0.035,results_top_domain_appears_MapsLocations,230,70,0.17333333333333334,0.165,0.2,1.21,300,rural,urban,0.5212348010458112,urban
28,0.005,results_top_domain_appears_NewsCarousel,190,207,0.0025188916876574307,0.005,0.0,inf,397,low-income,high-income,0.3185890812784755,low-income
29,0.0,results_top_domain_appears_wikipedia.org,190,207,0.0,0.0,0.0,,397,low-income,high-income,,
30,0.005,results_top_domain_appears_MapsLocations,190,207,0.181360201511335,0.179,0.184,1.03,397,low-income,high-income,0.9051098501804451,high-income
31,0.003,results_top_domain_appears_NewsCarousel,340,57,0.0025188916876574307,0.003,0.0,inf,397,GOP,DEM,0.3180237591678173,GOP
32,0.0,results_top_domain_appears_wikipedia.org,340,57,0.0,0.0,0.0,,397,GOP,DEM,,
33,0.034,results_top_domain_appears_MapsLocations,340,57,0.181360201511335,0.176,0.211,1.19,397,GOP,DEM,0.5607912611271362,DEM
