,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_espn.com,380,380,0.011288448393711552,0.011,0.011,1.02,760,rural,urban,0.9422657763573928,urban
1,0.0,results_top_three_domain_frac_espn.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
2,0.0,results_top_domain_frac_espn.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
3,0.001,results_full_domain_frac_twitter.com,380,380,0.014170705025968186,0.014,0.014,1.04,760,rural,urban,0.7927014635937868,urban
4,0.004,results_top_three_domain_frac_twitter.com,380,380,0.03114035087719298,0.033,0.029,1.15,760,rural,urban,0.533765821558097,rural
5,0.0,results_top_domain_frac_twitter.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
6,0.001,results_full_domain_frac_procon.org,380,380,0.01873665807876334,0.019,0.018,1.06,760,rural,urban,0.7337187503089317,rural
7,0.003,results_top_three_domain_frac_procon.org,380,380,0.03114035087719298,0.032,0.03,1.09,760,rural,urban,0.708902410103475,rural
8,0.003,results_top_domain_frac_procon.org,380,380,0.02763157894736842,0.029,0.026,1.1,760,rural,urban,0.8251423896469132,rural
9,0.001,results_full_domain_frac_washingtonpost.com,380,380,0.0171553665632613,0.017,0.018,1.06,760,rural,urban,0.7478449948177415,urban
10,0.0,results_top_three_domain_frac_washingtonpost.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
11,0.0,results_top_domain_frac_washingtonpost.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
12,0.002,results_full_domain_frac_mcdonalds.com,380,380,0.009064531959268802,0.01,0.008,1.26,760,rural,urban,0.6338318082380834,rural
13,0.0,results_top_three_domain_frac_mcdonalds.com,380,380,0.008771929824561403,0.009,0.009,1.0,760,rural,urban,1.0,
14,0.0,results_top_domain_frac_mcdonalds.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,rural,urban,1.0,
15,0.003,results_full_domain_frac_NewsCarousel,380,380,0.07015077758498811,0.072,0.069,1.05,760,rural,urban,0.29282102334798643,rural
16,0.025,*results_top_three_domain_frac_NewsCarousel,380,380,0.2236842105263158,0.236,0.211,1.12,760,rural,urban,0.030654510054233853,rural
17,0.011,results_top_domain_frac_NewsCarousel,380,380,0.28421052631578947,0.289,0.279,1.04,760,rural,urban,0.748078860407642,rural
18,0.0,results_full_domain_frac_cbssports.com,380,380,0.008031442241968558,0.008,0.008,1.0,760,rural,urban,1.0,
19,0.0,results_top_three_domain_frac_cbssports.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
20,0.0,results_top_domain_frac_cbssports.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
21,0.001,results_full_domain_frac_nymag.com,380,380,0.007928475033738192,0.008,0.008,1.08,760,rural,urban,0.7274740958877759,urban
22,0.0,results_top_three_domain_frac_nymag.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
23,0.0,results_top_domain_frac_nymag.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
24,0.001,results_full_domain_frac_cnn.com,380,380,0.0171515984015984,0.017,0.017,1.03,760,rural,urban,0.8283003958958807,urban
25,0.0,results_top_three_domain_frac_cnn.com,380,380,0.008771929824561403,0.009,0.009,1.0,760,rural,urban,1.0,
26,0.0,results_top_domain_frac_cnn.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
27,0.001,results_full_domain_frac_politico.com,380,380,0.0051911830859199285,0.005,0.005,1.11,760,rural,urban,0.7178883818406142,urban
28,0.0,results_top_three_domain_frac_politico.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
29,0.0,results_top_domain_frac_politico.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
30,0.0,results_full_domain_frac_latimes.com,380,380,0.01058535762483131,0.011,0.011,1.0,760,rural,urban,0.994473440580586,rural
31,0.0,results_top_three_domain_frac_latimes.com,380,380,0.008771929824561403,0.009,0.009,1.0,760,rural,urban,1.0,
32,0.0,results_top_domain_frac_latimes.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
33,0.001,results_full_domain_frac_theatlantic.com,380,380,0.023558101255469675,0.024,0.023,1.04,760,rural,urban,0.724962837911576,rural
34,0.0,results_top_three_domain_frac_theatlantic.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
35,0.0,results_top_domain_frac_theatlantic.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
36,0.001,results_full_domain_frac_target.com,380,380,0.010081168831168831,0.01,0.011,1.1,760,rural,urban,0.7909554985870141,urban
37,0.001,results_top_three_domain_frac_target.com,380,380,0.02412280701754386,0.025,0.024,1.04,760,rural,urban,0.916657533286482,rural
38,0.0,results_top_domain_frac_target.com,380,380,0.02894736842105263,0.029,0.029,1.0,760,rural,urban,1.0,
39,0.003,results_full_domain_frac_foxnews.com,380,380,0.013177721401405612,0.014,0.012,1.22,760,rural,urban,0.43674923540312427,rural
40,0.0,results_top_three_domain_frac_foxnews.com,380,380,0.008771929824561403,0.009,0.009,1.0,760,rural,urban,1.0,
41,0.0,results_top_domain_frac_foxnews.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
42,0.005,results_full_domain_frac_MapsLocations,380,380,0.028614203778677464,0.026,0.031,1.21,760,rural,urban,0.11009648951136672,urban
43,0.032,*results_top_three_domain_frac_MapsLocations,380,380,0.08289473684210526,0.067,0.099,1.49,760,rural,urban,0.0018735176138192102,urban
44,0.005,results_top_domain_frac_MapsLocations,380,380,0.002631578947368421,0.0,0.005,inf,760,rural,urban,0.1575725119742948,urban
45,0.0,results_full_domain_frac_youtube.com,380,380,0.0071770334928229675,0.007,0.007,1.0,760,rural,urban,1.0,
46,0.0,results_top_three_domain_frac_youtube.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
47,0.0,results_top_domain_frac_youtube.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
48,0.009,results_full_domain_frac_dominos.com,380,380,0.009933688387635755,0.005,0.015,2.75,760,rural,urban,0.06790448211626952,urban
49,0.001,results_top_three_domain_frac_dominos.com,380,380,0.009210526315789473,0.009,0.01,1.1,760,rural,urban,0.8330045102863021,urban
