,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,13446.0,13446,13446,13446,13446.0,13446,13446,13446,13446,13446,13446.0,13446,13446.0,13446.0,13446.0,13446,13446.0,13446,13446,13446.0,13446.0,11446,11908,13446,13446,11628,13446.0,13446,336,1132,358,237.0,15.0,210.0,584.0,358.0,13446.0,13446.0,13446,1416,13446
unique,,1,1,1,,760,1,20,20,20,,3,,,,537,,38,1,,,1521,1912,1263,557,1098,,9,79,127,40,,,,,,,,539,7,550
top,,successful,google,selenium,,2018-01-04 06:08:50.708696,localhost,39.005441,-94.343326,"64064, Lee's Summit, MO",,popular,,,,"About 289,000,000 results (0.62 seconds) ",,death penalty,,,,Domino's Pizza,"Animal testing, also known as animal experimentation, animal research and in vivo testing, is the use of non-human animals in experiments that seek to control the variables that affect the behavior or biological system under study.",,en.wikipedia.org,Fox News,,results, Rating: 4.6 - ?144 votes,?Leeann Tweeden · ?Norm Coleman · ?Amy Klobuchar · ?Tina Smith,"(function(){var l3=14;var l4=18;var l5=24;var t=15;try {if (t > l3){let n = 3;if (t > l4)n = t <= l5 ?4 :5;document.getElementById('rhs_title').className+=' rhstl'+n;}
}catch (e){};})();People also askWhat is the Second Amendment to the Constitution?The Second Amendment of the United States Constitution reads: ""A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."" Such language has created considerable debate regarding the Amendment's intended scope.Second Amendment | Wex Legal Dictionary / Encyclopedia | LII / Legal ...https://www.law.cornell.edu/wex/second_amendmentSearch for: What is the Second Amendment to the Constitution?What guns are used for?Defensive gun use (DGU) is the use of a firearm in self-defense or defense of others. The frequency of defensive firearms incidents, and their effectiveness in providing safety and reducing crime is a controversial issue in gun politics and criminology.Defensive gun use - Wikipediahttps://en.wikipedia.org/wiki/Defensive_gun_useSearch for: What guns are used for?How many people are killed by guns each year?? More than 100,000 people in America are shot in murders, assaults, suicides & suicide attempts, accidents, or by police intervention. 31,537 people die from gun violence: ? 11,583 people are murdered. ? 18,783 people kill themselves.THERE ARE TOO MANY VICTIMS OF GUN VIOLENCE As a nation ...https://www.bradycampaign.org/.../GunDeathandInjuryStatSheet3YearAverageFINAL.p...Search for: How many people are killed by guns each year?What are the gun laws?Gun laws of the United States are found in a number of federal statutes. These laws regulate the manufacture, trade, possession, transfer, record keeping, transport, and destruction of firearms, ammunition, and firearms accessories.Gun law in the United States - Wikipediahttps://en.wikipedia.org/wiki/Gun_law_in_the_United_StatesSearch for: What are the gun laws?",,,,,,,,wikipedia.org,organization-corporate,wikipedia.org_nan
freq,,13446,13446,13446,,29,13446,691,691,691,,6659,,,,111,,546,13446,,,74,40,720,1386,122,,8531,20,20,20,,,,,,,,1386,955,1386
mean,380.2730923694779,,,,1.0,,,,,,0.0,,3.466904655659676,52210.027219991076,0.44455893212742487,,18.57861073925331,,,0.0,6723.5,,,,,,4.728990034210918,,,,,1.0,1.0,1.0,1.0,1.0,380.2730923694779,19.491521642124052,,,
std,218.94438845630677,,,,0.0,,,,,,0.0,,2.499873891527552,14354.682859486578,0.20506480381290715,,4.012998667806665,,,0.0,3881.6701946455987,,,,,,3.4907138105271494,,,,,0.0,0.0,0.0,0.0,0.0,218.94438845630677,10.945650015218112,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,35035.0,0.127913279133,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,190.0,,,,1.0,,,,,,0.0,,1.0,41102.0,0.277405710257,,16.0,,,0.0,3362.25,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,190.0,10.0,,,
50%,395.0,,,,1.0,,,,,,0.0,,1.0,51391.0,0.452434126751,,18.0,,,0.0,6723.5,,,,,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,395.0,20.0,,,
75%,565.0,,,,1.0,,,,,,0.0,,6.0,57207.0,0.632820450638,,22.0,,,0.0,10084.75,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,1.0,565.0,29.0,,,
max,760.0,,,,1.0,,,,,,0.0,,6.0,96310.0,0.733480189578,,29.0,,,0.0,13446.0,,,,,,14.0,,,,,1.0,1.0,1.0,1.0,1.0,760.0,38.0,,,
