,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_caranddriver.com,380,380,0.004,0.001,3.58,rural
1,*results_full_domain_frac_facebook.com,380,380,0.034,0.025,1.35,rural
2,**results_full_domain_frac_MapsLocations,380,380,0.019,0.03,1.59,urban
3,*results_full_domain_frac_google.com,380,380,0.019,0.012,1.49,rural
4,*results_full_domain_frac_bbc.com,380,380,0.004,0.002,2.48,rural
5,*results_full_domain_frac_foursquare.com,380,380,0.0,0.001,inf,urban
6,*results_full_domain_frac_hondacertified.com,380,380,0.001,0.0,inf,rural
7,*results_full_domain_frac_wikipedia.org,380,380,0.093,0.084,1.1,rural
8,*results_full_domain_frac_linkedin.com,380,380,0.0,0.001,inf,urban
9,**results_full_domain_frac_yelp.com,380,380,0.001,0.007,9.5,urban
10,*results_full_domain_frac_guttmacher.org,380,380,0.002,0.0,5.68,rural
11,*top_ads_full_domain_frac_amnestyusa.org,165,151,0.008,0.0,inf,rural
