,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.009,*results_full_domain_frac_facebook.com,380,380,0.020952574472311313,0.026,0.016,1.56,760,rural,urban,0.002047218002257845,rural
1,0.01,*results_full_domain_frac_wikipedia.org,380,380,0.08668263753790069,0.092,0.082,1.12,760,rural,urban,0.008462672729204404,rural
2,0.001,results_full_domain_frac_twitter.com,380,380,0.014170705025968186,0.014,0.014,1.04,760,rural,urban,0.7927014635937868,urban
3,0.003,results_full_domain_frac_NewsCarousel,380,380,0.07015077758498811,0.072,0.069,1.05,760,rural,urban,0.29282102334798643,rural
4,0.005,results_full_domain_frac_MapsLocations,380,380,0.028614203778677464,0.026,0.031,1.21,760,rural,urban,0.11009648951136672,urban
5,0.0,results_full_domain_frac_youtube.com,380,380,0.0071770334928229675,0.007,0.007,1.0,760,rural,urban,1.0,
6,0.009,*results_full_domain_frac_facebook.com,380,380,0.020952574472311313,0.026,0.016,1.56,760,rural,urban,0.002047218002257845,rural
7,0.002,results_full_domain_frac_UserTweetCarousel,380,380,0.02554354636591479,0.027,0.025,1.08,760,rural,urban,0.5275628419367925,rural
8,0.01,*results_full_domain_frac_wikipedia.org,380,380,0.08668263753790069,0.092,0.082,1.12,760,rural,urban,0.008462672729204404,rural
9,0.025,*results_top_three_domain_frac_NewsCarousel,380,380,0.2236842105263158,0.236,0.211,1.12,760,rural,urban,0.030654510054233853,rural
10,0.032,*results_top_three_domain_frac_MapsLocations,380,380,0.08289473684210526,0.067,0.099,1.49,760,rural,urban,0.0018735176138192102,urban
11,0.004,*results_top_three_domain_frac_facebook.com,380,380,0.0017543859649122805,0.004,0.0,inf,760,rural,urban,0.04535644132133782,rural
12,0.004,results_top_three_domain_frac_twitter.com,380,380,0.03114035087719298,0.033,0.029,1.15,760,rural,urban,0.533765821558097,rural
13,0.025,*results_top_three_domain_frac_NewsCarousel,380,380,0.2236842105263158,0.236,0.211,1.12,760,rural,urban,0.030654510054233853,rural
14,0.032,*results_top_three_domain_frac_MapsLocations,380,380,0.08289473684210526,0.067,0.099,1.49,760,rural,urban,0.0018735176138192102,urban
15,0.0,results_top_three_domain_frac_youtube.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
16,0.004,*results_top_three_domain_frac_facebook.com,380,380,0.0017543859649122805,0.004,0.0,inf,760,rural,urban,0.04535644132133782,rural
17,0.016,results_top_three_domain_frac_UserTweetCarousel,380,380,0.04912280701754385,0.041,0.057,1.38,760,rural,urban,0.06562899583510755,urban
18,0.005,results_top_three_domain_frac_wikipedia.org,380,380,0.12719298245614033,0.13,0.125,1.04,760,rural,urban,0.6911463002578888,rural
19,0.0,results_top_domain_frac_twitter.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
20,0.011,results_top_domain_frac_NewsCarousel,380,380,0.28421052631578947,0.289,0.279,1.04,760,rural,urban,0.748078860407642,rural
21,0.005,results_top_domain_frac_MapsLocations,380,380,0.002631578947368421,0.0,0.005,inf,760,rural,urban,0.1575725119742948,urban
22,0.0,results_top_domain_frac_youtube.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
23,0.0,results_top_domain_frac_facebook.com,380,380,0.0,0.0,0.0,,760,rural,urban,,
24,0.0,results_top_domain_frac_UserTweetCarousel,380,380,0.0,0.0,0.0,,760,rural,urban,,
25,0.0,results_top_domain_frac_wikipedia.org,380,380,0.13157894736842105,0.132,0.132,1.0,760,rural,urban,1.0,
