,add_inc,column,fisher_pval,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.128,*results_full_domain_appears_MapsLocations,0.019830134295721738,180,180,0.5416666666666666,0.478,0.606,1.27,360,rural,urban,0.01491379214365675,urban
1,0.0,results_full_domain_appears_twitter.com,1.0,180,180,0.6666666666666666,0.667,0.667,1.0,360,rural,urban,1.0,
2,0.006,results_full_domain_appears_UserTweetCarousel,1.0,180,180,0.4305555555555556,0.428,0.433,1.01,360,rural,urban,0.9155255917800315,urban
3,0.072,*results_full_domain_appears_yelp.com,0.011458640915493232,180,180,0.06944444444444445,0.033,0.106,3.17,360,rural,urban,0.00702072676890158,urban
4,0.0,results_full_domain_appears_NewsCarousel,1.0,180,180,0.9,0.9,0.9,1.0,360,rural,urban,1.0,
5,0.017,results_full_domain_appears_google.com,0.7842288962126338,180,180,0.18055555555555555,0.189,0.172,1.1,360,rural,urban,0.6820423890873747,rural
6,0.15,*results_full_domain_appears_facebook.com,0.005642822241641376,180,180,0.4361111111111111,0.511,0.361,1.42,360,rural,urban,0.004025903285860688,rural
7,0.0,results_full_domain_appears_apple.com,1.0,180,180,0.12222222222222222,0.122,0.122,1.0,360,rural,urban,1.0,
8,0.006,results_full_code_appears_twitter.com,1.0,180,180,0.49166666666666664,0.494,0.489,1.01,360,rural,urban,0.9163297319535297,rural
9,0.072,*results_full_code_appears_yelp.com:ttiz,0.008345123130976951,180,180,0.06388888888888888,0.028,0.1,3.6,360,rural,urban,0.005073629505910572,urban
10,0.156,*results_full_code_appears_facebook.com:tfo$,0.0022552098030928346,180,180,0.32222222222222224,0.4,0.244,1.64,360,rural,urban,0.0015320579013214143,rural
11,0.178,**results_top_three_domain_appears_MapsLocations,0.0010532543574193391,180,180,0.5111111111111111,0.422,0.6,1.42,360,rural,urban,0.0007008568867849128,urban
12,0.061,results_top_three_domain_appears_twitter.com,0.29014817072992594,180,180,0.4583333333333333,0.428,0.489,1.14,360,rural,urban,0.24580672693069072,urban
13,0.1,*results_top_three_domain_appears_UserTweetCarousel,0.052693249836010383,180,180,0.3111111111111111,0.261,0.361,1.38,360,rural,urban,0.04055703351760732,urban
14,0.089,results_top_three_code_appears_twitter.com,0.10178735584692619,180,180,0.37222222222222223,0.328,0.417,1.27,360,rural,urban,0.08149315644497734,urban
15,0.156,*results_top_three_domain_appears_NewsCarousel,0.0019359624405780348,180,180,0.6944444444444444,0.772,0.617,1.25,360,rural,urban,0.00130414322327539,rural
16,0.039,*results_full_domain_appears_tripadvisor.com,0.08645983720395034,180,180,0.03611111111111111,0.017,0.056,3.33,360,rural,urban,0.04836590644372965,urban
17,0.039,*results_full_code_appears_tripadvisor.com:ttiz,0.08645983720395034,180,180,0.03611111111111111,0.017,0.056,3.33,360,rural,urban,0.04836590644372965,urban
18,0.139,*results_full_domain_appears_wikipedia.org,0.0029966612024965077,180,180,0.7583333333333333,0.828,0.689,1.2,360,rural,urban,0.0020237104689886987,rural
19,0.0,results_full_code_appears_yelp.com:tfo$,1.0,180,180,0.005555555555555556,0.006,0.006,1.0,360,rural,urban,1.0,
20,0.0,results_full_domain_appears_dominos.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
21,0.011,results_full_domain_appears_cnbc.com,0.9008910611050245,180,180,0.23333333333333334,0.228,0.239,1.05,360,rural,urban,0.8038509925156231,urban
22,0.0,results_top_three_domain_appears_dominos.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
23,0.039,results_top_three_domain_appears_cnbc.com,0.3480357875635903,180,180,0.13055555555555556,0.15,0.111,1.35,360,rural,urban,0.27478442435117023,rural
24,0.006,results_full_domain_appears_forbes.com,1.0,180,180,0.058333333333333334,0.061,0.056,1.1,360,rural,urban,0.8226788892568724,rural
25,0.011,results_full_domain_appears_theatlantic.com,0.9069325726651143,180,180,0.2833333333333333,0.289,0.278,1.04,360,rural,urban,0.8156702169344608,rural
26,0.006,results_full_domain_appears_nytimes.com,1.0,180,180,0.39166666666666666,0.389,0.394,1.01,360,rural,urban,0.9143134165327402,urban
27,0.0,results_full_domain_appears_mcdonalds.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
28,0.011,results_full_domain_appears_latimes.com,0.8827885634087997,180,180,0.15,0.156,0.144,1.08,360,rural,urban,0.7686082099652758,rural
29,0.0,results_full_code_appears_twitter.com:tfo$,1.0,180,180,0.1111111111111111,0.111,0.111,1.0,360,rural,urban,1.0,
30,0.0,results_top_three_domain_appears_mcdonalds.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
31,0.011,results_top_three_domain_appears_latimes.com,0.7991107867912051,180,180,0.044444444444444446,0.05,0.039,1.29,360,rural,urban,0.6101893663416078,rural
32,0.011,results_full_domain_appears_cnn.com,0.8973128550996858,180,180,0.2111111111111111,0.206,0.217,1.05,360,rural,urban,0.7968637217101338,urban
33,0.033,*results_top_three_code_appears_twitter.com:tfo$,0.0672788596985921,180,180,0.022222222222222223,0.039,0.006,7.0,360,rural,urban,0.03234522930547699,rural
34,0.0,results_top_three_domain_appears_cnn.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
35,0.0,results_full_domain_appears_target.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
36,0.011,results_full_domain_appears_bloomberg.com,0.9000577797430807,180,180,0.22777777777777777,0.222,0.233,1.05,360,rural,urban,0.8022229418224763,urban
37,0.0,results_top_three_domain_appears_target.com,1.0,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
38,0.044,results_top_three_domain_appears_wikipedia.org,0.3869958047948939,180,180,0.2388888888888889,0.261,0.217,1.21,360,rural,urban,0.32411123168545064,rural
39,0.011,results_full_domain_appears_hbr.org,0.8331708582984452,180,180,0.06666666666666667,0.072,0.061,1.18,360,rural,urban,0.6736399547062542,rural
40,0.006,results_full_domain_appears_wellsfargoadvisors.com,1.0,180,180,0.05277777777777778,0.05,0.056,1.11,360,rural,urban,0.814279128318729,urban
41,0.0,results_full_domain_appears_vanityfair.com,1.0,180,180,0.16666666666666666,0.167,0.167,1.0,360,rural,urban,1.0,
