,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_twitter.com,180,180,0.6666666666666666,0.667,0.667,1.0,360,rural,urban,1.0,
1,0.006,results_full_domain_appears_UserTweetCarousel,180,180,0.4305555555555556,0.428,0.433,1.01,360,rural,urban,0.9155255917800315,urban
2,0.072,*results_full_domain_appears_yelp.com,180,180,0.06944444444444445,0.033,0.106,3.17,360,rural,urban,0.00702072676890158,urban
3,0.15,*results_full_domain_appears_facebook.com,180,180,0.4361111111111111,0.511,0.361,1.42,360,rural,urban,0.004025903285860688,rural
4,0.006,results_full_code_appears_twitter.com,180,180,0.49166666666666664,0.494,0.489,1.01,360,rural,urban,0.9163297319535297,rural
5,0.15,*results_full_code_appears_facebook.comtfo$,180,180,0.3194444444444444,0.394,0.244,1.61,360,rural,urban,0.002206183439980434,rural
6,0.039,*results_full_domain_appears_tripadvisor.com,180,180,0.03611111111111111,0.017,0.056,3.33,360,rural,urban,0.04836590644372965,urban
7,0.139,*results_full_domain_appears_wikipedia.org,180,180,0.7583333333333333,0.828,0.689,1.2,360,rural,urban,0.0020237104689886987,rural
8,0.0,results_full_code_appears_twitter.comtfo$,180,180,0.1111111111111111,0.111,0.111,1.0,360,rural,urban,1.0,
9,0.006,results_full_domain_appears_linkedin.com,180,180,0.05277777777777778,0.05,0.056,1.11,360,rural,urban,0.814279128318729,urban
10,0.006,results_full_code_appears_linkedin.comtfo$,180,180,0.04722222222222222,0.05,0.044,1.12,360,rural,urban,0.8044290459659503,rural
11,0.0,results_full_code_appears_facebook.comtfip,180,180,0.1111111111111111,0.111,0.111,1.0,360,rural,urban,1.0,
12,0.011,results_full_domain_appears_SearchTweetCarousel,180,180,0.06111111111111111,0.067,0.056,1.2,360,rural,urban,0.6609618418794074,rural
13,0.006,results_full_code_appears_twitter.comtfip,180,180,0.06388888888888888,0.061,0.067,1.09,360,rural,urban,0.8299469363786387,urban
14,0.0,results_full_domain_appears_instagram.com,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
15,0.0,results_full_code_appears_instagram.comtfip,180,180,0.05555555555555555,0.056,0.056,1.0,360,rural,urban,1.0,
16,0.011,results_full_code_appears_linkedin.comtfoz,180,180,0.005555555555555556,0.0,0.011,inf,360,rural,urban,0.15787666304531572,urban
17,0.072,*knowledge_panel_full_domain_appears_wikipedia.org,180,180,0.9361111111111111,0.9,0.972,1.08,360,rural,urban,0.0050736295059105995,urban
