,add_inc,column,fisher_pval,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.4,*results_full_domain_appears_MapsLocations,0.08668730650154786,10,10,0.8,0.6,1.0,1.67,20,rural,urban,0.03678749787978613,McDonald's,urban
1,0.2,results_full_domain_appears_MapsLocations,0.4736842105263155,10,10,0.9,0.8,1.0,1.25,20,rural,urban,0.16785065605707492,Bank of America,urban
2,0.1,results_full_domain_appears_MapsLocations,1.0,10,10,0.85,0.8,0.9,1.12,20,rural,urban,0.5565650165675333,Toyota,urban
3,0.2,results_full_domain_appears_MapsLocations,0.4736842105263155,10,10,0.9,0.8,1.0,1.25,20,rural,urban,0.16785065605707503,Walmart,urban
4,0.8,**results_full_domain_appears_MapsLocations,0.0010933339106713718,10,10,0.5,0.1,0.9,9.0,20,rural,urban,2.2928871994400028e-05,Chase Bank,urban
5,0.0,results_full_domain_appears_MapsLocations,1.0,10,10,0.9,0.9,0.9,1.0,20,rural,urban,1.0,Domino's Pizza,
6,0.0,results_full_domain_appears_MapsLocations,1.0,10,10,0.9,0.9,0.9,1.0,20,rural,urban,1.0,Honda,
7,0.2,results_full_domain_appears_MapsLocations,0.4736842105263155,10,10,0.9,0.8,1.0,1.25,20,rural,urban,0.16785065605707503,Chevrolet,urban
8,0.2,results_full_domain_appears_MapsLocations,0.5820433436532502,10,10,0.8,0.7,0.9,1.29,20,rural,urban,0.29003341600144805,Wells Fargo,urban
9,0.5,*results_full_domain_appears_MapsLocations,0.05727554179566552,10,10,0.65,0.9,0.4,2.25,20,rural,urban,0.01972363221865996,United States Department of Veterans Affairs,rural
10,0.3,results_full_domain_appears_MapsLocations,0.21052631578947364,10,10,0.85,0.7,1.0,1.43,20,rural,urban,0.08112618884584044,Target Corporation,urban
11,0.4,*results_full_domain_appears_MapsLocations,0.08668730650154786,10,10,0.8,0.6,1.0,1.67,20,rural,urban,0.03678749787978613,Pizza Hut,urban
12,0.3,results_full_domain_appears_yelp.com,0.34984520123838947,10,10,0.35,0.2,0.5,2.5,20,rural,urban,0.1776880165605986,McDonald's,urban
13,0.0,results_full_domain_appears_yelp.com,1.0,10,10,0.1,0.1,0.1,1.0,20,rural,urban,1.0,Walmart,
14,0.1,results_full_domain_appears_yelp.com,1.0,10,10,0.05,0.0,0.1,,20,rural,urban,0.34343639613791355,Chase Bank,urban
15,0.3,results_full_domain_appears_yelp.com,0.21052631578947364,10,10,0.15,0.0,0.3,,20,rural,urban,0.0811261888458405,Domino's Pizza,urban
16,0.1,results_full_domain_appears_yelp.com,1.0,10,10,0.05,0.0,0.1,,20,rural,urban,0.34343639613791355,Target Corporation,urban
17,0.5,*results_full_domain_appears_yelp.com,0.06977851869492728,10,10,0.55,0.3,0.8,2.67,20,rural,urban,0.024143272996065546,Pizza Hut,urban
18,0.1,results_full_domain_appears_facebook.com,1.0,10,10,0.15,0.2,0.1,2.0,20,rural,urban,0.5565650165675332,McDonald's,rural
19,0.1,results_full_domain_appears_facebook.com,1.0,10,10,0.95,1.0,0.9,1.11,20,rural,urban,0.34343639613791366,Bank of America,rural
20,0.4,*results_full_domain_appears_facebook.com,0.08668730650154786,10,10,0.2,0.4,0.0,,20,rural,urban,0.03678749787978613,Toyota,rural
21,0.0,results_full_domain_appears_facebook.com,1.0,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,Walmart,
22,0.0,results_full_domain_appears_facebook.com,1.0,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,Barack Obama,
23,0.5,*results_full_domain_appears_facebook.com,0.03250773993808054,10,10,0.75,1.0,0.5,2.0,20,rural,urban,0.014956363910414203,Domino's Pizza,rural
24,0.9,**results_full_domain_appears_facebook.com,0.00011907597046915916,10,10,0.55,1.0,0.1,10.0,20,rural,urban,8.538051223166285e-06,Honda,rural
25,0.5,*results_full_domain_appears_facebook.com,0.06977851869492728,10,10,0.45,0.7,0.2,3.5,20,rural,urban,0.024143272996065546,Chevrolet,rural
26,0.2,results_full_domain_appears_facebook.com,0.5820433436532502,10,10,0.8,0.9,0.7,1.29,20,rural,urban,0.29003341600144805,Wells Fargo,rural
27,0.1,results_full_domain_appears_facebook.com,1.0,10,10,0.05,0.0,0.1,,20,rural,urban,0.34343639613791355,Hillary Clinton,urban
28,0.1,results_full_domain_appears_facebook.com,1.0,10,10,0.95,1.0,0.9,1.11,20,rural,urban,0.34343639613791366,Pizza Hut,rural
29,0.0,results_full_domain_appears_facebook.com,1.0,10,10,1.0,1.0,1.0,1.0,20,rural,urban,,Donald Trump,
30,0.3,results_full_code_appears_yelp.com:ttiz,0.34984520123838947,10,10,0.35,0.2,0.5,2.5,20,rural,urban,0.1776880165605986,McDonald's,urban
