,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.4,*results_top_three_domain_appears_facebook.com,10,10,0.2,0.4,0.0,inf,20,rural,urban,0.03678749787978613,Bank of America,rural
1,0.3,results_top_three_domain_appears_MapsLocations,10,10,0.75,0.6,0.9,1.5,20,rural,urban,0.13814824935619235,Bank of America,urban
2,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.9,0.8,1.0,1.25,20,rural,urban,0.16785065605707503,Chevrolet,urban
3,0.8,**results_top_three_domain_appears_MapsLocations,10,10,0.5,0.1,0.9,9.0,20,rural,urban,2.2928871994400028e-05,Chase Bank,urban
4,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.8,0.7,0.9,1.29,20,rural,urban,0.29003341600144805,Wells Fargo,urban
5,0.7,*results_top_three_domain_appears_MapsLocations,10,10,0.65,0.3,1.0,3.33,20,rural,urban,0.0013229505842674947,Target Corporation,urban
6,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.85,0.8,0.9,1.12,20,rural,urban,0.5565650165675333,Toyota,urban
7,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.5,0.6,0.4,1.5,20,rural,urban,0.39787297935196175,United States Department of Veterans Affairs,rural
8,0.1,results_top_three_domain_appears_MapsLocations,10,10,0.85,0.8,0.9,1.12,20,rural,urban,0.5565650165675333,Honda,urban
9,0.4,*results_top_three_domain_appears_MapsLocations,10,10,0.8,0.6,1.0,1.67,20,rural,urban,0.03678749787978613,McDonald's,urban
10,0.2,results_top_three_domain_appears_MapsLocations,10,10,0.9,0.8,1.0,1.25,20,rural,urban,0.16785065605707503,Walmart,urban
11,0.4,*results_top_three_domain_appears_MapsLocations,10,10,0.8,0.6,1.0,1.67,20,rural,urban,0.03678749787978613,Pizza Hut,urban
12,0.0,results_top_three_domain_appears_MapsLocations,10,10,0.9,0.9,0.9,1.0,20,rural,urban,1.0,Domino's Pizza,
