,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_domain_count_MapsLocations,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_count_twitter.com,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_domain_count_UserTweetCarousel,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_count_NewsCarousel,results_full_domain_frac_google.com,results_full_domain_appears_google.com,results_full_domain_rank_google.com,results_full_domain_count_google.com,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_domain_count_facebook.com,results_full_domain_frac_apple.com,results_full_domain_appears_apple.com,results_full_domain_rank_apple.com,results_full_domain_count_apple.com,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_snippet_mean_polarity,results_top_title_mean_polarity,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_full_domain_frac_dominos.com,results_full_domain_appears_dominos.com,results_full_domain_rank_dominos.com,results_full_domain_count_dominos.com,results_top_three_domain_frac_dominos.com,results_top_three_domain_appears_dominos.com,results_top_domain_frac_dominos.com,results_top_domain_appears_dominos.com,results_full_domain_frac_theatlantic.com,results_full_domain_appears_theatlantic.com,results_full_domain_rank_theatlantic.com,results_full_domain_count_theatlantic.com,results_full_domain_frac_nytimes.com,results_full_domain_appears_nytimes.com,results_full_domain_rank_nytimes.com,results_full_domain_count_nytimes.com,results_full_domain_frac_mcdonalds.com,results_full_domain_appears_mcdonalds.com,results_full_domain_rank_mcdonalds.com,results_full_domain_count_mcdonalds.com,results_top_three_domain_frac_mcdonalds.com,results_top_three_domain_appears_mcdonalds.com,results_top_domain_frac_mcdonalds.com,results_top_domain_appears_mcdonalds.com,results_full_domain_frac_cnn.com,results_full_domain_appears_cnn.com,results_full_domain_rank_cnn.com,results_full_domain_count_cnn.com,results_top_three_domain_frac_cnn.com,results_top_three_domain_appears_cnn.com,results_full_domain_frac_target.com,results_full_domain_appears_target.com,results_full_domain_rank_target.com,results_full_domain_count_target.com,results_full_domain_frac_bloomberg.com,results_full_domain_appears_bloomberg.com,results_full_domain_rank_bloomberg.com,results_full_domain_count_bloomberg.com,results_top_three_domain_frac_target.com,results_top_three_domain_appears_target.com,results_top_domain_frac_target.com,results_top_domain_appears_target.com,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_full_domain_frac_vanityfair.com,results_full_domain_appears_vanityfair.com,results_full_domain_rank_vanityfair.com,results_full_domain_count_vanityfair.com,results_top_three_domain_frac_bloomberg.com,results_top_three_domain_appears_bloomberg.com,results_full_domain_frac_politico.com,results_full_domain_appears_politico.com,results_full_domain_rank_politico.com,results_full_domain_count_politico.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_full_domain_frac_nymag.com,results_full_domain_appears_nymag.com,results_full_domain_rank_nymag.com,results_full_domain_count_nymag.com,results_top_three_domain_frac_nymag.com,results_top_three_domain_appears_nymag.com,results_top_three_domain_frac_nytimes.com,results_top_three_domain_appears_nytimes.com,results_top_domain_frac_nymag.com,results_top_domain_appears_nymag.com,results_top_domain_frac_nytimes.com,results_top_domain_appears_nytimes.com,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_full_domain_frac_usa.gov,results_full_domain_appears_usa.gov,results_full_domain_rank_usa.gov,results_full_domain_count_usa.gov,results_top_three_domain_frac_usa.gov,results_top_three_domain_appears_usa.gov,results_full_domain_frac_supremecourt.gov,results_full_domain_appears_supremecourt.gov,results_full_domain_rank_supremecourt.gov,results_full_domain_count_supremecourt.gov,results_top_three_domain_frac_supremecourt.gov,results_top_three_domain_appears_supremecourt.gov,results_top_domain_frac_supremecourt.gov,results_top_domain_appears_supremecourt.gov
count,360.0,360,360,360,360.0,360,360,360,360,360,360.0,360,360.0,360.0,360.0,360,360.0,360,360,360.0,360.0,360.0,360.0,195.0,195.0,195.0,195.0,240.0,240.0,240.0,240.0,155.0,155.0,155.0,155.0,324.0,324.0,324.0,324.0,65.0,65.0,65.0,65.0,157.0,157.0,157.0,157.0,44.0,44.0,44.0,44.0,360.0,360.0,184.0,184.0,165.0,165.0,112.0,112.0,360.0,360.0,360.0,360.0,250.0,250.0,273.0,273.0,273.0,273.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,102.0,102.0,102.0,102.0,141.0,141.0,141.0,141.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,76.0,76.0,76.0,76.0,20.0,20.0,20.0,20.0,20.0,20.0,82.0,82.0,82.0,82.0,20.0,20.0,20.0,20.0,86.0,86.0,60.0,60.0,60.0,60.0,37.0,37.0,40.0,40.0,40.0,40.0,4.0,4.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,60.0,40.0,40.0,40.0,40.0,6.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
unique,,1,1,1,,360,1,20,20,20,,1,,,,271,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-04 15:57:59.193545,localhost,39.005441,-77.933543,"Russell, Kansas",,popular,,,,"About 289,000,000 results (0.62 seconds) ",,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,360,360,360,,1,360,18,18,18,,360,,,,5,,20,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,580.5,,,,1.0,,,,,,0.0,,3.5,52181.15,0.44255216500569916,,18.497222222222224,,,0.0,3.2988304093567353,0.7266458625713953,1.0,0.07476857375642794,1.0,2.5589743589743588,1.0,0.16302012513844918,1.0,3.1822916666666665,2.5458333333333334,0.06540983077310845,1.0,3.1354838709677417,1.0,0.06860804913637168,1.0,2.7839506172839505,1.0,0.07002104607308228,1.0,6.523076923076923,1.0,0.06728340609475857,1.0,6.13375796178344,1.0,0.06517886080051856,1.0,6.818181818181818,1.0,0.3299932903940182,0.08837737280543526,0.18931159420289922,1.0,0.37070707070707076,1.0,0.14484126984126952,1.0,0.43097814814814767,0.1086074074074073,0.3712205555555556,0.1150888888888887,0.1519999999999998,1.0,0.08690298725808866,1.0,5.7344322344322345,1.1758241758241759,0.22855540293040297,1.0,3.3536904761904767,3.5,0.17222222222222217,1.0,1.0,1.0,0.0641188916491684,1.0,10.235294117647058,1.0,0.06809009837795815,1.0,7.723404255319149,1.070921985815603,0.27747710622710625,1.0,4.572619047619048,4.3,0.1666666666666666,1.0,1.0,1.0,0.06182383040935668,1.0,9.513157894736842,1.0,0.11111111111111113,1.0,0.2131168831168831,1.0,2.208333333333333,2.4,0.08560565450809346,1.0,5.048780487804878,1.0,0.6499999999999998,1.0,1.0,1.0,0.20930232558139528,1.0,0.06542022792022788,1.0,8.566666666666666,1.0,0.1666666666666667,1.0,0.06583797233468287,1.0,9.925,1.0,0.16666666666666666,1.0,0.08261147660818721,1.0,8.225,1.5,0.11111111111111113,1.0,0.11111111111111113,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.09687499999999999,1.0,5.425,1.0,0.3333333333333333,1.0,0.20000000000000004,1.0,2.6666666666666656,3.0,0.3333333333333332,1.0,1.0,1.0
std,104.06728592598157,,,,0.0,,,,,,0.0,,2.503479472804219,14354.147720615012,0.20566551273543532,,3.7004845057398486,,,0.0,2.4885491073542436,0.22013248108260097,0.0,0.016508478819721506,0.0,0.8736456230056218,0.0,0.05912161886108329,0.0,0.6307571314904666,0.9583280273942024,0.006366961766624078,0.0,0.6352974490458297,0.0,0.011253790265089113,0.0,1.9169090696886826,0.0,0.009827064988234272,0.0,1.7598623197896424,0.0,0.007814574763177122,0.0,1.8504869123657268,0.0,0.004772530360269848,0.0,1.298885520005647,0.0,0.2117724060242677,0.15150203772619647,0.05726415541753713,0.0,0.12394748641005035,0.0,0.027254472997323843,0.0,0.25796335378313806,0.18930213578858593,0.3453796709782419,0.22727885977151607,0.024537973679848796,0.0,0.037814324100039126,0.0,2.1735342737019603,0.3813696271356907,0.14330540643846318,0.0,1.8125814219687515,2.373094803704315,0.039899158136644894,0.0,0.0,0.0,0.006272173434296179,0.0,1.0547062900082067,0.0,0.018672084626815744,0.0,3.0345778312611706,0.2576096180248042,0.13421161909161342,0.0,1.624355059434995,2.0287408591745297,5.695323946259567e-17,0.0,0.0,0.0,0.004154261911514046,0.0,4.541639706985811,0.0,2.8476619731297836e-17,0.0,0.04355650505935878,0.0,0.7327449792924975,0.6805570473787207,0.010649946633700192,0.0,2.8799110026732206,0.0,0.07453559924999298,0.0,0.0,0.0,0.13572859913068808,0.0,0.009670289800268824,0.0,0.7217367628174836,0.0,5.627685845386882e-17,0.0,0.012218505642417245,0.0,1.1183206273877926,0.0,0.0,0.0,0.028972799044255558,0.0,3.7892391496622824,0.5063696835418333,2.8476619731297836e-17,0.0,2.8476619731297836e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03534319571737231,0.0,1.6623662467884568,0.0,0.0,0.0,2.8476619731297836e-17,0.0,9.112518314015307e-16,0.0,1.1390647892519134e-16,0.0,0.0,0.0
min,401.0,,,,1.0,,,,,,0.0,,1.0,35035.0,0.127913279133,,8.0,,,0.0,0.10526315789473684,0.2616228070175438,1.0,0.05263157894736842,1.0,2.0,1.0,0.0625,1.0,2.0,1.0,0.05263157894736842,1.0,2.0,1.0,0.05263157894736842,1.0,1.0,1.0,0.058823529411764705,1.0,4.0,1.0,0.05555555555555555,1.0,3.0,1.0,0.058823529411764705,1.0,6.0,1.0,-0.10586000000000004,-0.0972375,0.16666666666666666,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,-0.3276,-0.0587,-0.2732,0.0,0.1111111111111111,1.0,0.05555555555555555,1.0,2.0,1.0,0.0625,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.05555555555555555,1.0,6.0,1.0,0.05555555555555555,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.05555555555555555,1.0,2.0,1.0,0.1111111111111111,1.0,0.18181818181818182,1.0,1.5,2.0,0.07142857142857142,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.1111111111111111,1.0,0.05555555555555555,1.0,6.0,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,8.0,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,4.5,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.0625,1.0,3.0,1.0,0.3333333333333333,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
25%,490.75,,,,1.0,,,,,,0.0,,1.0,40466.5,0.27331839578850003,,16.0,,,0.0,1.263157894736842,0.5721475892528523,1.0,0.0625,1.0,2.0,1.0,0.08333333333333333,1.0,3.0,1.0,0.0625,1.0,3.0,1.0,0.0625,1.0,2.0,1.0,0.0625,1.0,5.0,1.0,0.0625,1.0,5.0,1.0,0.0625,1.0,6.0,1.0,0.18865,0.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.1111111111111111,1.0,0.26776666666666665,0.0,0.0,0.0,0.1111111111111111,1.0,0.06666666666666667,1.0,4.0,1.0,0.125,1.0,2.125,1.75,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,9.0,1.0,0.0625,1.0,8.0,1.0,0.17395833333333333,1.0,3.25,2.75,0.16666666666666666,1.0,1.0,1.0,0.05555555555555555,1.0,2.0,1.0,0.1111111111111111,1.0,0.18181818181818182,1.0,1.5,2.0,0.07692307692307693,1.0,2.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.1111111111111111,1.0,0.05555555555555555,1.0,8.0,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,9.0,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,4.5,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.0625,1.0,4.0,1.0,0.3333333333333333,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
50%,580.5,,,,1.0,,,,,,0.0,,3.5,51218.0,0.44346743752749995,,18.0,,,0.0,2.8947368421052633,0.7432523616734145,1.0,0.07142857142857142,1.0,2.0,1.0,0.1875,1.0,3.0,3.0,0.06666666666666667,1.0,3.0,1.0,0.06666666666666667,1.0,2.0,1.0,0.06666666666666667,1.0,6.0,1.0,0.06666666666666667,1.0,6.0,1.0,0.06666666666666667,1.0,6.0,1.0,0.29414166666666663,0.028333333333333335,0.16666666666666666,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.4714333333333333,0.0,0.4215,0.0,0.16666666666666666,1.0,0.07692307692307693,1.0,5.0,1.0,0.18406593406593408,1.0,3.125,2.5,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,11.0,1.0,0.0625,1.0,8.0,1.0,0.29464285714285715,1.0,4.857142857142858,4.5,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,12.0,1.0,0.1111111111111111,1.0,0.18181818181818182,1.0,2.0,2.0,0.08333333333333333,1.0,5.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.0625,1.0,9.0,1.0,0.16666666666666666,1.0,0.06971153846153846,1.0,9.5,1.0,0.16666666666666666,1.0,0.08680555555555555,1.0,7.75,1.5,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.09375,1.0,6.0,1.0,0.3333333333333333,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
75%,670.25,,,,1.0,,,,,,0.0,,6.0,56942.25,0.61244299508825,,21.0,,,0.0,5.2631578947368425,0.9402597402597402,1.0,0.07692307692307693,1.0,3.0,1.0,0.21052631578947367,1.0,4.0,3.0,0.07142857142857142,1.0,4.0,1.0,0.07692307692307693,1.0,3.0,1.0,0.07692307692307693,1.0,8.0,1.0,0.07692307692307693,1.0,7.0,1.0,0.06666666666666667,1.0,7.0,1.0,0.5326957792207792,0.1293395833333333,0.16666666666666666,1.0,0.5,1.0,0.16666666666666666,1.0,0.6552416666666667,0.14049999999999999,0.6808,0.0,0.16666666666666666,1.0,0.1,1.0,7.5,1.0,0.34375,1.0,5.0285714285714285,5.5,0.16666666666666666,1.0,1.0,1.0,0.06666666666666667,1.0,11.0,1.0,0.06666666666666667,1.0,9.0,1.0,0.375,1.0,6.0,6.0,0.16666666666666666,1.0,1.0,1.0,0.06666666666666667,1.0,12.0,1.0,0.1111111111111111,1.0,0.2727272727272727,1.0,2.75,3.0,0.09090909090909091,1.0,8.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.07692307692307693,1.0,9.0,1.0,0.16666666666666666,1.0,0.07692307692307693,1.0,11.0,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,12.0,2.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.125,1.0,7.0,1.0,0.3333333333333333,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
