,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_medicalmarijuanainc.com,100,100,0.00814102564102564,0.008,0.008,1.03,200,rural,urban,0.9412341989891279,rural
1,0.0,results_top_three_domain_frac_medicalmarijuanainc.com,100,100,0.03333333333333333,0.033,0.033,1.0,200,rural,urban,1.0,
2,0.0,results_top_domain_frac_medicalmarijuanainc.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
3,0.0,results_full_domain_frac_plannedparenthood.org,100,100,0.015384615384615387,0.015,0.015,1.0,200,rural,urban,1.0,
4,0.007,results_top_three_domain_frac_plannedparenthood.org,100,100,0.05999999999999999,0.063,0.057,1.12,200,rural,urban,0.7999521464751964,rural
5,0.0,results_top_domain_frac_plannedparenthood.org,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
6,0.005,results_full_domain_frac_usnews.com,100,100,0.011923076923076925,0.015,0.009,1.58,200,rural,urban,0.17315169216324988,rural
7,0.0,results_top_three_domain_frac_usnews.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
8,0.0,results_top_domain_frac_usnews.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
9,0.0,results_full_domain_frac_fivethirtyeight.com,100,100,0.007142857142857142,0.007,0.007,1.0,200,rural,urban,1.0,
10,0.0,results_top_three_domain_frac_fivethirtyeight.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
11,0.0,results_top_domain_frac_fivethirtyeight.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
12,0.004,results_full_domain_frac_procon.org,100,100,0.0711993006993007,0.073,0.069,1.06,200,rural,urban,0.6124444814357106,rural
13,0.01,results_top_three_domain_frac_procon.org,100,100,0.11833333333333332,0.123,0.113,1.09,200,rural,urban,0.65947063293219,rural
14,0.01,results_top_domain_frac_procon.org,100,100,0.105,0.11,0.1,1.1,200,rural,urban,0.8186883076648757,rural
15,0.0,results_full_domain_frac_wikipedia.org,100,100,0.08763070263070262,0.088,0.087,1.0,200,rural,urban,0.9459551889439933,rural
16,0.0,results_top_three_domain_frac_wikipedia.org,100,100,0.16666666666666663,0.167,0.167,1.0,200,rural,urban,1.0,
17,0.0,results_top_domain_frac_wikipedia.org,100,100,0.3,0.3,0.3,1.0,200,rural,urban,1.0,
18,0.002,results_full_domain_frac_washingtonpost.com,100,100,0.011355311355311355,0.01,0.012,1.18,200,rural,urban,0.6314960981663266,urban
19,0.0,results_top_three_domain_frac_washingtonpost.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
20,0.0,results_top_domain_frac_washingtonpost.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
21,0.006,results_full_domain_frac_newsweek.com,100,100,0.026153846153846153,0.023,0.029,1.27,200,rural,urban,0.31555013672465526,urban
22,0.0,results_top_three_domain_frac_newsweek.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
