,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.01,results_full_domain_appears_washingtonpost.com,100,100,0.305,0.3,0.31,1.03,200,rural,urban,0.8786942818820798,urban
1,0.0,results_top_three_domain_appears_washingtonpost.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
2,0.0,results_top_domain_appears_washingtonpost.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
3,0.0,results_full_domain_appears_cbssports.com,100,100,0.22,0.22,0.22,1.0,200,rural,urban,1.0,
4,0.0,results_top_three_domain_appears_cbssports.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
5,0.0,results_top_domain_appears_cbssports.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
6,0.03,results_full_domain_appears_espn.com,100,100,0.275,0.26,0.29,1.12,200,rural,urban,0.6367560724758725,urban
7,0.0,results_top_three_domain_appears_espn.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
8,0.0,results_top_domain_appears_espn.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
9,0.05,results_full_domain_appears_go.com,100,100,0.225,0.25,0.2,1.25,200,rural,urban,0.39972926163941724,rural
10,0.0,results_top_three_domain_appears_go.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
11,0.0,results_top_domain_appears_go.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
12,0.01,results_full_domain_appears_cnn.com,100,100,0.325,0.32,0.33,1.03,200,rural,urban,0.880742331864976,urban
13,0.0,results_top_three_domain_appears_cnn.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
14,0.0,results_top_domain_appears_cnn.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
15,0.01,results_full_domain_appears_people also ask,100,100,0.295,0.3,0.29,1.03,200,rural,urban,0.877542344950645,rural
16,0.0,results_top_three_domain_appears_people also ask,100,100,0.0,0.0,0.0,,200,rural,urban,,
17,0.0,results_top_domain_appears_people also ask,100,100,0.0,0.0,0.0,,200,rural,urban,,
18,0.0,results_full_domain_appears_investopedia.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
19,0.0,results_top_three_domain_appears_investopedia.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
20,0.0,results_top_domain_appears_investopedia.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
21,0.01,results_full_domain_appears_wikipedia.org,100,100,0.855,0.85,0.86,1.01,200,rural,urban,0.8418120860638711,urban
22,0.0,results_top_three_domain_appears_wikipedia.org,100,100,0.4,0.4,0.4,1.0,200,rural,urban,1.0,
23,0.0,results_top_domain_appears_wikipedia.org,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
24,0.0,results_full_domain_appears_deadspin.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
25,0.0,results_top_three_domain_appears_deadspin.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
26,0.0,results_top_domain_appears_deadspin.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
27,0.01,results_full_domain_appears_usatoday.com,100,100,0.105,0.1,0.11,1.1,200,rural,urban,0.8186883076648757,urban
28,0.0,results_top_three_domain_appears_usatoday.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
29,0.0,results_top_domain_appears_usatoday.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
30,0.0,results_full_domain_appears_twitter.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
31,0.0,results_top_three_domain_appears_twitter.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
32,0.0,results_top_domain_appears_twitter.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
33,0.0,results_full_domain_appears_NewsCarousel,100,100,0.8,0.8,0.8,1.0,200,rural,urban,1.0,
34,0.0,results_top_three_domain_appears_NewsCarousel,100,100,0.8,0.8,0.8,1.0,200,rural,urban,1.0,
35,0.0,results_top_domain_appears_NewsCarousel,100,100,0.6,0.6,0.6,1.0,200,rural,urban,1.0,
36,0.0,results_full_domain_appears_cointelegraph.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
37,0.0,results_top_three_domain_appears_cointelegraph.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
38,0.0,results_top_domain_appears_cointelegraph.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
39,0.0,results_full_domain_appears_eagles.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
40,0.0,results_top_three_domain_appears_eagles.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
41,0.0,results_top_domain_appears_eagles.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
42,0.0,results_full_domain_appears_latimes.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
43,0.0,results_top_three_domain_appears_latimes.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
44,0.0,results_top_domain_appears_latimes.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
45,0.0,results_full_domain_appears_foxnews.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
46,0.0,results_top_three_domain_appears_foxnews.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
