,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,13446.0,13446,13446,13446,13446.0,13446,13446,13446,13446,13446,13446.0,13446,13446.0,13446.0,13446.0,13446,13446.0,13446,13446,13446.0,13446.0,11446,11908,13446,13446,11628,13446.0,13446,336,1132,358,237.0,15.0,210.0,584.0,358.0,13446.0,13446.0,13446,1311,13446
unique,,1,1,1,,760,1,20,20,20,,3,,,,537,,38,1,,,1521,1912,1263,557,1098,,9,79,127,40,,,,,,,,539,6,549
top,,successful,google,selenium,,2018-01-04 06:08:55.580488,localhost,39.005441,-94.343326,"64064, Lee's Summit, MO",,popular,,,,"About 289,000,000 results (0.62 seconds) ",,death penalty,,,,Domino's Pizza,"Animal testing, also known as animal experimentation, animal research and in vivo testing, is the use of non-human animals in experiments that seek to control the variables that affect the behavior or biological system under study.",,en.wikipedia.org,Fox News,,results, Rating: 4.6 - ?144 votes,?Alternatives to Animal Testing · ?Testing Cosmetics · ?Animals Used in Education,"People also askWhat kind of senator was Hillary Clinton?United States Senate career of Hillary Clinton. Hillary Rodham Clinton served as a United States Senator from New York from January 3, 2001 to January 21, 2009. She won the United States Senate election in New York, 2000 and the United States Senate election in New York, 2006.United States Senate career of Hillary Clinton - Wikipediahttps://en.wikipedia.org/wiki/United_States_Senate_career_of_Hillary_ClintonSearch for: What kind of senator was Hillary Clinton?What is Hillary Clinton's title right now?Hillary Clinton is a public official who has served as a U.S. senator and as the U.S. secretary of state. She also served as first lady while her husband, Bill Clinton, was president of the United States. In 2016 Hillary Clinton became the Democratic Party's nominee for president.Sep 12, 2017Hillary Clinton | Biography, Politics, & Facts | Britannica.comhttps://www.britannica.com/biography/Hillary-Rodham-ClintonSearch for: What is Hillary Clinton's title right now?What is Hillary Clinton's campaign slogan?Hillary Clinton presidential campaign, 2016ReceiptsUS$585,699,061.27 (December 31, 2016)SloganLove Trumps Hate Fighting For UsTheme song""Fight Song"" by Rachel Platten ""Roar"" by Katy Perry ""Brave"" by Sara Bareilles ""Stronger Together"" by Jessica Sanchez ""Rise Up"" by Andra DayWebsitehillaryclinton.com8 more rowsHillary Clinton presidential campaign, 2016 - Wikipediahttps://en.wikipedia.org/wiki/Hillary_Clinton_presidential_campaign,_2016Search for: What is Hillary Clinton's campaign slogan?Who was the oldest president of the United States?Ronald ReaganPreviously, the oldest elected president was Ronald Reagan, who took the oath of office at the age of 69 in 1981. Donald Trump is 70 years old. Interestingly, had Hillary Clinton won election, she'd have been our second-oldest president-elect at the age of 69.Nov 9, 2016Donald Trump is oldest president elected in US history - Business ...www.businessinsider.com/donald-trump-oldest-president-us-history-2016-11Search for: Who was the oldest president of the United States?",,,,,,,,wikipedia.org,tfo$,wikipedia.org_nan
freq,,13446,13446,13446,,29,13446,691,691,691,,6659,,,,111,,546,13446,,,74,40,720,1386,122,,8531,20,20,20,,,,,,,,1386,964,1386
mean,380.2730923694779,,,,1.0,,,,,,0.0,,3.466904655659676,52210.027219991076,0.44455893212742487,,18.57861073925331,,,0.0,6723.5,,,,,,4.728990034210918,,,,,1.0,1.0,1.0,1.0,1.0,380.2730923694779,19.491521642124052,,,
std,218.94438845630677,,,,0.0,,,,,,0.0,,2.499873891527552,14354.682859486578,0.20506480381290715,,4.012998667806665,,,0.0,3881.6701946455987,,,,,,3.4907138105271494,,,,,0.0,0.0,0.0,0.0,0.0,218.94438845630677,10.945650015218112,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,35035.0,0.127913279133,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,190.0,,,,1.0,,,,,,0.0,,1.0,41102.0,0.277405710257,,16.0,,,0.0,3362.25,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,190.0,10.0,,,
50%,395.0,,,,1.0,,,,,,0.0,,1.0,51391.0,0.452434126751,,18.0,,,0.0,6723.5,,,,,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,395.0,20.0,,,
75%,565.0,,,,1.0,,,,,,0.0,,6.0,57207.0,0.632820450638,,22.0,,,0.0,10084.75,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,1.0,565.0,29.0,,,
max,760.0,,,,1.0,,,,,,0.0,,6.0,96310.0,0.733480189578,,29.0,,,0.0,13446.0,,,,,,14.0,,,,,1.0,1.0,1.0,1.0,1.0,760.0,38.0,,,
