,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.01,results_full_domain_appears_wikipedia.org,100,100,0.855,0.85,0.86,1.01,200,rural,urban,0.8418120860638711,urban
1,0.0,results_full_domain_appears_twitter.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
2,0.0,results_full_domain_appears_NewsCarousel,100,100,0.8,0.8,0.8,1.0,200,rural,urban,1.0,
3,0.0,results_full_domain_appears_UserTweetCarousel,100,100,0.11,0.11,0.11,1.0,200,rural,urban,1.0,
4,0.0,results_top_three_domain_appears_wikipedia.org,100,100,0.4,0.4,0.4,1.0,200,rural,urban,1.0,
5,0.0,results_top_three_domain_appears_twitter.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
6,0.0,results_top_three_domain_appears_NewsCarousel,100,100,0.8,0.8,0.8,1.0,200,rural,urban,1.0,
7,0.0,results_top_three_domain_appears_UserTweetCarousel,100,100,0.0,0.0,0.0,,200,rural,urban,,
8,0.0,results_top_domain_appears_wikipedia.org,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
9,0.0,results_top_domain_appears_twitter.com,100,100,0.0,0.0,0.0,,200,rural,urban,,
10,0.0,results_top_domain_appears_NewsCarousel,100,100,0.6,0.6,0.6,1.0,200,rural,urban,1.0,
11,0.0,results_top_domain_appears_UserTweetCarousel,100,100,0.0,0.0,0.0,,200,rural,urban,,
