,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_frac_medicinenet.com,200,192,0.05411939251224966,0.054,0.054,1.01,392,rural,urban,0.9384788507792625,rural
1,0.0,results_top_three_domain_frac_medicinenet.com,200,192,0.036564625850340135,0.037,0.036,1.01,392,rural,urban,0.9889930954772771,rural
2,0.002,results_top_domain_frac_medicinenet.com,200,192,0.05102040816326531,0.05,0.052,1.04,392,rural,urban,0.9256073434596435,urban
3,0.0,results_full_domain_frac_womenshealth.gov,200,192,0.009067717996289425,0.009,0.009,1.01,392,rural,urban,0.9905165289131764,rural
4,0.0,results_top_three_domain_frac_womenshealth.gov,200,192,0.0,0.0,0.0,,392,rural,urban,,
5,0.0,results_top_domain_frac_womenshealth.gov,200,192,0.0,0.0,0.0,,392,rural,urban,,
6,0.0,results_full_domain_frac_healthxchange.sg,200,192,0.008503401360544217,0.008,0.009,1.04,392,rural,urban,0.9256073434596438,urban
7,0.001,results_top_three_domain_frac_healthxchange.sg,200,192,0.017006802721088433,0.017,0.017,1.04,392,rural,urban,0.9256073434596438,urban
8,0.002,results_top_domain_frac_healthxchange.sg,200,192,0.05102040816326531,0.05,0.052,1.04,392,rural,urban,0.9256073434596436,urban
9,0.0,results_full_domain_frac_activebeat.com,200,192,0.009141156462585034,0.009,0.009,1.01,392,rural,urban,0.9851606136165608,rural
10,0.0,results_top_three_domain_frac_activebeat.com,200,192,0.0,0.0,0.0,,392,rural,urban,,
11,0.0,results_top_domain_frac_activebeat.com,200,192,0.0,0.0,0.0,,392,rural,urban,,
12,0.0,results_full_domain_frac_huffingtonpost.com,200,192,0.025068681318681316,0.025,0.025,1.02,392,rural,urban,0.9259691915299874,urban
13,0.001,results_top_three_domain_frac_huffingtonpost.com,200,192,0.017006802721088433,0.017,0.017,1.04,392,rural,urban,0.9256073434596438,urban
14,0.0,results_top_domain_frac_huffingtonpost.com,200,192,0.0,0.0,0.0,,392,rural,urban,,
15,0.002,results_full_domain_frac_livestrong.com,200,192,0.01413913467484896,0.013,0.015,1.13,392,rural,urban,0.5788645658135948,urban
16,0.0,results_top_three_domain_frac_livestrong.com,200,192,0.0,0.0,0.0,,392,rural,urban,,
17,0.0,results_top_domain_frac_livestrong.com,200,192,0.0,0.0,0.0,,392,rural,urban,,
18,0.001,results_full_domain_frac_medicalnewstoday.com,200,192,0.03838215356072499,0.039,0.038,1.02,392,rural,urban,0.8719534224755396,rural
19,0.002,results_top_three_domain_frac_medicalnewstoday.com,200,192,0.03231292517006803,0.033,0.031,1.07,392,rural,urban,0.8857743637711911,rural
20,0.003,results_top_domain_frac_medicalnewstoday.com,200,192,0.04846938775510204,0.05,0.047,1.07,392,rural,urban,0.885774363771191,rural
21,0.0,results_full_domain_frac_helpguide.org,200,192,0.012231815803244372,0.012,0.012,1.01,392,rural,urban,0.9786766432017588,urban
22,0.0,results_top_three_domain_frac_helpguide.org,200,192,0.05017006802721088,0.05,0.05,1.01,392,rural,urban,0.9829035628221536,urban
23,0.002,results_top_domain_frac_helpguide.org,200,192,0.05102040816326531,0.05,0.052,1.04,392,rural,urban,0.9256073434596435,urban
24,0.0,results_full_domain_frac_go.com,200,192,0.010962252033680604,0.011,0.011,1.04,392,rural,urban,0.9025249791528365,rural
25,0.001,results_top_three_domain_frac_go.com,200,192,0.015306122448979591,0.015,0.016,1.04,392,rural,urban,0.929603383623422,urban
26,0.0,results_top_domain_frac_go.com,200,192,0.0,0.0,0.0,,392,rural,urban,,
27,0.0,results_full_domain_frac_rd.com,200,192,0.0077137998056365405,0.008,0.008,1.01,392,rural,urban,0.9832306401283133,rural
28,0.0,results_top_three_domain_frac_rd.com,200,192,0.0,0.0,0.0,,392,rural,urban,,
