,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.264,**results_full_domain_appears_MapsLocations,100,97,0.649746192893401,0.52,0.784,1.51,197,rural,urban,8.254881165453407e-05,urban
1,0.196,**results_full_domain_appears_yellowpages.com,100,97,0.1065989847715736,0.01,0.206,20.62,197,rural,urban,1.0826142255210877e-05,urban
2,0.118,*results_full_domain_appears_youtube.com,100,97,0.1319796954314721,0.19,0.072,2.63,197,rural,urban,0.013983726955878066,rural
3,0.009,results_full_domain_appears_wikipedia.org,100,97,0.30456852791878175,0.3,0.309,1.03,197,rural,urban,0.8882247758537157,urban
4,0.264,**results_full_domain_appears_MapsLocations,100,97,0.649746192893401,0.52,0.784,1.51,197,rural,urban,8.254881165453407e-05,urban
5,0.042,results_full_domain_appears_NewsCarousel,100,97,0.39086294416243655,0.37,0.412,1.11,197,rural,urban,0.5448102865132791,urban
6,0.014,results_full_domain_appears_facebook.com,100,97,0.19289340101522842,0.2,0.186,1.08,197,rural,urban,0.798588421994029,rural
7,0.118,*results_full_domain_appears_youtube.com,100,97,0.1319796954314721,0.19,0.072,2.63,197,rural,urban,0.013983726955878066,rural
8,0.002,results_full_domain_appears_UserTweetCarousel,100,97,0.4010152284263959,0.4,0.402,1.01,197,rural,urban,0.9765997161110811,urban
9,0.08,*results_top_three_domain_appears_progressive.insurance,100,97,0.04060913705583756,0.08,0.0,inf,197,rural,urban,0.004158024036355908,rural
10,0.356,**results_top_three_domain_appears_MapsLocations,100,97,0.3553299492385787,0.18,0.536,2.98,197,rural,urban,8.97073427557583e-08,urban
11,0.07,*results_top_three_domain_appears_google.com,100,97,0.03553299492385787,0.07,0.0,inf,197,rural,urban,0.007502567538609626,rural
12,0.1,*results_top_three_domain_appears_thegeneral.com,100,97,0.050761421319796954,0.1,0.0,inf,197,rural,urban,0.0012748384719836199,rural
13,0.072,*results_top_three_domain_appears_yellowpages.com,100,97,0.03553299492385787,0.0,0.072,inf,197,rural,urban,0.007482173258916498,urban
14,0.019,results_top_three_domain_appears_wikipedia.org,100,97,0.050761421319796954,0.06,0.041,1.46,197,rural,urban,0.5499566473319364,rural
15,0.356,**results_top_three_domain_appears_MapsLocations,100,97,0.3553299492385787,0.18,0.536,2.98,197,rural,urban,8.97073427557583e-08,urban
16,0.006,results_top_three_domain_appears_NewsCarousel,100,97,0.20304568527918782,0.2,0.206,1.03,197,rural,urban,0.9146341840498933,urban
17,0.0,results_top_three_domain_appears_facebook.com,100,97,0.0,0.0,0.0,,197,rural,urban,,
18,0.0,results_top_three_domain_appears_youtube.com,100,97,0.0,0.0,0.0,,197,rural,urban,,
19,0.06,results_top_three_domain_appears_UserTweetCarousel,100,97,0.37055837563451777,0.4,0.34,1.18,197,rural,urban,0.3873099462345947,rural
20,0.029,results_top_domain_appears_wikipedia.org,100,97,0.04568527918781726,0.06,0.031,1.94,197,rural,urban,0.32890180797161817,rural
21,0.086,results_top_domain_appears_MapsLocations,100,97,0.17258883248730963,0.13,0.216,1.67,197,rural,urban,0.11050938638937917,urban
22,0.0,results_top_domain_appears_NewsCarousel,100,97,0.0,0.0,0.0,,197,rural,urban,,
23,0.0,results_top_domain_appears_facebook.com,100,97,0.0,0.0,0.0,,197,rural,urban,,
24,0.0,results_top_domain_appears_youtube.com,100,97,0.0,0.0,0.0,,197,rural,urban,,
25,0.0,results_top_domain_appears_UserTweetCarousel,100,97,0.0,0.0,0.0,,197,rural,urban,,
