,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.033,results_top_three_domain_frac_thegeneral.com,10,9,0.017543859649122806,0.033,0.0,inf,19,rural,urban,0.34343639613791355,auto insurance,rural
1,0.3,**results_top_three_domain_frac_thegeneral.com,10,10,0.15,0.3,0.0,inf,20,rural,urban,8.538051223166285e-06,car insurance,rural
2,0.133,results_top_three_domain_frac_MapsLocations,10,10,0.09999999999999999,0.033,0.167,5.0,20,rural,urban,0.05773189678497691,progressive insurance,urban
3,0.133,*results_top_three_domain_frac_MapsLocations,10,10,0.06666666666666667,0.0,0.133,inf,20,rural,urban,0.03678749787978613,home insurance,urban
4,0.2,*results_top_three_domain_frac_MapsLocations,10,9,0.22807017543859648,0.133,0.333,2.5,19,rural,urban,0.005121072764272635,auto insurance,urban
5,0.2,*results_top_three_domain_frac_MapsLocations,10,10,0.09999999999999999,0.0,0.2,inf,20,rural,urban,0.005121072764272635,geico insurance,urban
6,0.1,results_top_three_domain_frac_MapsLocations,10,10,0.11666666666666665,0.067,0.167,2.5,20,rural,urban,0.1776880165605986,progressive,urban
7,0.2,*results_top_three_domain_frac_MapsLocations,10,10,0.09999999999999999,0.0,0.2,inf,20,rural,urban,0.005121072764272635,geico,urban
8,0.233,**results_top_three_domain_frac_MapsLocations,10,10,0.15000000000000002,0.033,0.267,8.0,20,rural,urban,0.0006237457011994715,car insurance,urban
9,0.0,*results_top_three_domain_frac_MapsLocations,10,9,0.33333333333333326,0.333,0.333,1.0,19,rural,urban,0.014956363910414203,insurance companies,rural
10,0.267,**results_top_three_domain_frac_progressive.insurance,10,10,0.13333333333333333,0.267,0.0,inf,20,rural,urban,0.00020249932206764005,progressive insurance,rural
11,0.233,*results_top_three_domain_frac_google.com,10,10,0.11666666666666665,0.233,0.0,inf,20,rural,urban,0.0013229505842674947,progressive,rural
12,0.067,results_top_three_domain_frac_yellowpages.com,10,10,0.03333333333333333,0.0,0.067,inf,20,rural,urban,0.16785065605707486,progressive insurance,urban
13,0.067,results_top_three_domain_frac_yellowpages.com,10,10,0.03333333333333333,0.0,0.067,inf,20,rural,urban,0.16785065605707486,geico insurance,urban
14,0.1,results_top_three_domain_frac_yellowpages.com,10,10,0.05,0.0,0.1,inf,20,rural,urban,0.0811261888458405,progressive,urban
