,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.001,results_full_domain_frac_lendingclub.com,99,97,0.016037533894676752,0.016,0.016,1.06,196,rural,urban,0.8451562072642103,rural
1,0.005,results_top_three_domain_frac_lendingclub.com,99,97,0.06462585034013606,0.067,0.062,1.09,196,rural,urban,0.7721395671936095,rural
2,0.022,results_top_domain_frac_lendingclub.com,99,97,0.07142857142857142,0.061,0.082,1.36,196,rural,urban,0.5552342604511911,urban
3,0.005,results_full_domain_frac_creditkarma.com,99,97,0.019887255601541316,0.022,0.017,1.28,196,rural,urban,0.35081594879916833,rural
4,0.011,results_top_three_domain_frac_creditkarma.com,99,97,0.039115646258503396,0.034,0.045,1.33,196,rural,urban,0.4759007875965946,urban
5,0.0,results_top_domain_frac_creditkarma.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
6,0.004,results_full_domain_frac_cashone.com,99,97,0.015698587127158554,0.018,0.013,1.33,196,rural,urban,0.37660036968928323,rural
7,0.0,results_top_three_domain_frac_cashone.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
8,0.0,results_top_domain_frac_cashone.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
9,0.019,*results_full_domain_frac_MapsLocations,99,97,0.03959284762856192,0.03,0.049,1.64,196,rural,urban,0.00160396047235378,urban
10,0.022,results_top_three_domain_frac_MapsLocations,99,97,0.07823129251700679,0.067,0.089,1.33,196,rural,urban,0.27838526380551737,urban
11,0.014,results_top_domain_frac_MapsLocations,99,97,0.18877551020408162,0.182,0.196,1.08,196,rural,urban,0.8027484356404361,urban
12,0.006,results_full_domain_frac_bankrate.com,99,97,0.019409162266305124,0.022,0.017,1.35,196,rural,urban,0.34241927892393187,rural
13,0.0,results_top_three_domain_frac_bankrate.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
14,0.0,results_top_domain_frac_bankrate.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
15,0.001,results_full_domain_frac_opploans.com,99,97,0.01901669758812616,0.018,0.02,1.07,196,rural,urban,0.810737033342208,urban
16,0.005,results_top_three_domain_frac_opploans.com,99,97,0.0663265306122449,0.064,0.069,1.07,196,rural,urban,0.803764090196504,urban
17,0.0,results_top_domain_frac_opploans.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
18,0.001,results_full_domain_frac_cashnetusa.com,99,97,0.025688597117168546,0.026,0.025,1.04,196,rural,urban,0.8780362934392077,rural
19,0.0,results_top_three_domain_frac_cashnetusa.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
20,0.0,results_top_domain_frac_cashnetusa.com,99,97,0.0,0.0,0.0,,196,rural,urban,,
21,0.005,results_full_domain_frac_rocketloans.com,99,97,0.011131725417439703,0.014,0.008,1.63,196,rural,urban,0.2956305481556079,rural
22,0.02,*results_top_three_domain_frac_rocketloans.com,99,97,0.01020408163265306,0.02,0.0,inf,196,rural,urban,0.013548993007448303,rural
23,0.061,*results_top_domain_frac_rocketloans.com,99,97,0.030612244897959183,0.061,0.0,inf,196,rural,urban,0.013548993007448336,rural
24,0.0,results_full_domain_frac_checkngo.com,99,97,0.01805337519623234,0.018,0.018,1.02,196,rural,urban,0.9498594895495017,urban
