,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Domino's Pizza,urban
1,0.0,results_top_three_domain_frac_MapsLocations,1,1,0.3333333333333333,0.333,0.333,1.0,2,rural,urban,,McDonald's,
2,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Honda,urban
3,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Target Corporation,urban
4,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Walmart,urban
5,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Chevrolet,urban
6,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,abortion,urban
7,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Toyota,urban
8,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Bank of America,urban
9,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Chase Bank,urban
10,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Wells Fargo,urban
11,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,rural,urban,,Pizza Hut,urban
12,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Domino's Pizza,low-income
13,0.0,results_top_three_domain_frac_MapsLocations,1,1,0.3333333333333333,0.333,0.333,1.0,2,low-income,high-income,,McDonald's,
14,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Honda,low-income
15,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Target Corporation,low-income
16,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Walmart,low-income
17,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Chevrolet,low-income
18,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,abortion,low-income
19,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Toyota,low-income
20,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Bank of America,low-income
21,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Chase Bank,low-income
22,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Wells Fargo,low-income
23,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.333,0.0,inf,2,low-income,high-income,,Pizza Hut,low-income
24,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Domino's Pizza,DEM
25,0.0,results_top_three_domain_frac_MapsLocations,1,1,0.3333333333333333,0.333,0.333,1.0,2,GOP,DEM,,McDonald's,
26,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Honda,DEM
27,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Target Corporation,DEM
28,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Walmart,DEM
29,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Chevrolet,DEM
30,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,abortion,DEM
31,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Toyota,DEM
32,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Bank of America,DEM
33,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Chase Bank,DEM
34,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Wells Fargo,DEM
35,0.333,results_top_three_domain_frac_MapsLocations,1,1,0.16666666666666666,0.0,0.333,inf,2,GOP,DEM,,Pizza Hut,DEM
