,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_three_domain_appears_UserTweetCarousel,38,38,0.18421052631578946,0.184,0.184,1.0,76,rural,urban,1.0,
1,0.289,**results_top_three_domain_appears_MapsLocations,38,38,0.17105263157894737,0.026,0.316,12.0,76,rural,urban,0.0008247535429409134,urban
2,0.053,results_top_three_domain_appears_wikipedia.org,38,38,0.34210526315789475,0.368,0.316,1.17,76,rural,urban,0.6341271038082921,rural
3,0.026,results_top_three_domain_appears_twitter.com,38,38,0.11842105263157894,0.132,0.105,1.25,76,rural,urban,0.7268903302670263,rural
4,0.026,results_top_three_domain_appears_facebook.com,38,38,0.039473684210526314,0.053,0.026,2.0,76,rural,urban,0.5621004417495565,rural
5,0.053,results_top_three_domain_appears_NewsCarousel,38,38,0.6052631578947368,0.632,0.579,1.09,76,rural,urban,0.6441487134840557,rural
6,0.0,results_top_three_domain_appears_UserTweetCarousel,38,38,0.18421052631578946,0.184,0.184,1.0,76,low-income,high-income,1.0,
7,0.289,**results_top_three_domain_appears_MapsLocations,38,38,0.17105263157894737,0.316,0.026,12.0,76,low-income,high-income,0.0008247535429409134,low-income
8,0.053,results_top_three_domain_appears_wikipedia.org,38,38,0.34210526315789475,0.316,0.368,1.17,76,low-income,high-income,0.6341271038082921,high-income
9,0.026,results_top_three_domain_appears_twitter.com,38,38,0.11842105263157894,0.105,0.132,1.25,76,low-income,high-income,0.7268903302670263,high-income
10,0.026,results_top_three_domain_appears_facebook.com,38,38,0.039473684210526314,0.026,0.053,2.0,76,low-income,high-income,0.5621004417495565,high-income
11,0.053,results_top_three_domain_appears_NewsCarousel,38,38,0.6052631578947368,0.579,0.632,1.09,76,low-income,high-income,0.6441487134840557,high-income
12,0.0,results_top_three_domain_appears_UserTweetCarousel,38,38,0.18421052631578946,0.184,0.184,1.0,76,GOP,DEM,1.0,
13,0.289,**results_top_three_domain_appears_MapsLocations,38,38,0.17105263157894737,0.026,0.316,12.0,76,GOP,DEM,0.0008247535429409134,DEM
14,0.053,results_top_three_domain_appears_wikipedia.org,38,38,0.34210526315789475,0.368,0.316,1.17,76,GOP,DEM,0.6341271038082921,GOP
15,0.026,results_top_three_domain_appears_twitter.com,38,38,0.11842105263157894,0.132,0.105,1.25,76,GOP,DEM,0.7268903302670263,GOP
16,0.026,results_top_three_domain_appears_facebook.com,38,38,0.039473684210526314,0.053,0.026,2.0,76,GOP,DEM,0.5621004417495565,GOP
17,0.053,results_top_three_domain_appears_NewsCarousel,38,38,0.6052631578947368,0.632,0.579,1.09,76,GOP,DEM,0.6441487134840557,GOP
