,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_google.com,18,18,0.16666666666666666,0.167,0.167,1.0,36,rural,urban,1.0,
1,0.111,results_top_three_domain_appears_google.com,18,18,0.05555555555555555,0.111,0.0,inf,36,rural,urban,0.16313885284404722,rural
2,0.0,results_top_domain_appears_google.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
3,0.0,results_full_domain_appears_usa.gov,18,18,0.1111111111111111,0.111,0.111,1.0,36,rural,urban,1.0,
4,0.0,results_top_three_domain_appears_usa.gov,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
5,0.0,results_top_domain_appears_usa.gov,18,18,0.0,0.0,0.0,,36,rural,urban,,
6,0.0,results_full_domain_appears_dominos.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
7,0.0,results_top_three_domain_appears_dominos.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
8,0.0,results_top_domain_appears_dominos.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
9,0.0,results_full_domain_appears_senate.gov,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
10,0.0,results_top_three_domain_appears_senate.gov,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
11,0.0,results_top_domain_appears_senate.gov,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
12,0.0,results_full_domain_appears_forbes.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
13,0.0,results_top_three_domain_appears_forbes.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
14,0.0,results_top_domain_appears_forbes.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
15,0.0,results_full_domain_appears_UserTweetCarousel,18,18,0.3888888888888889,0.389,0.389,1.0,36,rural,urban,1.0,
16,0.0,results_top_three_domain_appears_UserTweetCarousel,18,18,0.3888888888888889,0.389,0.389,1.0,36,rural,urban,1.0,
17,0.0,results_top_domain_appears_UserTweetCarousel,18,18,0.0,0.0,0.0,,36,rural,urban,,
18,0.5,*results_full_domain_appears_MapsLocations,18,18,0.3611111111111111,0.111,0.611,5.5,36,rural,urban,0.0013190774648104131,urban
19,0.556,**results_top_three_domain_appears_MapsLocations,18,18,0.3333333333333333,0.056,0.611,11.0,36,rural,urban,0.00027454399330831237,urban
20,0.056,results_top_domain_appears_MapsLocations,18,18,0.027777777777777776,0.056,0.0,inf,36,rural,urban,0.331332762038679,rural
21,0.0,results_full_domain_appears_findlaw.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
22,0.0,results_top_three_domain_appears_findlaw.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
23,0.0,results_top_domain_appears_findlaw.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
24,0.0,results_full_domain_appears_mcdonalds.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
25,0.0,results_top_three_domain_appears_mcdonalds.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
26,0.056,results_top_domain_appears_mcdonalds.com,18,18,0.027777777777777776,0.0,0.056,inf,36,rural,urban,0.331332762038679,urban
27,0.056,results_full_domain_appears_latimes.com,18,18,0.08333333333333333,0.111,0.056,2.0,36,rural,urban,0.5601074023013031,rural
28,0.0,results_top_three_domain_appears_latimes.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
29,0.0,results_top_domain_appears_latimes.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
30,0.056,results_full_domain_appears_theatlantic.com,18,18,0.3055555555555556,0.333,0.278,1.2,36,rural,urban,0.7268226292516897,rural
31,0.0,results_top_three_domain_appears_theatlantic.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
32,0.0,results_top_domain_appears_theatlantic.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
33,0.0,results_full_domain_appears_bloomberg.com,18,18,0.16666666666666666,0.167,0.167,1.0,36,rural,urban,1.0,
34,0.0,results_top_three_domain_appears_bloomberg.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
35,0.0,results_top_domain_appears_bloomberg.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
36,0.056,results_full_domain_appears_linkedin.com,18,18,0.1388888888888889,0.111,0.167,1.5,36,rural,urban,0.6415317745974696,urban
37,0.0,results_top_three_domain_appears_linkedin.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
38,0.0,results_top_domain_appears_linkedin.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
39,0.0,results_full_domain_appears_target.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
40,0.0,results_top_three_domain_appears_target.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
41,0.0,results_top_domain_appears_target.com,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
42,0.0,results_full_domain_appears_hbr.org,18,18,0.1111111111111111,0.111,0.111,1.0,36,rural,urban,1.0,
43,0.0,results_top_three_domain_appears_hbr.org,18,18,0.0,0.0,0.0,,36,rural,urban,,
44,0.0,results_top_domain_appears_hbr.org,18,18,0.0,0.0,0.0,,36,rural,urban,,
45,0.278,results_full_domain_appears_wikipedia.org,18,18,0.75,0.889,0.611,1.45,36,rural,urban,0.05788642178545535,rural
46,0.111,results_top_three_domain_appears_wikipedia.org,18,18,0.2777777777777778,0.333,0.222,1.5,36,rural,urban,0.47115045575213244,rural
47,0.0,results_top_domain_appears_wikipedia.org,18,18,0.0,0.0,0.0,,36,rural,urban,,
48,0.0,results_full_domain_appears_supremecourt.gov,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
49,0.0,results_top_three_domain_appears_supremecourt.gov,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
50,0.0,results_top_domain_appears_supremecourt.gov,18,18,0.05555555555555555,0.056,0.056,1.0,36,rural,urban,1.0,
