,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_three_domain_appears_UserTweetCarousel,18,18,0.3888888888888889,0.389,0.389,1.0,36,rural,urban,1.0,
1,0.556,**results_top_three_domain_appears_MapsLocations,18,18,0.3333333333333333,0.056,0.611,11.0,36,rural,urban,0.00027454399330831237,urban
2,0.0,results_top_three_domain_appears_linkedin.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
3,0.111,results_top_three_domain_appears_wikipedia.org,18,18,0.2777777777777778,0.333,0.222,1.5,36,rural,urban,0.47115045575213244,rural
4,0.056,results_top_three_domain_appears_twitter.com,18,18,0.19444444444444445,0.222,0.167,1.33,36,rural,urban,0.6842163119434352,rural
5,0.056,results_top_three_domain_appears_facebook.com,18,18,0.08333333333333333,0.111,0.056,2.0,36,rural,urban,0.5601074023013033,rural
6,0.111,results_top_three_domain_appears_NewsCarousel,18,18,0.5,0.556,0.444,1.25,36,rural,urban,0.5188356822894621,rural
7,0.0,results_top_three_domain_appears_UserTweetCarousel,18,18,0.3888888888888889,0.389,0.389,1.0,36,low-income,high-income,1.0,
8,0.556,**results_top_three_domain_appears_MapsLocations,18,18,0.3333333333333333,0.611,0.056,11.0,36,low-income,high-income,0.00027454399330831237,low-income
9,0.0,results_top_three_domain_appears_linkedin.com,18,18,0.0,0.0,0.0,,36,low-income,high-income,,
10,0.111,results_top_three_domain_appears_wikipedia.org,18,18,0.2777777777777778,0.222,0.333,1.5,36,low-income,high-income,0.47115045575213244,high-income
11,0.056,results_top_three_domain_appears_twitter.com,18,18,0.19444444444444445,0.167,0.222,1.33,36,low-income,high-income,0.6842163119434352,high-income
12,0.056,results_top_three_domain_appears_facebook.com,18,18,0.08333333333333333,0.056,0.111,2.0,36,low-income,high-income,0.5601074023013033,high-income
13,0.111,results_top_three_domain_appears_NewsCarousel,18,18,0.5,0.444,0.556,1.25,36,low-income,high-income,0.5188356822894621,high-income
14,0.0,results_top_three_domain_appears_UserTweetCarousel,18,18,0.3888888888888889,0.389,0.389,1.0,36,GOP,DEM,1.0,
15,0.556,**results_top_three_domain_appears_MapsLocations,18,18,0.3333333333333333,0.056,0.611,11.0,36,GOP,DEM,0.00027454399330831237,DEM
16,0.0,results_top_three_domain_appears_linkedin.com,18,18,0.0,0.0,0.0,,36,GOP,DEM,,
17,0.111,results_top_three_domain_appears_wikipedia.org,18,18,0.2777777777777778,0.333,0.222,1.5,36,GOP,DEM,0.47115045575213244,GOP
18,0.056,results_top_three_domain_appears_twitter.com,18,18,0.19444444444444445,0.222,0.167,1.33,36,GOP,DEM,0.6842163119434352,GOP
19,0.056,results_top_three_domain_appears_facebook.com,18,18,0.08333333333333333,0.111,0.056,2.0,36,GOP,DEM,0.5601074023013033,GOP
20,0.111,results_top_three_domain_appears_NewsCarousel,18,18,0.5,0.556,0.444,1.25,36,GOP,DEM,0.5188356822894621,GOP
