,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.019,results_full_domain_frac_webmd.com,20,16,0.09211020461020461,0.101,0.082,1.23,36,rural,urban,0.5363579965630447,rural
1,0.038,results_top_three_domain_frac_webmd.com,20,16,0.25,0.267,0.229,1.16,36,rural,urban,0.6820002435137351,rural
2,0.05,results_top_domain_frac_webmd.com,20,16,0.2777777777777778,0.3,0.25,1.2,36,rural,urban,0.7466375357476454,rural
3,0.001,results_full_domain_frac_medicalnewstoday.com,20,16,0.03865902615902615,0.039,0.038,1.03,36,rural,urban,0.9511876198914677,rural
4,0.008,results_top_three_domain_frac_medicalnewstoday.com,20,16,0.037037037037037035,0.033,0.042,1.25,36,rural,urban,0.8769256679536793,urban
5,0.012,results_top_domain_frac_medicalnewstoday.com,20,16,0.05555555555555555,0.05,0.062,1.25,36,rural,urban,0.8769256679536793,urban
6,0.003,results_full_domain_frac_draxe.com,20,16,0.01445868945868946,0.013,0.016,1.25,36,rural,urban,0.7763585237318821,urban
7,0.0,results_top_three_domain_frac_draxe.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
8,0.0,results_top_domain_frac_draxe.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
9,0.008,results_full_domain_frac_patient.info,20,16,0.010101010101010102,0.014,0.006,2.4,36,rural,urban,0.40183641255272484,rural
10,0.0,results_top_three_domain_frac_patient.info,20,16,0.0,0.0,0.0,,36,rural,urban,,
11,0.0,results_top_domain_frac_patient.info,20,16,0.0,0.0,0.0,,36,rural,urban,,
12,0.002,results_full_domain_frac_niddk.nih.gov,20,16,0.009680134680134681,0.009,0.011,1.25,36,rural,urban,0.8213901566161733,urban
13,0.0,results_top_three_domain_frac_niddk.nih.gov,20,16,0.0,0.0,0.0,,36,rural,urban,,
14,0.0,results_top_domain_frac_niddk.nih.gov,20,16,0.0,0.0,0.0,,36,rural,urban,,
15,0.009,results_full_domain_frac_healthline.com,20,16,0.05212241462241462,0.056,0.047,1.18,36,rural,urban,0.6652495799999258,rural
16,0.012,results_top_three_domain_frac_healthline.com,20,16,0.05555555555555555,0.05,0.062,1.25,36,rural,urban,0.77471274166959,urban
17,0.012,results_top_domain_frac_healthline.com,20,16,0.05555555555555555,0.05,0.062,1.25,36,rural,urban,0.8769256679536793,urban
18,0.01,results_full_domain_frac_huffingtonpost.com,20,16,0.021043771043771045,0.017,0.027,1.59,36,rural,urban,0.5430474422637585,urban
19,0.004,results_top_three_domain_frac_huffingtonpost.com,20,16,0.018518518518518517,0.017,0.021,1.25,36,rural,urban,0.8769256679536793,urban
20,0.0,results_top_domain_frac_huffingtonpost.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
21,0.002,results_full_domain_frac_endocrineweb.com,20,16,0.010101010101010102,0.009,0.011,1.25,36,rural,urban,0.8769256679536792,urban
22,0.0,results_top_three_domain_frac_endocrineweb.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
23,0.0,results_top_domain_frac_endocrineweb.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
24,0.008,results_full_domain_frac_wikipedia.org,20,16,0.037166537166537165,0.033,0.042,1.25,36,rural,urban,0.5644399592889948,urban
25,0.008,results_top_three_domain_frac_wikipedia.org,20,16,0.037037037037037035,0.033,0.042,1.25,36,rural,urban,0.821202789301498,urban
26,0.0,results_top_domain_frac_wikipedia.org,20,16,0.0,0.0,0.0,,36,rural,urban,,
27,0.003,results_full_domain_frac_mensfitness.com,20,16,0.011544011544011544,0.013,0.01,1.25,36,rural,urban,0.8002284955534202,rural
28,0.0,results_top_three_domain_frac_mensfitness.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
29,0.0,results_top_domain_frac_mensfitness.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
30,0.005,results_full_domain_frac_medlineplus.gov,20,16,0.024054649054649057,0.022,0.027,1.25,36,rural,urban,0.8138992366379167,urban
31,0.004,results_top_three_domain_frac_medlineplus.gov,20,16,0.018518518518518517,0.017,0.021,1.25,36,rural,urban,0.8769256679536793,urban
32,0.0,results_top_domain_frac_medlineplus.gov,20,16,0.0,0.0,0.0,,36,rural,urban,,
33,0.001,results_full_domain_frac_prevention.com,20,16,0.02537138787138787,0.025,0.026,1.04,36,rural,urban,0.9394818554834498,urban
34,0.004,results_top_three_domain_frac_prevention.com,20,16,0.018518518518518517,0.017,0.021,1.25,36,rural,urban,0.8769256679536793,urban
35,0.0,results_top_domain_frac_prevention.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
36,0.002,results_full_domain_frac_foxnews.com,20,16,0.009259259259259259,0.008,0.01,1.25,36,rural,urban,0.8769256679536793,urban
37,0.004,results_top_three_domain_frac_foxnews.com,20,16,0.018518518518518517,0.017,0.021,1.25,36,rural,urban,0.8769256679536793,urban
38,0.0,results_top_domain_frac_foxnews.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
39,0.004,results_full_domain_frac_NewsCarousel,20,16,0.0175010175010175,0.016,0.02,1.25,36,rural,urban,0.7325853194725382,urban
40,0.0,results_top_three_domain_frac_NewsCarousel,20,16,0.0,0.0,0.0,,36,rural,urban,,
41,0.0,results_top_domain_frac_NewsCarousel,20,16,0.0,0.0,0.0,,36,rural,urban,,
42,0.006,results_full_domain_frac_emedicinehealth.com,20,16,0.013532763532763533,0.016,0.01,1.63,36,rural,urban,0.5960116284329955,rural
43,0.033,results_top_three_domain_frac_emedicinehealth.com,20,16,0.018518518518518517,0.033,0.0,inf,36,rural,urban,0.32987680092112504,rural
44,0.05,results_top_domain_frac_emedicinehealth.com,20,16,0.027777777777777776,0.05,0.0,inf,36,rural,urban,0.3298768009211248,rural
45,0.002,results_full_domain_frac_goodhousekeeping.com,20,16,0.007936507936507936,0.007,0.009,1.25,36,rural,urban,0.8769256679536793,urban
46,0.008,results_top_three_domain_frac_goodhousekeeping.com,20,16,0.037037037037037035,0.033,0.042,1.25,36,rural,urban,0.8769256679536793,urban
47,0.012,results_top_domain_frac_goodhousekeeping.com,20,16,0.05555555555555555,0.05,0.062,1.25,36,rural,urban,0.8769256679536793,urban
48,0.002,results_full_domain_frac_womenshealthmag.com,20,16,0.010556573056573057,0.012,0.009,1.25,36,rural,urban,0.798068870242278,rural
49,0.017,results_top_three_domain_frac_womenshealthmag.com,20,16,0.009259259259259259,0.017,0.0,inf,36,rural,urban,0.32987680092112504,rural
50,0.0,results_top_domain_frac_womenshealthmag.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
51,0.012,results_full_domain_frac_medicinenet.com,20,16,0.055409867909867905,0.061,0.049,1.24,36,rural,urban,0.5398708290942378,rural
52,0.008,results_top_three_domain_frac_medicinenet.com,20,16,0.037037037037037035,0.033,0.042,1.25,36,rural,urban,0.8769256679536793,urban
53,0.012,results_top_domain_frac_medicinenet.com,20,16,0.05555555555555555,0.05,0.062,1.25,36,rural,urban,0.8769256679536793,urban
54,0.002,results_full_domain_frac_helpguide.org,20,16,0.008903133903133902,0.008,0.01,1.25,36,rural,urban,0.8213614152792388,urban
55,0.008,results_top_three_domain_frac_helpguide.org,20,16,0.037037037037037035,0.033,0.042,1.25,36,rural,urban,0.821202789301498,urban
56,0.0,results_top_domain_frac_helpguide.org,20,16,0.0,0.0,0.0,,36,rural,urban,,
57,0.002,results_full_domain_frac_go.com,20,16,0.009259259259259259,0.008,0.01,1.25,36,rural,urban,0.8769256679536793,urban
58,0.004,results_top_three_domain_frac_go.com,20,16,0.018518518518518517,0.017,0.021,1.25,36,rural,urban,0.8769256679536793,urban
59,0.0,results_top_domain_frac_go.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
60,0.008,results_full_domain_frac_mayoclinic.org,20,16,0.05183242683242683,0.055,0.047,1.17,36,rural,urban,0.6707009669565749,rural
61,0.004,results_top_three_domain_frac_mayoclinic.org,20,16,0.06481481481481481,0.067,0.062,1.07,36,rural,urban,0.9274905524543388,rural
62,0.025,results_top_domain_frac_mayoclinic.org,20,16,0.1111111111111111,0.1,0.125,1.25,36,rural,urban,0.8212027893014979,urban
63,0.005,results_full_domain_frac_livestrong.com,20,16,0.019149831649831653,0.022,0.016,1.34,36,rural,urban,0.6554433546882643,rural
64,0.0,results_top_three_domain_frac_livestrong.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
65,0.0,results_top_domain_frac_livestrong.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
66,0.008,results_full_domain_frac_everydayhealth.com,20,16,0.00989057239057239,0.013,0.006,2.33,36,rural,urban,0.4165221809587949,rural
67,0.0,results_top_three_domain_frac_everydayhealth.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
68,0.0,results_top_domain_frac_everydayhealth.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
69,0.002,results_full_domain_frac_planet-science.com,20,16,0.009259259259259259,0.008,0.01,1.25,36,rural,urban,0.8769256679536793,urban
70,0.004,results_top_three_domain_frac_planet-science.com,20,16,0.018518518518518517,0.017,0.021,1.25,36,rural,urban,0.8769256679536793,urban
71,0.012,results_top_domain_frac_planet-science.com,20,16,0.05555555555555555,0.05,0.062,1.25,36,rural,urban,0.8769256679536793,urban
72,0.001,results_full_domain_frac_health.com,20,16,0.02624320124320124,0.026,0.027,1.03,36,rural,urban,0.9628060749649375,urban
73,0.008,results_top_three_domain_frac_health.com,20,16,0.037037037037037035,0.033,0.042,1.25,36,rural,urban,0.821202789301498,urban
74,0.025,results_top_domain_frac_health.com,20,16,0.1111111111111111,0.1,0.125,1.25,36,rural,urban,0.8212027893014979,urban
75,0.002,results_full_domain_frac_cosmopolitan.com,20,16,0.008903133903133902,0.008,0.01,1.25,36,rural,urban,0.8213614152792388,urban
76,0.0,results_top_three_domain_frac_cosmopolitan.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
77,0.0,results_top_domain_frac_cosmopolitan.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
78,0.002,results_full_domain_frac_womenshealth.gov,20,16,0.010101010101010102,0.009,0.011,1.25,36,rural,urban,0.8769256679536792,urban
79,0.0,results_top_three_domain_frac_womenshealth.gov,20,16,0.0,0.0,0.0,,36,rural,urban,,
80,0.0,results_top_domain_frac_womenshealth.gov,20,16,0.0,0.0,0.0,,36,rural,urban,,
81,0.002,results_full_domain_frac_sciencealert.com,20,16,0.009259259259259259,0.008,0.01,1.25,36,rural,urban,0.8769256679536793,urban
82,0.004,results_top_three_domain_frac_sciencealert.com,20,16,0.018518518518518517,0.017,0.021,1.25,36,rural,urban,0.8769256679536793,urban
83,0.012,results_top_domain_frac_sciencealert.com,20,16,0.05555555555555555,0.05,0.062,1.25,36,rural,urban,0.8769256679536793,urban
84,0.002,results_full_domain_frac_15minutes4me.com,20,16,0.009680134680134681,0.009,0.011,1.25,36,rural,urban,0.8213901566161733,urban
85,0.0,results_top_three_domain_frac_15minutes4me.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
86,0.0,results_top_domain_frac_15minutes4me.com,20,16,0.0,0.0,0.0,,36,rural,urban,,
87,0.029,results_full_snippet_mean_polarity,20,16,-0.37743648428731763,-0.365,-0.394,0.93,36,rural,urban,0.7096764027637306,rural
88,0.009,results_top_three_snippet_mean_polarity,20,16,-0.3786120370370371,-0.375,-0.384,0.98,36,rural,urban,0.9425576550371702,rural
89,0.038,results_top_snippet_mean_polarity,20,16,-0.3451472222222222,-0.362,-0.324,0.89,36,rural,urban,0.8502043116224663,urban
90,0.029,results_full_snippet_mean_polarity,20,16,-0.37743648428731763,-0.365,-0.394,0.93,36,rural,urban,0.7096764027637306,rural
91,0.009,results_top_three_snippet_mean_polarity,20,16,-0.3786120370370371,-0.375,-0.384,0.98,36,rural,urban,0.9425576550371702,rural
92,0.038,results_top_snippet_mean_polarity,20,16,-0.3451472222222222,-0.362,-0.324,0.89,36,rural,urban,0.8502043116224663,urban
93,0.0,results_avg_jacc,16,16,0.9283820346320346,0.928,0.928,1.0,32,rural,urban,1.0,
94,0.0,results_avg_edit,16,16,1.375,1.375,1.375,1.0,32,rural,urban,1.0,
