,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_wikipedia.org,59,0,0.026510212950890913,0.027,,,59,rural,urban,,urban
1,,results_full_domain_frac_facebook.com,59,0,0.014225181598062952,0.014,,,59,rural,urban,,urban
2,,results_full_domain_frac_twitter.com,59,0,0.024313962873284904,0.024,,,59,rural,urban,,urban
3,0.003,results_full_domain_frac_wikipedia.org,29,30,0.026510212950890916,0.025,0.028,1.1,59,low-income,high-income,0.8561373603707008,high-income
4,0.001,results_full_domain_frac_facebook.com,29,30,0.014225181598062952,0.015,0.014,1.08,59,low-income,high-income,0.9231415431983033,low-income
5,0.001,results_full_domain_frac_twitter.com,29,30,0.024313962873284908,0.025,0.024,1.03,59,low-income,high-income,0.9654155281797375,low-income
6,,results_full_domain_frac_wikipedia.org,59,0,0.026510212950890913,0.027,,,59,GOP,DEM,,DEM
7,,results_full_domain_frac_facebook.com,59,0,0.014225181598062952,0.014,,,59,GOP,DEM,,DEM
8,,results_full_domain_frac_twitter.com,59,0,0.024313962873284904,0.024,,,59,GOP,DEM,,DEM
9,,results_top_three_domain_frac_wikipedia.org,59,0,0.022598870056497175,0.023,,,59,rural,urban,,urban
10,,results_top_three_domain_frac_facebook.com,59,0,0.0,0.0,,,59,rural,urban,,urban
11,,results_top_three_domain_frac_twitter.com,59,0,0.05649717514124293,0.056,,,59,rural,urban,,urban
12,0.001,results_top_three_domain_frac_wikipedia.org,29,30,0.022598870056497175,0.023,0.022,1.03,59,low-income,high-income,0.9725955190340396,low-income
13,0.0,results_top_three_domain_frac_facebook.com,29,30,0.0,0.0,0.0,,59,low-income,high-income,,
14,0.002,results_top_three_domain_frac_twitter.com,29,30,0.05649717514124293,0.057,0.056,1.03,59,low-income,high-income,0.9541074882799359,low-income
15,,results_top_three_domain_frac_wikipedia.org,59,0,0.022598870056497175,0.023,,,59,GOP,DEM,,DEM
16,,results_top_three_domain_frac_facebook.com,59,0,0.0,0.0,,,59,GOP,DEM,,DEM
17,,results_top_three_domain_frac_twitter.com,59,0,0.05649717514124293,0.056,,,59,GOP,DEM,,DEM
18,,results_top_domain_frac_wikipedia.org,59,0,0.0,0.0,,,59,rural,urban,,urban
19,,results_top_domain_frac_facebook.com,59,0,0.0,0.0,,,59,rural,urban,,urban
20,,results_top_domain_frac_twitter.com,59,0,0.0,0.0,,,59,rural,urban,,urban
21,0.0,results_top_domain_frac_wikipedia.org,29,30,0.0,0.0,0.0,,59,low-income,high-income,,
22,0.0,results_top_domain_frac_facebook.com,29,30,0.0,0.0,0.0,,59,low-income,high-income,,
23,0.0,results_top_domain_frac_twitter.com,29,30,0.0,0.0,0.0,,59,low-income,high-income,,
24,,results_top_domain_frac_wikipedia.org,59,0,0.0,0.0,,,59,GOP,DEM,,DEM
25,,results_top_domain_frac_facebook.com,59,0,0.0,0.0,,,59,GOP,DEM,,DEM
26,,results_top_domain_frac_twitter.com,59,0,0.0,0.0,,,59,GOP,DEM,,DEM
