,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_statefarm.com,59,0,0.023191497767768954,0.023,,,59,rural,urban,,urban
1,,results_top_three_domain_frac_statefarm.com,59,0,0.022598870056497175,0.023,,,59,rural,urban,,urban
2,,results_top_domain_frac_statefarm.com,59,0,0.03389830508474576,0.034,,,59,rural,urban,,urban
3,,results_full_domain_frac_facebook.com,59,0,0.014225181598062952,0.014,,,59,rural,urban,,urban
4,,results_top_three_domain_frac_facebook.com,59,0,0.0,0.0,,,59,rural,urban,,urban
5,,results_top_domain_frac_facebook.com,59,0,0.0,0.0,,,59,rural,urban,,urban
6,,results_full_domain_frac_geico.com,59,0,0.021755081077114977,0.022,,,59,rural,urban,,urban
7,,results_top_three_domain_frac_geico.com,59,0,0.05649717514124293,0.056,,,59,rural,urban,,urban
8,,results_top_domain_frac_geico.com,59,0,0.1016949152542373,0.102,,,59,rural,urban,,urban
9,,results_full_domain_frac_progressive.com,59,0,0.023159749854665106,0.023,,,59,rural,urban,,urban
10,,results_top_three_domain_frac_progressive.com,59,0,0.05649717514124293,0.056,,,59,rural,urban,,urban
11,,results_top_domain_frac_progressive.com,59,0,0.06779661016949153,0.068,,,59,rural,urban,,urban
12,,results_full_domain_frac_quickenloans.com,59,0,0.01307506053268765,0.013,,,59,rural,urban,,urban
13,,results_top_three_domain_frac_quickenloans.com,59,0,0.011299435028248588,0.011,,,59,rural,urban,,urban
14,,results_top_domain_frac_quickenloans.com,59,0,0.03389830508474576,0.034,,,59,rural,urban,,urban
15,,results_full_domain_frac_washingtonpost.com,59,0,0.008039982616253803,0.008,,,59,rural,urban,,urban
16,,results_top_three_domain_frac_washingtonpost.com,59,0,0.0,0.0,,,59,rural,urban,,urban
17,,results_top_domain_frac_washingtonpost.com,59,0,0.0,0.0,,,59,rural,urban,,urban
18,,results_full_domain_frac_mayoclinic.org,59,0,0.023448303109320057,0.023,,,59,rural,urban,,urban
19,,results_top_three_domain_frac_mayoclinic.org,59,0,0.022598870056497175,0.023,,,59,rural,urban,,urban
20,,results_top_domain_frac_mayoclinic.org,59,0,0.0,0.0,,,59,rural,urban,,urban
21,,results_full_domain_frac_twitter.com,59,0,0.024313962873284904,0.024,,,59,rural,urban,,urban
22,,results_top_three_domain_frac_twitter.com,59,0,0.05649717514124293,0.056,,,59,rural,urban,,urban
23,,results_top_domain_frac_twitter.com,59,0,0.0,0.0,,,59,rural,urban,,urban
24,,results_full_domain_frac_medicalnewstoday.com,59,0,0.018233179250128403,0.018,,,59,rural,urban,,urban
25,,results_top_three_domain_frac_medicalnewstoday.com,59,0,0.011299435028248588,0.011,,,59,rural,urban,,urban
26,,results_top_domain_frac_medicalnewstoday.com,59,0,0.0,0.0,,,59,rural,urban,,urban
27,,results_full_domain_frac_MapsLocations,59,0,0.02355201295879262,0.024,,,59,rural,urban,,urban
28,,results_top_three_domain_frac_MapsLocations,59,0,0.022598870056497175,0.023,,,59,rural,urban,,urban
29,,results_top_domain_frac_MapsLocations,59,0,0.06779661016949153,0.068,,,59,rural,urban,,urban
30,,results_full_domain_frac_avant.com,59,0,0.00825727944372012,0.008,,,59,rural,urban,,urban
31,,results_top_three_domain_frac_avant.com,59,0,0.0,0.0,,,59,rural,urban,,urban
32,,results_top_domain_frac_avant.com,59,0,0.0,0.0,,,59,rural,urban,,urban
33,,results_full_domain_frac_theatlantic.com,59,0,0.010647544545849631,0.011,,,59,rural,urban,,urban
34,,results_top_three_domain_frac_theatlantic.com,59,0,0.0,0.0,,,59,rural,urban,,urban
35,,results_top_domain_frac_theatlantic.com,59,0,0.0,0.0,,,59,rural,urban,,urban
36,,results_full_domain_frac_google.com,59,0,0.019471347861178368,0.019,,,59,rural,urban,,urban
37,,results_top_three_domain_frac_google.com,59,0,0.011299435028248588,0.011,,,59,rural,urban,,urban
38,,results_top_domain_frac_google.com,59,0,0.0,0.0,,,59,rural,urban,,urban
39,,results_full_domain_frac_nerdwallet.com,59,0,0.020984665052461663,0.021,,,59,rural,urban,,urban
40,,results_top_three_domain_frac_nerdwallet.com,59,0,0.022598870056497175,0.023,,,59,rural,urban,,urban
41,,results_top_domain_frac_nerdwallet.com,59,0,0.03389830508474576,0.034,,,59,rural,urban,,urban
42,,results_full_domain_frac_NewsCarousel,59,0,0.029710402591758518,0.03,,,59,rural,urban,,urban
43,,results_top_three_domain_frac_NewsCarousel,59,0,0.04519774011299435,0.045,,,59,rural,urban,,urban
44,,results_top_domain_frac_NewsCarousel,59,0,0.03389830508474576,0.034,,,59,rural,urban,,urban
45,,results_full_domain_frac_libertymutual.com,59,0,0.013136580933191103,0.013,,,59,rural,urban,,urban
46,,results_top_three_domain_frac_libertymutual.com,59,0,0.0,0.0,,,59,rural,urban,,urban
47,,results_top_domain_frac_libertymutual.com,59,0,0.0,0.0,,,59,rural,urban,,urban
