,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,1045.0,1045,1045,1045,1045.0,1045,1045,1045,1045,1045,1045.0,1045,1045.0,1045.0,1045.0,1045,1045.0,1045,1045,1045.0,1045.0,981,941,1045,1045,935,1045.0,1045,78,124,38,4.0,0.0,16.0,21.0,38.0,1045.0,1045.0,1045,0.0,1045
unique,,1,1,1,,59,1,2,2,2,,3,,,,59,,30,1,,,532,520,448,261,449,,8,33,69,22,,0.0,,,,,,256,0.0,256
top,,successful,google,selenium,,2018-01-08 02:21:15.779251,localhost,44.109601,-73.778431,"12943, Keene Valley, NY",,top_loans,,,,"About 3,780,000 results (0.46 seconds) ",,student loan,,,,Allstate: UPSTATE AGENCY,Get insurance online from Progressive. Join today for quality protection that 4 out of 5 would recommend. Get insurance for just about anything you need.,,b'',www.progressive.com/,,results," Rating: 4.3 - ?1,609 reviews",?Personal Loans – LendingClub · ?Personal Loans Rates & Fees · ?Credit Card Payoff,"People also askWhat are the early signs of diabetes?Common warnings signs of diabetes include:Increased thirst.Increased hunger (especially after eating)Dry mouth.Frequent urination or urine infections.Unexplained weight loss (even though you are eating and feel hungry)Fatigue (weak, tired feeling)Blurred vision.Headaches.Discover the Warning Signs of Diabetes - WebMDwww.webmd.com/diabetes/diabetes-warning-signsSearch for: What are the early signs of diabetes?How do you know that you have diabetes?Common SymptomsHunger and fatigue. Your body converts the food you eat into glucose that your cells use for energy. ... Peeing more often and being thirstier. The average person usually has to pee between four and seven times in 24 hours, but people with diabetes may go a lot more.Dry mouth and itchy skin. ... Blurred vision.Early Diabetes Symptoms: Common Signs of Type 1 and Type 2 ...https://www.webmd.com/diabetes/guide/understanding-diabetes-symptomsSearch for: How do you know that you have diabetes?What does it feel like when you have diabetes?High blood sugar can also cause numbness, burning, or tingling in the hands, legs, and feet. This is caused by diabetic neuropathy, a complication of diabetes that often occurs after many years of high blood sugar levels.Sep 27, 2016What Does It Feel Like to Have High Blood Sugar Levels?https://www.medicalnewstoday.com/articles/313138.phpSearch for: What does it feel like when you have diabetes?How do you find out if you have diabetes?Maybe you're losing weight. You may have type 2 diabetes. To find out, you can make an appointment with your doctor and have your blood tested for the condition. Or you can go to the drug store, buy a blood glucose meter, and give yourself a diabetes test.May 1, 2015A Diabetes Test You Can Do Yourself - Consumer Reportshttps://www.consumerreports.org/cro/news/2015/05/a-diabetes-test-you.../index.htmSearch for: How do you find out if you have diabetes?",,,,,,,,b'',,b''_nan
freq,,1045,1045,1045,,30,1045,537,537,537,,401,,,,30,,60,1045,,,5,5,63,63,10,,631,4,4,2,,,,,,,,63,,63
mean,28.467942583732057,,,,1.0,,,,,,0.0,,6.0,42035.55406698565,0.29003629494306393,,19.220095693779903,,,0.0,523.0,,,,,,4.504306220095693,,,,,1.0,,1.0,1.0,1.0,28.467942583732057,14.615311004784688,,,
std,16.847586320428395,,,,0.0,,,,,,0.0,,0.0,11029.531049532488,0.16280204358743589,,5.202727142819851,,,0.0,301.8098187048703,,,,,,3.3142023742378597,,,,,0.0,,0.0,0.0,0.0,16.847586320428395,8.599171027493286,,,
min,1.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,9.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
25%,14.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,16.0,,,0.0,262.0,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,14.0,7.0,,,
50%,28.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,19.0,,,0.0,523.0,,,,,,3.0,,,,,1.0,,1.0,1.0,1.0,28.0,14.0,,,
75%,43.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,23.0,,,0.0,784.0,,,,,,7.0,,,,,1.0,,1.0,1.0,1.0,43.0,22.0,,,
max,59.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,30.0,,,0.0,1045.0,,,,,,13.0,,,,,1.0,,1.0,1.0,1.0,59.0,30.0,,,
