,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_geico.com,20,0,0.06417748917748917,0.064,,,20,rural,urban,,urban
1,,results_top_three_domain_frac_geico.com,20,0,0.16666666666666669,0.167,,,20,rural,urban,,urban
2,,results_top_domain_frac_geico.com,20,0,0.3,0.3,,,20,rural,urban,,urban
3,,results_full_domain_frac_apple.com,20,0,0.020535714285714286,0.021,,,20,rural,urban,,urban
4,,results_top_three_domain_frac_apple.com,20,0,0.0,0.0,,,20,rural,urban,,urban
5,,results_top_domain_frac_apple.com,20,0,0.0,0.0,,,20,rural,urban,,urban
6,,results_full_domain_frac_farmers.com,20,0,0.02727272727272727,0.027,,,20,rural,urban,,urban
7,,results_top_three_domain_frac_farmers.com,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
8,,results_top_domain_frac_farmers.com,20,0,0.0,0.0,,,20,rural,urban,,urban
9,,results_full_domain_frac_esurance.com,20,0,0.03496503496503497,0.035,,,20,rural,urban,,urban
10,,results_top_three_domain_frac_esurance.com,20,0,0.016666666666666666,0.017,,,20,rural,urban,,urban
11,,results_top_domain_frac_esurance.com,20,0,0.0,0.0,,,20,rural,urban,,urban
12,,results_full_domain_frac_referrals.selectminds.com,20,0,0.014285714285714285,0.014,,,20,rural,urban,,urban
13,,results_top_three_domain_frac_referrals.selectminds.com,20,0,0.0,0.0,,,20,rural,urban,,urban
14,,results_top_domain_frac_referrals.selectminds.com,20,0,0.0,0.0,,,20,rural,urban,,urban
15,,results_full_domain_frac_nationwide.com,20,0,0.04329836829836829,0.043,,,20,rural,urban,,urban
16,,results_top_three_domain_frac_nationwide.com,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
17,,results_top_domain_frac_nationwide.com,20,0,0.0,0.0,,,20,rural,urban,,urban
18,,results_full_domain_frac_allstate.com,20,0,0.03951048951048951,0.04,,,20,rural,urban,,urban
19,,results_top_three_domain_frac_allstate.com,20,0,0.1,0.1,,,20,rural,urban,,urban
20,,results_top_domain_frac_allstate.com,20,0,0.2,0.2,,,20,rural,urban,,urban
21,,results_full_domain_frac_MapsLocations,20,0,0.04538170163170163,0.045,,,20,rural,urban,,urban
22,,results_top_three_domain_frac_MapsLocations,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
23,,results_top_domain_frac_MapsLocations,20,0,0.1,0.1,,,20,rural,urban,,urban
24,,results_full_domain_frac_wired.com,20,0,0.007692307692307693,0.008,,,20,rural,urban,,urban
25,,results_top_three_domain_frac_wired.com,20,0,0.0,0.0,,,20,rural,urban,,urban
26,,results_top_domain_frac_wired.com,20,0,0.0,0.0,,,20,rural,urban,,urban
27,,results_full_domain_frac_progressivecommercial.com,20,0,0.015476190476190477,0.015,,,20,rural,urban,,urban
28,,results_top_three_domain_frac_progressivecommercial.com,20,0,0.0,0.0,,,20,rural,urban,,urban
29,,results_top_domain_frac_progressivecommercial.com,20,0,0.0,0.0,,,20,rural,urban,,urban
30,,results_full_domain_frac_nerdwallet.com,20,0,0.02261904761904762,0.023,,,20,rural,urban,,urban
31,,results_top_three_domain_frac_nerdwallet.com,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
32,,results_top_domain_frac_nerdwallet.com,20,0,0.0,0.0,,,20,rural,urban,,urban
33,,results_full_domain_frac_investopedia.com,20,0,0.007692307692307693,0.008,,,20,rural,urban,,urban
34,,results_top_three_domain_frac_investopedia.com,20,0,0.0,0.0,,,20,rural,urban,,urban
35,,results_top_domain_frac_investopedia.com,20,0,0.0,0.0,,,20,rural,urban,,urban
36,,results_full_domain_frac_metlife.com,20,0,0.008333333333333333,0.008,,,20,rural,urban,,urban
37,,results_top_three_domain_frac_metlife.com,20,0,0.0,0.0,,,20,rural,urban,,urban
38,,results_top_domain_frac_metlife.com,20,0,0.0,0.0,,,20,rural,urban,,urban
39,,results_full_domain_frac_facebook.com,20,0,0.02767857142857143,0.028,,,20,rural,urban,,urban
40,,results_top_three_domain_frac_facebook.com,20,0,0.0,0.0,,,20,rural,urban,,urban
41,,results_top_domain_frac_facebook.com,20,0,0.0,0.0,,,20,rural,urban,,urban
42,,results_full_domain_frac_progressive.insurance,20,0,0.028869047619047617,0.029,,,20,rural,urban,,urban
43,,results_top_three_domain_frac_progressive.insurance,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
44,,results_top_domain_frac_progressive.insurance,20,0,0.0,0.0,,,20,rural,urban,,urban
45,,results_full_domain_frac_twitter.com,20,0,0.057440476190476174,0.057,,,20,rural,urban,,urban
46,,results_top_three_domain_frac_twitter.com,20,0,0.13333333333333333,0.133,,,20,rural,urban,,urban
47,,results_top_domain_frac_twitter.com,20,0,0.0,0.0,,,20,rural,urban,,urban
48,,results_full_domain_frac_safeauto.com,20,0,0.016783216783216783,0.017,,,20,rural,urban,,urban
49,,results_top_three_domain_frac_safeauto.com,20,0,0.0,0.0,,,20,rural,urban,,urban
50,,results_top_domain_frac_safeauto.com,20,0,0.0,0.0,,,20,rural,urban,,urban
51,,results_full_domain_frac_thegeneral.com,20,0,0.01818181818181818,0.018,,,20,rural,urban,,urban
52,,results_top_three_domain_frac_thegeneral.com,20,0,0.0,0.0,,,20,rural,urban,,urban
53,,results_top_domain_frac_thegeneral.com,20,0,0.0,0.0,,,20,rural,urban,,urban
54,,results_full_domain_frac_theatlantic.com,20,0,0.007692307692307693,0.008,,,20,rural,urban,,urban
55,,results_top_three_domain_frac_theatlantic.com,20,0,0.0,0.0,,,20,rural,urban,,urban
56,,results_top_domain_frac_theatlantic.com,20,0,0.0,0.0,,,20,rural,urban,,urban
57,,results_full_domain_frac_healthcare.gov,20,0,0.015384615384615385,0.015,,,20,rural,urban,,urban
58,,results_top_three_domain_frac_healthcare.gov,20,0,0.05,0.05,,,20,rural,urban,,urban
