,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,1045.0,1045,1045,1045,1045.0,1045,1045,1045,1045,1045,1045.0,1045,1045.0,1045.0,1045.0,1045,1045.0,1045,1045,1045.0,1045.0,981,941,1045,1045,935,1045.0,1045,78,124,38,4.0,0.0,16.0,21.0,38.0,1045.0,1045.0,1045,0.0,1045
unique,,1,1,1,,59,1,2,2,2,,3,,,,59,,30,1,,,532,520,448,261,449,,8,33,69,22,,0.0,,,,,,256,0.0,256
top,,successful,google,selenium,,2018-01-08 02:21:10.843687,localhost,44.109601,-73.778431,"12943, Keene Valley, NY",,top_loans,,,,"About 3,780,000 results (0.42 seconds) ",,student loan,,,,Allstate: UPSTATE AGENCY,"No reviews · Insurance Agency11.9 mi · Elizabethtown, NY",,b'',www.progressive.com/,,results," Rating: 9.1/10 - ?1,998 reviews",progressive.com,"{""cb"":6,""cl"":15,""clt"":""n"",""cr"":12,""ct"":9,""id"":""WcPAZlrRsbNzxM:"",""ml"":{""0"":{""bh"":108,""bw"":211}},""oh"":150,""ou"":""https://cdn.nerdwallet.com/img/diy/personal-loans/bestegg.gif"",""ow"":400,""pt"":""https://cdn.nerdwallet.com/img/diy/personal-loans/..."",""rh"":""nerdwallet.com"",""rid"":""QVCG2CexE5TyrM"",""rmt"":0,""rt"":0,""ru"":""https://www.nerdwallet.com/personal-loans"",""th"":108,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcQEjwcxssf2Qb7lpaT-w8hLZNP9AAxj9tHrpgJ5m753J9mY2ZumWYPW1afE"",""tw"":289}Source: 2016 NerdWallet survey of lenders. Someone with poor or average credit may be able to get an unsecured personal loan on the strength of a steady income and low debt levels. Someone with excellent credit and a low debt-to-income ratio may be offered interest rates as low as those seen on secured loans.Personal Loans | Rates starting around 5.59% | NerdWallethttps://www.nerdwallet.com/personal-loans",,,,,,,,b'',,b''_nan
freq,,1045,1045,1045,,30,1045,537,537,537,,401,,,,30,,60,1045,,,5,5,63,63,10,,631,4,4,2,,,,,,,,63,,63
mean,28.467942583732057,,,,1.0,,,,,,0.0,,6.0,42035.55406698565,0.29003629494306393,,19.220095693779903,,,0.0,523.0,,,,,,4.504306220095693,,,,,1.0,,1.0,1.0,1.0,28.467942583732057,14.615311004784688,,,
std,16.847586320428395,,,,0.0,,,,,,0.0,,0.0,11029.531049532488,0.16280204358743589,,5.202727142819851,,,0.0,301.8098187048703,,,,,,3.3142023742378597,,,,,0.0,,0.0,0.0,0.0,16.847586320428395,8.599171027493286,,,
min,1.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,9.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,
25%,14.0,,,,1.0,,,,,,0.0,,6.0,30701.0,0.122731941116,,16.0,,,0.0,262.0,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,14.0,7.0,,,
50%,28.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,19.0,,,0.0,523.0,,,,,,3.0,,,,,1.0,,1.0,1.0,1.0,28.0,14.0,,,
75%,43.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,23.0,,,0.0,784.0,,,,,,7.0,,,,,1.0,,1.0,1.0,1.0,43.0,22.0,,,
max,59.0,,,,1.0,,,,,,0.0,,6.0,52758.0,0.448305590556,,30.0,,,0.0,1045.0,,,,,,13.0,,,,,1.0,,1.0,1.0,1.0,59.0,30.0,,,
