,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_facebook.com,20,0,0.02767857142857143,0.028,,,20,rural,urban,,urban
1,,results_full_domain_frac_twitter.com,20,0,0.057440476190476174,0.057,,,20,rural,urban,,urban
2,,results_full_domain_frac_youtube.com,20,0,0.02857142857142857,0.029,,,20,rural,urban,,urban
3,,results_full_domain_frac_wikipedia.org,20,0,0.03809523809523809,0.038,,,20,rural,urban,,urban
4,0.002,results_full_domain_frac_facebook.com,10,10,0.02767857142857143,0.029,0.027,1.07,20,low-income,high-income,0.9462984144634718,low-income
5,0.001,results_full_domain_frac_twitter.com,10,10,0.05744047619047619,0.057,0.058,1.01,20,low-income,high-income,0.9859396239211126,high-income
6,0.0,results_full_domain_frac_youtube.com,10,10,0.02857142857142857,0.029,0.029,1.0,20,low-income,high-income,1.0,
7,0.002,results_full_domain_frac_wikipedia.org,10,10,0.03809523809523809,0.037,0.039,1.06,20,low-income,high-income,0.934674640677795,high-income
8,,results_full_domain_frac_facebook.com,20,0,0.02767857142857143,0.028,,,20,GOP,DEM,,DEM
9,,results_full_domain_frac_twitter.com,20,0,0.057440476190476174,0.057,,,20,GOP,DEM,,DEM
10,,results_full_domain_frac_youtube.com,20,0,0.02857142857142857,0.029,,,20,GOP,DEM,,DEM
11,,results_full_domain_frac_wikipedia.org,20,0,0.03809523809523809,0.038,,,20,GOP,DEM,,DEM
