,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_facebook.com,20,0,0.02767857142857143,0.028,,,20,rural,urban,,urban
1,,results_full_domain_frac_wikipedia.org,20,0,0.03809523809523809,0.038,,,20,rural,urban,,urban
2,,results_full_domain_frac_twitter.com,20,0,0.057440476190476174,0.057,,,20,rural,urban,,urban
3,,results_full_domain_frac_youtube.com,20,0,0.02857142857142857,0.029,,,20,rural,urban,,urban
4,,results_top_three_domain_frac_facebook.com,20,0,0.0,0.0,,,20,rural,urban,,urban
5,,results_top_three_domain_frac_wikipedia.org,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
6,,results_top_three_domain_frac_twitter.com,20,0,0.13333333333333333,0.133,,,20,rural,urban,,urban
7,,results_top_three_domain_frac_youtube.com,20,0,0.0,0.0,,,20,rural,urban,,urban
8,,results_top_domain_frac_facebook.com,20,0,0.0,0.0,,,20,rural,urban,,urban
9,,results_top_domain_frac_wikipedia.org,20,0,0.0,0.0,,,20,rural,urban,,urban
10,,results_top_domain_frac_twitter.com,20,0,0.0,0.0,,,20,rural,urban,,urban
11,,results_top_domain_frac_youtube.com,20,0,0.0,0.0,,,20,rural,urban,,urban
