,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_checkngo.com,20,0,0.016783216783216783,0.017,,,20,rural,urban,,urban
1,,results_top_three_domain_frac_checkngo.com,20,0,0.0,0.0,,,20,rural,urban,,urban
2,,results_top_domain_frac_checkngo.com,20,0,0.0,0.0,,,20,rural,urban,,urban
3,,results_full_domain_frac_freakonomics.com,20,0,0.007692307692307693,0.008,,,20,rural,urban,,urban
4,,results_top_three_domain_frac_freakonomics.com,20,0,0.0,0.0,,,20,rural,urban,,urban
5,,results_top_domain_frac_freakonomics.com,20,0,0.0,0.0,,,20,rural,urban,,urban
6,,results_full_domain_frac_usbank.com,20,0,0.023257575757575758,0.023,,,20,rural,urban,,urban
7,,results_top_three_domain_frac_usbank.com,20,0,0.0,0.0,,,20,rural,urban,,urban
8,,results_top_domain_frac_usbank.com,20,0,0.0,0.0,,,20,rural,urban,,urban
9,,results_full_domain_frac_citizensbank.com,20,0,0.017045454545454544,0.017,,,20,rural,urban,,urban
10,,results_top_three_domain_frac_citizensbank.com,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
11,,results_top_domain_frac_citizensbank.com,20,0,0.05,0.05,,,20,rural,urban,,urban
12,,results_full_domain_frac_amazon.com,20,0,0.02857142857142857,0.029,,,20,rural,urban,,urban
13,,results_top_three_domain_frac_amazon.com,20,0,0.0,0.0,,,20,rural,urban,,urban
14,,results_top_domain_frac_amazon.com,20,0,0.0,0.0,,,20,rural,urban,,urban
15,,results_full_domain_frac_kingofkash.com,20,0,0.017424242424242425,0.017,,,20,rural,urban,,urban
16,,results_top_three_domain_frac_kingofkash.com,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
17,,results_top_domain_frac_kingofkash.com,20,0,0.0,0.0,,,20,rural,urban,,urban
18,,results_full_domain_frac_speedycash.com,20,0,0.016783216783216783,0.017,,,20,rural,urban,,urban
19,,results_top_three_domain_frac_speedycash.com,20,0,0.05,0.05,,,20,rural,urban,,urban
20,,results_top_domain_frac_speedycash.com,20,0,0.1,0.1,,,20,rural,urban,,urban
21,,results_full_domain_frac_bankrate.com,20,0,0.02435897435897436,0.024,,,20,rural,urban,,urban
22,,results_top_three_domain_frac_bankrate.com,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
23,,results_top_domain_frac_bankrate.com,20,0,0.1,0.1,,,20,rural,urban,,urban
24,,results_full_domain_frac_cashnetusa.com,20,0,0.025116550116550118,0.025,,,20,rural,urban,,urban
25,,results_top_three_domain_frac_cashnetusa.com,20,0,0.03333333333333333,0.033,,,20,rural,urban,,urban
26,,results_top_domain_frac_cashnetusa.com,20,0,0.0,0.0,,,20,rural,urban,,urban
27,,results_full_domain_frac_moneyme.com.au,20,0,0.00909090909090909,0.009,,,20,rural,urban,,urban
28,,results_top_three_domain_frac_moneyme.com.au,20,0,0.0,0.0,,,20,rural,urban,,urban
29,,results_top_domain_frac_moneyme.com.au,20,0,0.0,0.0,,,20,rural,urban,,urban
