,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.003,results_full_domain_appears_espn.com,380,380,0.07236842105263158,0.071,0.074,1.04,760,GOP,DEM,0.8888406346321223,DEM
1,0.0,results_top_three_domain_appears_espn.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,GOP,DEM,1.0,
2,0.076,*results_full_domain_appears_wikipedia.org,380,380,0.8223684210526315,0.861,0.784,1.1,760,GOP,DEM,0.005879210998603316,GOP
3,0.011,results_top_three_domain_appears_wikipedia.org,380,380,0.33421052631578946,0.339,0.329,1.03,760,GOP,DEM,0.7587710612690091,GOP
4,0.003,results_top_domain_appears_wikipedia.org,380,380,0.10657894736842105,0.108,0.105,1.03,760,GOP,DEM,0.9065756742110038,GOP
5,0.011,results_full_domain_appears_latimes.com,380,380,0.12894736842105264,0.134,0.124,1.09,760,GOP,DEM,0.6655590721767457,GOP
6,0.0,results_top_three_domain_appears_latimes.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,GOP,DEM,1.0,
7,0.003,results_top_domain_appears_latimes.com,380,380,0.025,0.024,0.026,1.11,760,GOP,DEM,0.8165692158111982,DEM
8,0.008,results_full_domain_appears_washingtonpost.com,380,380,0.16973684210526316,0.174,0.166,1.05,760,GOP,DEM,0.77226687552248,GOP
9,0.0,results_top_three_domain_appears_washingtonpost.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,GOP,DEM,1.0,
10,0.003,results_top_domain_appears_washingtonpost.com,380,380,0.05131578947368421,0.05,0.053,1.05,760,GOP,DEM,0.8696266527968195,DEM
11,0.005,results_full_domain_appears_twitter.com,380,380,0.45263157894736844,0.45,0.455,1.01,760,GOP,DEM,0.884306721300487,DEM
12,0.013,results_top_three_domain_appears_twitter.com,380,380,0.31973684210526315,0.313,0.326,1.04,760,GOP,DEM,0.6978157618223596,DEM
13,0.003,results_full_domain_appears_newsweek.com,380,380,0.10921052631578948,0.108,0.111,1.02,760,GOP,DEM,0.9075674237911139,DEM
14,0.034,results_full_domain_appears_google.com,380,380,0.10921052631578948,0.126,0.092,1.37,760,GOP,DEM,0.13091706646350823,GOP
15,0.003,results_top_three_domain_appears_google.com,380,380,0.0013157894736842105,0.003,0.0,inf,760,GOP,DEM,0.317948531723276,GOP
16,0.005,results_full_domain_appears_youtube.com,380,380,0.07105263157894737,0.074,0.068,1.08,760,GOP,DEM,0.7780011417499482,GOP
17,0.108,**results_full_domain_appears_facebook.com,380,380,0.25394736842105264,0.308,0.2,1.54,760,GOP,DEM,0.0006168278300838967,GOP
18,0.016,results_top_three_domain_appears_facebook.com,380,380,0.013157894736842105,0.021,0.005,4.0,760,GOP,DEM,0.05637940365615335,GOP
19,0.005,results_full_domain_appears_foxnews.com,380,380,0.19210526315789472,0.195,0.189,1.03,760,GOP,DEM,0.854130484997565,GOP
20,0.0,results_top_three_domain_appears_foxnews.com,380,380,0.10526315789473684,0.105,0.105,1.0,760,GOP,DEM,1.0,
21,0.003,results_top_domain_appears_foxnews.com,380,380,0.08289473684210526,0.082,0.084,1.03,760,GOP,DEM,0.8955039263986367,DEM
22,0.129,**results_full_domain_appears_MapsLocations,380,380,0.24868421052631579,0.184,0.313,1.7,760,GOP,DEM,3.665894930435707e-05,DEM
23,0.134,**results_top_three_domain_appears_MapsLocations,380,380,0.23289473684210527,0.166,0.3,1.81,760,GOP,DEM,1.1012697605826694e-05,DEM
24,0.005,results_top_domain_appears_MapsLocations,380,380,0.007894736842105263,0.005,0.011,2.0,760,GOP,DEM,0.4130596743101038,DEM
25,0.0,results_full_domain_appears_vanityfair.com,380,380,0.10526315789473684,0.105,0.105,1.0,760,GOP,DEM,1.0,
26,0.013,results_full_domain_appears_theatlantic.com,380,380,0.225,0.218,0.232,1.06,760,GOP,DEM,0.6645475523941959,DEM
27,0.008,results_full_domain_appears_procon.org,380,380,0.18026315789473685,0.184,0.176,1.04,760,GOP,DEM,0.7774597521781802,GOP
28,0.013,results_top_three_domain_appears_procon.org,380,380,0.11447368421052631,0.121,0.108,1.12,760,GOP,DEM,0.5695091897554856,GOP
29,0.003,results_top_domain_appears_procon.org,380,380,0.04342105263157895,0.045,0.042,1.06,760,GOP,DEM,0.8589636737533332,GOP
30,0.045,results_full_domain_appears_people also ask,380,380,0.34078947368421053,0.363,0.318,1.14,760,GOP,DEM,0.19373448975777727,GOP
31,0.003,results_top_three_domain_appears_people also ask,380,380,0.056578947368421055,0.055,0.058,1.05,760,GOP,DEM,0.8754437394462602,DEM
32,0.0,results_full_domain_appears_variety.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,GOP,DEM,1.0,
33,0.0,results_top_three_domain_appears_variety.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,GOP,DEM,1.0,
34,0.0,results_top_domain_appears_variety.com,380,380,0.02631578947368421,0.026,0.026,1.0,760,GOP,DEM,1.0,
35,0.003,results_full_domain_appears_nytimes.com,380,380,0.4513157894736842,0.45,0.453,1.01,760,GOP,DEM,0.941985855588162,DEM
36,0.0,results_top_three_domain_appears_nytimes.com,380,380,0.07894736842105263,0.079,0.079,1.0,760,GOP,DEM,1.0,
37,0.0,results_top_domain_appears_nytimes.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,GOP,DEM,1.0,
38,0.003,results_full_domain_appears_cnn.com,380,380,0.3118421052631579,0.311,0.313,1.01,760,GOP,DEM,0.9376889436432547,DEM
39,0.0,results_top_three_domain_appears_cnn.com,380,380,0.07894736842105263,0.079,0.079,1.0,760,GOP,DEM,1.0,
40,0.0,results_top_domain_appears_cnn.com,380,380,0.05263157894736842,0.053,0.053,1.0,760,GOP,DEM,1.0,
41,0.011,results_full_snippet_mean_polarity,380,380,0.12360561451925267,0.129,0.118,1.1,760,GOP,DEM,0.651414303577989,GOP
42,0.001,results_top_three_snippet_mean_polarity,380,380,0.14438837719298248,0.145,0.144,1.0,760,GOP,DEM,0.9823736172982617,GOP
43,0.009,results_top_snippet_mean_polarity,380,380,0.20392052631578947,0.199,0.208,1.05,760,GOP,DEM,0.8037744063852238,DEM
44,0.011,results_full_snippet_mean_polarity,380,380,0.12360561451925267,0.129,0.118,1.1,760,GOP,DEM,0.651414303577989,GOP
