,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,13383.0,13383,13383,13383,13383.0,13383,13383,13383,13383,13383,13383.0,13383,13383.0,13383.0,13383.0,13383,13383.0,13383,13383,13383.0,13383.0,11214,11865,13383,13383,11566,13383.0,13383,408,1172,340,235.0,9.0,189.0,618.0,340.0,13383.0,13383.0,13383,1392,13383
unique,,1,1,1,,760,1,20,20,20,,8,,,,592,,38,1,,,1326,1744,1166,470,995,,9,82,129,40,,,,,,,,451,7,461
top,,successful,google,selenium,,2018-01-03 16:52:32.169006,localhost,31.868006,-101.521494,"79720, Big Spring, TX",,procon_popular,,,,"About 1,200,000,000 results (0.73 seconds) ",,eagles,,,,Domino's Pizza,"Animal testing, also known as animal experimentation, animal research and in vivo testing, is the use of non-human animals in experiments that seek to control the variables that affect the behavior or biological system under study.",,en.wikipedia.org,Business Insider,,results,"Sep 17, 2016 - Uploaded by euronews (in English)",Free shipping,"(function(){var l3=14;var l4=18;var l5=24;var t=15;try {if (t > l3){let n = 3;if (t > l4)n = t <= l5 ?4 :5;document.getElementById('rhs_title').className+=' rhstl'+n;}
}catch (e){};})();People also askWhat kind of senator was Hillary Clinton?United States Senate career of Hillary Clinton. Hillary Rodham Clinton served as a United States Senator from New York from January 3, 2001 to January 21, 2009. She won the United States Senate election in New York, 2000 and the United States Senate election in New York, 2006.United States Senate career of Hillary Clinton - Wikipediahttps://en.wikipedia.org/wiki/United_States_Senate_career_of_Hillary_ClintonSearch for: What kind of senator was Hillary Clinton?What is Hillary Clinton's title right now?Hillary Clinton is a public official who has served as a U.S. senator and as the U.S. secretary of state. She also served as first lady while her husband, Bill Clinton, was president of the United States. In 2016 Hillary Clinton became the Democratic Party's nominee for president.Sep 12, 2017Hillary Clinton | Biography, Politics, & Facts | Britannica.comhttps://www.britannica.com/biography/Hillary-Rodham-ClintonSearch for: What is Hillary Clinton's title right now?What is Hillary Clinton's campaign slogan?Hillary Clinton presidential campaign, 2016ReceiptsUS$585,699,061.27 (December 31, 2016)SloganLove Trumps Hate Fighting For UsTheme song""Fight Song"" by Rachel Platten ""Roar"" by Katy Perry ""Brave"" by Sara Bareilles ""Stronger Together"" by Jessica Sanchez ""Rise Up"" by Andra DayWebsitehillaryclinton.com8 more rowsHillary Clinton presidential campaign, 2016 - Wikipediahttps://en.wikipedia.org/wiki/Hillary_Clinton_presidential_campaign,_2016Search for: What is Hillary Clinton's campaign slogan?Who was the oldest president of the United States?Ronald ReaganPreviously, the oldest elected president was Ronald Reagan, who took the oath of office at the age of 69 in 1981. Donald Trump is 70 years old. Interestingly, had Hillary Clinton won election, she'd have been our second-oldest president-elect at the age of 69.Nov 9, 2016Donald Trump is oldest president elected in US history - Business ...www.businessinsider.com/donald-trump-oldest-president-us-history-2016-11Search for: Who was the oldest president of the United States?",,,,,,,,wikipedia.org,organization-corporate,wikipedia.org_nan
freq,,13383,13383,13383,,30,13383,696,696,696,,3575,,,,93,,486,13383,,,68,40,627,1371,120,,8430,20,30,20,,,,,,,,1371,991,1371
mean,379.6174998131958,,,,1.0,,,,,,0.0,,3.915489800493163,50615.44997384742,0.46682290242557967,,18.46723455129642,,,0.0,6692.0,,,,,,4.731525069117537,,,,,1.0,1.0,1.0,1.0,1.0,379.6174998131958,19.45154300231637,,,
std,217.2173606784637,,,,0.0,,,,,,0.0,,2.1597640386766823,17173.453702951792,0.41331624239491166,,3.84460700401209,,,0.0,3863.4836611534934,,,,,,3.4745522078942614,,,,,0.0,0.0,0.0,0.0,0.0,217.2173606784637,10.85262316240097,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,20743.0,0.0314465408805,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,191.0,,,,1.0,,,,,,0.0,,1.0,35980.0,0.049414824447300006,,16.0,,,0.0,3346.5,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,191.0,10.0,,,
50%,382.0,,,,1.0,,,,,,0.0,,5.0,48897.0,0.8506432381550001,,18.0,,,0.0,6692.0,,,,,,4.0,,,,,1.0,1.0,1.0,1.0,1.0,382.0,20.0,,,
75%,564.0,,,,1.0,,,,,,0.0,,6.0,67303.0,0.871675504931,,22.0,,,0.0,10037.5,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,1.0,564.0,29.0,,,
max,760.0,,,,1.0,,,,,,0.0,,6.0,81294.0,0.928465918822,,30.0,,,0.0,13383.0,,,,,,18.0,,,,,1.0,1.0,1.0,1.0,1.0,760.0,38.0,,,
