,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.047,**results_full_domain_appears_yelp.com,380,380,0.031578947368421054,0.008,0.055,7.0,760,GOP,DEM,0.000187900102557489,DEM
1,0.034,*results_full_domain_appears_apple.com,380,380,0.056578947368421055,0.074,0.039,1.87,760,GOP,DEM,0.04132834042326547,GOP
2,0.129,**results_full_domain_appears_MapsLocations,380,380,0.24868421052631579,0.184,0.313,1.7,760,GOP,DEM,3.665894930435707e-05,DEM
3,0.108,**results_full_domain_appears_facebook.com,380,380,0.25394736842105264,0.308,0.2,1.54,760,GOP,DEM,0.0006168278300838967,GOP
4,0.076,*results_full_domain_appears_wikipedia.org,380,380,0.8223684210526315,0.861,0.784,1.1,760,GOP,DEM,0.005879210998603316,GOP
5,0.018,*results_full_domain_appears_tripadvisor.com,380,380,0.009210526315789473,0.0,0.018,inf,760,GOP,DEM,0.007982447951723986,DEM
6,0.047,**results_full_domain_appears_yelp.com,380,380,0.031578947368421054,0.008,0.055,7.0,760,GOP,DEM,0.000187900102557489,DEM
7,0.0,results_full_domain_appears_SearchTweetCarousel,380,380,0.07105263157894737,0.071,0.071,1.0,760,GOP,DEM,1.0,
8,0.005,results_full_domain_appears_youtube.com,380,380,0.07105263157894737,0.074,0.068,1.08,760,GOP,DEM,0.7780011417499482,GOP
9,0.108,**results_full_domain_appears_facebook.com,380,380,0.25394736842105264,0.308,0.2,1.54,760,GOP,DEM,0.0006168278300838967,GOP
10,0.003,results_full_domain_appears_linkedin.com,380,380,0.030263157894736843,0.032,0.029,1.09,760,GOP,DEM,0.8325771083543937,GOP
11,0.076,*results_full_domain_appears_wikipedia.org,380,380,0.8223684210526315,0.861,0.784,1.1,760,GOP,DEM,0.005879210998603316,GOP
12,0.003,results_full_domain_appears_UserTweetCarousel,380,380,0.2381578947368421,0.239,0.237,1.01,760,GOP,DEM,0.9322466220305176,GOP
13,0.003,results_full_domain_appears_instagram.com,380,380,0.02763157894736842,0.029,0.026,1.1,760,GOP,DEM,0.8251423896469132,GOP
14,0.018,*results_full_domain_appears_tripadvisor.com,380,380,0.009210526315789473,0.0,0.018,inf,760,GOP,DEM,0.007982447951723986,DEM
15,0.005,results_full_domain_appears_twitter.com,380,380,0.45263157894736844,0.45,0.455,1.01,760,GOP,DEM,0.884306721300487,DEM
16,0.134,**results_top_three_domain_appears_MapsLocations,380,380,0.23289473684210527,0.166,0.3,1.81,760,GOP,DEM,1.1012697605826694e-05,DEM
17,0.0,results_top_three_domain_appears_SearchTweetCarousel,380,380,0.07105263157894737,0.071,0.071,1.0,760,GOP,DEM,1.0,
18,0.016,results_top_three_domain_appears_facebook.com,380,380,0.013157894736842105,0.021,0.005,4.0,760,GOP,DEM,0.05637940365615335,GOP
19,0.011,results_top_three_domain_appears_wikipedia.org,380,380,0.33421052631578946,0.339,0.329,1.03,760,GOP,DEM,0.7587710612690091,GOP
20,0.029,results_top_three_domain_appears_UserTweetCarousel,380,380,0.15394736842105264,0.139,0.168,1.21,760,GOP,DEM,0.26949451555363363,DEM
21,0.013,results_top_three_domain_appears_twitter.com,380,380,0.31973684210526315,0.313,0.326,1.04,760,GOP,DEM,0.6978157618223596,DEM
22,0.003,results_top_domain_appears_wikipedia.org,380,380,0.10657894736842105,0.108,0.105,1.03,760,GOP,DEM,0.9065756742110038,GOP
