,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
1,,results_top_three_domain_frac_,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
2,,results_top_domain_frac_,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
3,0.012,*results_full_domain_frac_play.google.com,180,180,0.030588924963924964,0.037,0.024,1.5,,360,GOP,DEM,0.022140214168214722,GOP
4,,results_top_three_domain_frac_play.google.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
5,,results_top_domain_frac_play.google.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
6,,results_full_domain_frac_www.guttmacher.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
7,,results_top_three_domain_frac_www.guttmacher.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
8,,results_top_domain_frac_www.guttmacher.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
9,0.021,**results_full_domain_frac_MapsLocations,180,180,0.042147759647759644,0.032,0.052,1.65,,360,GOP,DEM,0.000143218963478491,DEM
10,0.08,**results_top_three_domain_frac_MapsLocations,180,180,0.11944444444444445,0.08,0.159,2.0,,360,GOP,DEM,1.722255925378392e-06,DEM
11,,results_top_domain_frac_MapsLocations,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
12,,results_full_domain_frac_www.panhandleautogroup.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
13,,results_top_three_domain_frac_www.panhandleautogroup.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
14,,results_top_domain_frac_www.panhandleautogroup.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
15,,results_full_domain_frac_www.slate.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
16,,results_top_three_domain_frac_www.slate.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
17,,results_top_domain_frac_www.slate.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
18,,results_full_domain_frac_www.kristalautomall.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
19,,results_top_three_domain_frac_www.kristalautomall.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
20,,results_top_domain_frac_www.kristalautomall.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
21,,results_full_domain_frac_www.madisonhonda.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
22,,results_top_three_domain_frac_www.madisonhonda.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
23,,results_top_domain_frac_www.madisonhonda.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
24,0.001,results_full_domain_frac_www.hondaoftysonscorner.com,180,180,0.00030864197530864197,0.0,0.001,inf,,360,GOP,DEM,0.3186604098872005,DEM
25,,results_top_three_domain_frac_www.hondaoftysonscorner.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
26,,results_top_domain_frac_www.hondaoftysonscorner.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
27,,results_full_domain_frac_www.mirror.co.uk,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
28,,results_top_three_domain_frac_www.mirror.co.uk,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
