,column,len(a),len(b),mean_a,mean_b,mult_inc,winner
0,*results_full_domain_frac_play.google.com,180,180,0.037,0.024,1.5,GOP
1,**results_full_domain_frac_MapsLocations,180,180,0.032,0.052,1.65,DEM
2,*results_full_domain_frac_www.scotusblog.com,180,180,0.0,0.003,inf,DEM
3,*results_full_domain_frac_www.yellowpages.com,180,180,0.002,0.01,6.27,DEM
4,*results_full_domain_frac_www.autotrader.com,180,180,0.0,0.002,inf,DEM
5,*results_full_domain_frac_pizza.dominos.com,180,180,0.002,0.02,11.91,DEM
6,*results_full_domain_frac_www.dominosaruba.com,180,180,0.004,0.0,inf,GOP
7,*results_full_domain_frac_www.toyotafinancial.com,180,180,0.005,0.001,4.89,GOP
8,*results_full_domain_frac_en.wikipedia.org,180,180,0.094,0.079,1.18,GOP
9,*results_full_domain_frac_foursquare.com,180,180,0.0,0.002,inf,DEM
10,*results_full_domain_frac_www.publicintegrity.org,180,180,0.007,0.001,5.14,GOP
11,*results_full_domain_frac_www.facebook.com,180,180,0.071,0.056,1.27,GOP
12,*results_full_domain_frac_www.motortrend.com,180,180,0.004,0.0,inf,GOP
13,*results_full_domain_frac_www.hondafinancialservices.com,180,180,0.009,0.002,4.28,GOP
14,*results_full_domain_frac_www.hoursguide.com,180,180,0.0,0.002,inf,DEM
15,*results_full_domain_frac_www.yelp.com,180,180,0.003,0.012,4.42,DEM
16,*top_ads_full_domain_frac_www.kansascity.buyatoyota.com,100,92,0.015,0.0,inf,GOP
