,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.089,**results_full_domain_appears_yelp.com,180,180,0.06111111111111111,0.017,0.106,6.33,360,GOP,DEM,0.00042709732673356043,DEM
1,0.006,results_full_domain_appears_SearchTweetCarousel,180,180,0.04722222222222222,0.044,0.05,1.12,360,GOP,DEM,0.8044290459659503,DEM
2,0.228,**results_full_domain_appears_facebook.com,180,180,0.5361111111111111,0.65,0.422,1.54,360,GOP,DEM,1.2092390377347275e-05,GOP
3,0.011,results_full_domain_appears_linkedin.com,180,180,0.06111111111111111,0.067,0.056,1.2,360,GOP,DEM,0.6609618418794074,GOP
4,0.161,**results_full_domain_appears_wikipedia.org,180,180,0.775,0.856,0.694,1.23,360,GOP,DEM,0.00023365699019045705,GOP
5,0.0,results_full_domain_appears_UserTweetCarousel,180,180,0.4444444444444444,0.444,0.444,1.0,360,GOP,DEM,1.0,
6,0.006,results_full_domain_appears_instagram.com,180,180,0.058333333333333334,0.061,0.056,1.1,360,GOP,DEM,0.8226788892568724,GOP
7,0.039,*results_full_domain_appears_tripadvisor.com,180,180,0.019444444444444445,0.0,0.039,inf,360,GOP,DEM,0.007793415225152244,DEM
8,0.0,results_full_domain_appears_twitter.com,180,180,0.6666666666666666,0.667,0.667,1.0,360,GOP,DEM,1.0,
9,0.0,knowledge_panel_full_domain_appears_wikipedia.org,174,172,1.0,1.0,1.0,1.0,346,GOP,DEM,,
