,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.02,results_full_domain_appears_yelp.com,100,100,0.01,0.0,0.02,inf,200,GOP,DEM,0.15833990565972564,DEM
1,0.01,results_full_domain_appears_huffingtonpost.com,100,100,0.175,0.17,0.18,1.06,200,GOP,DEM,0.8532774591708919,DEM
2,0.01,results_full_domain_appears_usnews.com,100,100,0.105,0.1,0.11,1.1,200,GOP,DEM,0.8186883076648757,DEM
3,0.0,results_full_domain_appears_newsweek.com,100,100,0.3,0.3,0.3,1.0,200,GOP,DEM,1.0,
4,0.02,results_full_domain_appears_webmd.com,100,100,0.19,0.18,0.2,1.11,200,GOP,DEM,0.7201263994895888,DEM
5,0.01,results_top_three_domain_appears_webmd.com,100,100,0.005,0.01,0.0,inf,200,GOP,DEM,0.3197484741393017,GOP
6,0.02,results_full_domain_appears_youtube.com,100,100,0.17,0.18,0.16,1.12,200,GOP,DEM,0.7082602743017581,GOP
7,0.01,results_full_domain_appears_ncsl.org,100,100,0.175,0.17,0.18,1.06,200,GOP,DEM,0.8532774591708919,DEM
8,0.0,results_full_domain_appears_hsi.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
9,0.03,results_full_domain_appears_washingtonpost.com,100,100,0.245,0.26,0.23,1.13,200,GOP,DEM,0.6239311187710221,GOP
10,0.0,results_full_domain_appears_deathpenaltyinfo.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
11,0.0,results_top_three_domain_appears_deathpenaltyinfo.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
12,0.0,results_top_domain_appears_deathpenaltyinfo.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
13,0.01,results_full_domain_appears_foxnews.com,100,100,0.135,0.14,0.13,1.08,200,GOP,DEM,0.8370741958196265,GOP
14,0.0,results_top_three_domain_appears_foxnews.com,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
15,0.0,results_top_domain_appears_foxnews.com,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
16,0.03,results_full_domain_appears_time.com,100,100,0.185,0.2,0.17,1.18,200,GOP,DEM,0.587069194104645,GOP
17,0.0,results_full_domain_appears_alcoholproblemsandsolutions.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
18,0.01,results_top_three_domain_appears_alcoholproblemsandsolutions.org,100,100,0.035,0.03,0.04,1.33,200,GOP,DEM,0.7021600028210033,DEM
19,0.01,results_top_domain_appears_alcoholproblemsandsolutions.org,100,100,0.035,0.03,0.04,1.33,200,GOP,DEM,0.7021600028210033,DEM
20,0.0,results_full_domain_appears_childrensplace.com,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
21,0.0,results_top_three_domain_appears_childrensplace.com,100,100,0.01,0.01,0.01,1.0,200,GOP,DEM,1.0,
22,0.0,results_full_domain_appears_nraila.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
23,0.0,results_full_domain_appears_forbes.com,100,100,0.2,0.2,0.2,1.0,200,GOP,DEM,1.0,
24,0.0,results_top_three_domain_appears_forbes.com,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
25,0.04,results_top_domain_appears_forbes.com,100,100,0.08,0.1,0.06,1.67,200,GOP,DEM,0.29959310787243687,GOP
26,0.0,results_full_domain_appears_wikipedia.org,100,100,0.9,0.9,0.9,1.0,200,GOP,DEM,1.0,
27,0.0,results_top_three_domain_appears_wikipedia.org,100,100,0.52,0.52,0.52,1.0,200,GOP,DEM,1.0,
28,0.01,results_top_domain_appears_wikipedia.org,100,100,0.205,0.21,0.2,1.05,200,GOP,DEM,0.8618147638740548,GOP
29,0.01,results_full_domain_appears_go.com,100,100,0.105,0.11,0.1,1.1,200,GOP,DEM,0.8186883076648757,GOP
30,0.16,*results_full_domain_appears_people also ask,100,100,0.72,0.8,0.64,1.25,200,GOP,DEM,0.011621220918604158,GOP
31,0.01,results_top_three_domain_appears_people also ask,100,100,0.215,0.21,0.22,1.05,200,GOP,DEM,0.8641866051422665,DEM
32,0.03,results_full_domain_appears_procon.org,100,100,0.685,0.7,0.67,1.04,200,GOP,DEM,0.649880015025702,GOP
33,0.05,results_top_three_domain_appears_procon.org,100,100,0.435,0.46,0.41,1.12,200,GOP,DEM,0.47823782150168415,GOP
34,0.01,results_top_domain_appears_procon.org,100,100,0.165,0.17,0.16,1.06,200,GOP,DEM,0.8498447815864927,GOP
35,0.0,results_full_domain_appears_qz.com,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
36,0.0,results_full_domain_appears_theguardian.com,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
37,0.0,results_full_domain_appears_plannedparenthood.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
38,0.0,results_top_three_domain_appears_plannedparenthood.org,100,100,0.1,0.1,0.1,1.0,200,GOP,DEM,1.0,
39,0.03,results_top_domain_appears_plannedparenthood.org,100,100,0.085,0.1,0.07,1.43,200,GOP,DEM,0.449413206807213,GOP
40,0.0,results_full_domain_appears_merriam-webster.com,100,100,0.11,0.11,0.11,1.0,200,GOP,DEM,1.0,
41,0.01,results_full_domain_appears_cnn.com,100,100,0.285,0.28,0.29,1.04,200,GOP,DEM,0.8762967795323121,DEM
