,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_cointelegraph.com,results_full_domain_appears_cointelegraph.com,results_full_domain_rank_cointelegraph.com,results_full_domain_frac_independent.co.uk,results_full_domain_appears_independent.co.uk,results_full_domain_rank_independent.co.uk,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_frac_investopedia.com,results_full_domain_appears_investopedia.com,results_full_domain_rank_investopedia.com,results_full_domain_frac_latimes.com,results_full_domain_appears_latimes.com,results_full_domain_rank_latimes.com,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_cointelegraph.com,results_top_three_domain_appears_cointelegraph.com,results_top_three_domain_frac_independent.co.uk,results_top_three_domain_appears_independent.co.uk,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_domain_frac_cointelegraph.com,results_top_domain_appears_cointelegraph.com,results_top_domain_frac_independent.co.uk,results_top_domain_appears_independent.co.uk,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_snippet_mean_polarity,results_top_title_mean_polarity,results_full_domain_frac_cnn.com,results_full_domain_appears_cnn.com,results_full_domain_rank_cnn.com,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_frac_foxnews.com,results_full_domain_appears_foxnews.com,results_full_domain_rank_foxnews.com,results_full_domain_frac_nytimes.com,results_full_domain_appears_nytimes.com,results_full_domain_rank_nytimes.com,results_full_domain_frac_washingtonpost.com,results_full_domain_appears_washingtonpost.com,results_full_domain_rank_washingtonpost.com,results_full_domain_frac_theatlantic.com,results_full_domain_appears_theatlantic.com,results_full_domain_rank_theatlantic.com,results_top_three_domain_frac_cnn.com,results_top_three_domain_appears_cnn.com,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_domain_frac_cnn.com,results_top_domain_appears_cnn.com,results_full_domain_frac_people also ask,results_full_domain_appears_people also ask,results_full_domain_rank_people also ask,results_top_three_domain_frac_nytimes.com,results_top_three_domain_appears_nytimes.com,results_top_three_domain_frac_latimes.com,results_top_three_domain_appears_latimes.com,results_top_domain_frac_nytimes.com,results_top_domain_appears_nytimes.com,results_full_domain_frac_deadspin.com,results_full_domain_appears_deadspin.com,results_full_domain_rank_deadspin.com,results_full_domain_frac_espn.com,results_full_domain_appears_espn.com,results_full_domain_rank_espn.com,results_full_domain_frac_b'',results_full_domain_appears_b'',results_full_domain_rank_b'',results_full_domain_frac_SearchTweetCarousel,results_full_domain_appears_SearchTweetCarousel,results_full_domain_rank_SearchTweetCarousel,results_top_three_domain_frac_b'',results_top_three_domain_appears_b'',results_top_three_domain_frac_SearchTweetCarousel,results_top_three_domain_appears_SearchTweetCarousel,results_top_domain_frac_b'',results_top_domain_appears_b'',results_full_domain_frac_usatoday.com,results_full_domain_appears_usatoday.com,results_full_domain_rank_usatoday.com,results_full_domain_frac_collegefootballplayoff.com,results_full_domain_appears_collegefootballplayoff.com,results_full_domain_rank_collegefootballplayoff.com,results_top_three_domain_frac_espn.com,results_top_three_domain_appears_espn.com,results_top_three_domain_frac_usatoday.com,results_top_three_domain_appears_usatoday.com,results_top_three_domain_frac_collegefootballplayoff.com,results_top_three_domain_appears_collegefootballplayoff.com,results_full_domain_frac_variety.com,results_full_domain_appears_variety.com,results_full_domain_rank_variety.com,results_top_domain_frac_wikipedia.org,results_top_domain_appears_wikipedia.org,results_top_three_domain_frac_foxnews.com,results_top_three_domain_appears_foxnews.com,results_top_three_domain_frac_variety.com,results_top_three_domain_appears_variety.com,results_top_domain_frac_foxnews.com,results_top_domain_appears_foxnews.com,results_top_domain_frac_variety.com,results_top_domain_appears_variety.com
count,200.0,200,200,200,200.0,200,200,200,200,200,200.0,200,200.0,200.0,200.0,200,200.0,200,200,200.0,200.0,200.0,200.0,20.0,20.0,20.0,40.0,40.0,40.0,160.0,160.0,160.0,20.0,20.0,20.0,40.0,40.0,40.0,200.0,200.0,20.0,20.0,21.0,21.0,160.0,160.0,200.0,200.0,20.0,20.0,20.0,20.0,120.0,120.0,200.0,200.0,80.0,80.0,80.0,166.0,166.0,166.0,98.0,98.0,98.0,79.0,79.0,79.0,113.0,113.0,113.0,40.0,40.0,40.0,60.0,60.0,60.0,40.0,40.0,80.0,80.0,77.0,77.0,40.0,40.0,38.0,38.0,38.0,40.0,40.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,55.0,55.0,55.0,40.0,40.0,40.0,37.0,37.0,37.0,40.0,40.0,37.0,37.0,40.0,40.0,35.0,35.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
unique,,1,1,1,,200,1,20,20,20,,1,,,,152,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-03 20:37:35.602912,localhost,33.614268,-76.610476,"Worden, Nebraska",,trending,,,,"About 973,000 results (0.46 seconds) ",,al franken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,200,200,200,,1,200,10,10,10,,200,,,,4,,20,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,300.5,,,,1.0,,,,,,0.0,,3.95,50516.65,0.4605130217843903,,16.615,,,0.0,1.9042105263157918,0.880206453147997,1.0,0.26666666666666666,1.0,5.5,0.11666666666666663,1.0,3.475,0.06355366935910656,1.0,1.25,0.13333333333333333,1.0,7.0,0.09979166666666665,1.0,9.7625,0.06277576590909101,-0.09836030126262613,0.1666666666666666,1.0,0.17460317460317457,1.0,0.15381944444444456,1.0,0.020930666666666695,-0.12194666666666669,0.25,1.0,0.25,1.0,0.25,1.0,0.22334050000000033,-0.15315999999999985,0.1050189393939394,1.0,3.84375,0.0837066362109257,1.0,4.243975903614458,0.12703746478348413,1.0,3.0306122448979593,0.0999081420467164,1.0,6.265822784810131,0.12276738037101337,1.0,8.106194690265486,0.1294791666666667,1.0,7.829166666666666,0.06701388888888898,1.0,10.5,0.24999999999999994,1.0,0.3333333333333331,1.0,0.2467532467532468,1.0,0.25,1.0,0.07456087887182067,1.0,11.052631578947368,0.24999999999999983,1.0,0.1666666666666666,1.0,0.5,1.0,0.06425101214574898,1.0,8.1,0.1845493515772152,1.0,6.1909090909090905,0.05520123839009287,1.0,1.0,0.05340603761656394,1.0,2.5135135135135136,0.1402777777777778,1.0,0.11111111111111112,1.0,1.0,1.0,0.10064452575288486,1.0,8.17142857142857,0.11764705882352941,1.0,4.0,0.3333333333333332,1.0,0.1666666666666666,1.0,0.1666666666666666,1.0,0.15849548112706008,1.0,5.475,1.0,1.0,0.25000000000000006,1.0,0.1166666666666667,1.0,0.25,1.0,0.25,1.0
std,57.879184513951124,,,,0.0,,,,,,0.0,,2.1612159242789173,17133.488253304724,0.4143924198252665,,4.259989737407133,,,0.0,2.036648041289284,0.12470208624166167,0.0,0.0,0.0,0.0,0.016878989451394436,0.0,0.505736325340815,0.0074559677711152975,0.0,0.4343722427630694,0.0,0.0,0.0,0.03357219439457654,0.0,2.2673476541138076,0.30115231564203043,0.16662737337260106,5.695323946259567e-17,0.0,0.036369648372665396,0.0,0.023497537921587156,0.0,0.3940463366478259,0.21279741059620294,0.0,0.0,0.0,0.0,0.0,0.0,0.6244205139977845,0.3213864944175004,0.02788840054378037,0.0,2.0416451389547894,0.038849235516493844,0.0,2.5830085534691225,0.04762102743850823,0.0,0.6333364707715334,0.04315770191550847,0.0,2.372161519771462,0.07353084856145921,0.0,3.018877605579855,0.05987275428640692,0.0,2.4699007154457733,0.007758859322813596,0.0,0.6243640832675886,0.08439494725697222,0.0,0.2054120075044402,0.0,0.08381609990977854,0.0,0.0,0.0,0.017979907924172794,0.0,1.1137316970571818,0.08439494725697223,0.0,5.695323946259567e-17,0.0,0.0,0.0,0.012866663371258111,0.0,3.1525325594609703,0.08023700996730379,0.0,1.6914570452798785,0.003782824501162746,0.0,0.0,0.0022270648222984255,0.0,0.5067117097095317,0.02809646251893415,0.0,1.4069214613467206e-17,0.0,0.0,0.0,0.0233360046008667,0.0,2.7384593595424334,0.0,0.0,0.0,1.1390647892519134e-16,0.0,5.695323946259567e-17,0.0,5.695323946259567e-17,0.0,0.06915354142850128,0.0,1.5008544574888343,0.0,0.0,0.08549819600709618,0.0,0.017099639201419232,0.0,0.0,0.0,0.0,0.0
min,201.0,,,,1.0,,,,,,0.0,,1.0,20743.0,0.0314465408805,,11.0,,,0.0,0.0,0.4650265957134132,1.0,0.26666666666666666,1.0,5.5,0.1,1.0,3.0,0.05,1.0,1.0,0.13333333333333333,1.0,7.0,0.06666666666666667,1.0,7.5,-0.6029999999999999,-0.4230181818181818,0.16666666666666666,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,-0.8104999999999999,-0.5694,0.25,1.0,0.25,1.0,0.25,1.0,-0.8126,-0.8481,0.06666666666666667,1.0,1.5,0.05,1.0,1.0,0.0625,1.0,2.0,0.0625,1.0,2.0,0.05,1.0,2.0,0.0625,1.0,5.0,0.0625,1.0,9.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.05,1.0,10.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.5,1.0,0.05,1.0,5.0,0.05,1.0,4.25,0.05,1.0,1.0,0.05,1.0,2.0,0.1111111111111111,1.0,0.1111111111111111,1.0,1.0,1.0,0.05,1.0,6.0,0.11764705882352941,1.0,4.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.09090909090909091,1.0,4.0,1.0,1.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0
25%,250.75,,,,1.0,,,,,,0.0,,1.75,38794.0,0.049298880573225005,,14.0,,,0.0,0.3157894736842105,0.8470792365529206,1.0,0.26666666666666666,1.0,5.5,0.1,1.0,3.0,0.058823529411764705,1.0,1.0,0.13333333333333333,1.0,7.0,0.06666666666666667,1.0,7.5,-0.08460909090909094,-0.26160909090909085,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,-0.33903333333333335,-0.1858,0.25,1.0,0.25,1.0,0.25,1.0,-0.4939,0.0,0.08484848484848484,1.0,2.25,0.0625,1.0,2.0,0.07692307692307693,1.0,3.0,0.06666666666666667,1.0,3.833333333333333,0.05555555555555555,1.0,6.0,0.06666666666666667,1.0,5.0,0.06666666666666667,1.0,10.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.25,1.0,0.0625,1.0,10.25,0.16666666666666666,1.0,0.16666666666666666,1.0,0.5,1.0,0.05263157894736842,1.0,5.0,0.07894736842105263,1.0,4.25,0.05263157894736842,1.0,1.0,0.05263157894736842,1.0,2.0,0.1111111111111111,1.0,0.1111111111111111,1.0,1.0,1.0,0.09090909090909091,1.0,6.0,0.11764705882352941,1.0,4.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.09090909090909091,1.0,4.0,1.0,1.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0
50%,300.5,,,,1.0,,,,,,0.0,,5.0,48088.0,0.45420480264620006,,16.0,,,0.0,1.6842105263157894,0.9078947368421054,1.0,0.26666666666666666,1.0,5.5,0.11666666666666667,1.0,3.0,0.06666666666666667,1.0,1.0,0.13333333333333333,1.0,7.0,0.09583333333333333,1.0,10.0,0.02105000000000002,-0.08055000000000001,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.05956666666666669,0.0,0.25,1.0,0.25,1.0,0.25,1.0,0.5537,0.0,0.10795454545454546,1.0,3.5,0.06666666666666667,1.0,5.0,0.15789473684210525,1.0,3.0,0.09090909090909091,1.0,8.0,0.09090909090909091,1.0,6.5,0.13333333333333333,1.0,8.416666666666668,0.06666666666666667,1.0,10.0,0.25,1.0,0.25,1.0,0.16666666666666666,1.0,0.25,1.0,0.09090909090909091,1.0,11.0,0.25,1.0,0.16666666666666666,1.0,0.5,1.0,0.06477732793522267,1.0,8.0,0.23076923076923078,1.0,6.0,0.05572755417956656,1.0,1.0,0.05263157894736842,1.0,3.0,0.16666666666666666,1.0,0.1111111111111111,1.0,1.0,1.0,0.11764705882352941,1.0,6.0,0.11764705882352941,1.0,4.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.1507177033492823,1.0,5.125,1.0,1.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0
75%,350.25,,,,1.0,,,,,,0.0,,6.0,64742.5,0.8664677230842499,,19.0,,,0.0,2.3684210526315788,0.9757085020242916,1.0,0.26666666666666666,1.0,5.5,0.13333333333333333,1.0,4.0,0.06666666666666667,1.0,1.25,0.13333333333333333,1.0,7.0,0.13333333333333333,1.0,12.0,0.28381,-0.013163636363636367,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.3383333333333334,0.0,0.25,1.0,0.25,1.0,0.25,1.0,0.765,0.0,0.13333333333333333,1.0,4.75,0.1,1.0,6.0,0.16666666666666666,1.0,3.0,0.14144736842105263,1.0,8.0,0.13333333333333333,1.0,11.0,0.2,1.0,9.666666666666666,0.06666666666666667,1.0,11.0,0.3333333333333333,1.0,0.41666666666666663,1.0,0.3333333333333333,1.0,0.25,1.0,0.09090909090909091,1.0,11.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.5,1.0,0.07692307692307693,1.0,11.0,0.23529411764705882,1.0,8.0,0.058823529411764705,1.0,1.0,0.05555555555555555,1.0,3.0,0.16666666666666666,1.0,0.1111111111111111,1.0,1.0,1.0,0.11764705882352941,1.0,10.0,0.11764705882352941,1.0,4.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2222222222222222,1.0,7.0,1.0,1.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0
