,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.003,results_full_domain_frac_geico.com,97,100,0.06231129276814556,0.064,0.061,1.05,197,GOP,DEM,0.6894829725077165,GOP
1,0.028,results_top_three_domain_frac_geico.com,97,100,0.13367174280879865,0.148,0.12,1.23,197,GOP,DEM,0.23540743848029036,GOP
2,0.053,results_top_domain_frac_geico.com,97,100,0.25380710659898476,0.227,0.28,1.23,197,GOP,DEM,0.39311763115704834,DEM
3,0.0,results_full_domain_frac_statefarm.com,97,100,0.0547803296534261,0.055,0.055,1.01,197,GOP,DEM,0.9460788131912343,DEM
4,0.002,results_top_three_domain_frac_statefarm.com,97,100,0.032148900169204735,0.031,0.033,1.08,197,GOP,DEM,0.8645863669785191,DEM
5,0.07,*results_top_domain_frac_statefarm.com,97,100,0.03553299492385787,0.0,0.07,inf,197,GOP,DEM,0.007502567538609626,DEM
6,0.001,results_full_domain_frac_esurance.com,97,100,0.03557618354572669,0.036,0.035,1.04,197,GOP,DEM,0.8431985169482425,GOP
7,0.004,results_top_three_domain_frac_esurance.com,97,100,0.011844331641285955,0.014,0.01,1.37,197,GOP,DEM,0.6727910757273503,GOP
8,0.0,results_top_domain_frac_esurance.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
9,0.008,results_full_domain_frac_nerdwallet.com,97,100,0.04416395786954162,0.048,0.04,1.21,197,GOP,DEM,0.3312707300299358,GOP
10,0.006,results_top_three_domain_frac_nerdwallet.com,97,100,0.04060913705583756,0.038,0.043,1.15,197,GOP,DEM,0.7231998105131399,DEM
11,0.0,results_top_domain_frac_nerdwallet.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
12,0.007,results_full_domain_frac_facebook.com,97,100,0.024292965917331395,0.028,0.021,1.33,197,GOP,DEM,0.3587447475447675,GOP
13,0.0,results_top_three_domain_frac_facebook.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
14,0.0,results_top_domain_frac_facebook.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
15,0.004,results_full_domain_frac_NewsCarousel,97,100,0.018465798161229632,0.02,0.017,1.24,197,GOP,DEM,0.42973946589951983,GOP
16,0.001,results_top_three_domain_frac_NewsCarousel,97,100,0.0338409475465313,0.034,0.033,1.03,197,GOP,DEM,0.9430915785190193,GOP
17,0.0,results_top_domain_frac_NewsCarousel,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
18,0.002,results_full_domain_frac_google.com,97,100,0.050217548948513414,0.051,0.049,1.03,197,GOP,DEM,0.8710990632919793,GOP
19,0.028,*results_top_three_domain_frac_google.com,97,100,0.02030456852791878,0.034,0.007,5.15,197,GOP,DEM,0.016058493902190028,GOP
20,0.0,results_top_domain_frac_google.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
21,0.002,results_full_domain_frac_libertymutual.com,97,100,0.039267923278075566,0.038,0.04,1.05,197,GOP,DEM,0.7718594294614437,DEM
22,0.003,results_top_three_domain_frac_libertymutual.com,97,100,0.005076142131979695,0.003,0.007,1.94,197,GOP,DEM,0.5791988088600681,DEM
23,0.0,results_top_domain_frac_libertymutual.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
24,0.003,results_full_domain_frac_UserTweetCarousel,97,100,0.0407904278462654,0.043,0.039,1.09,197,GOP,DEM,0.7035227177804169,GOP
25,0.0,results_top_three_domain_frac_UserTweetCarousel,97,100,0.09983079526226735,0.1,0.1,1.0,197,GOP,DEM,0.9874790726817266,DEM
26,0.0,results_top_domain_frac_UserTweetCarousel,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
27,0.003,results_full_domain_frac_ehealthinsurance.com,97,100,0.010542756735650138,0.012,0.009,1.29,197,GOP,DEM,0.5901536752719603,GOP
28,0.0,results_top_three_domain_frac_ehealthinsurance.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
29,0.0,results_top_domain_frac_ehealthinsurance.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
30,0.0,results_full_domain_frac_wired.com,97,100,0.007809449433814917,0.008,0.008,1.03,197,GOP,DEM,0.9430915785190193,GOP
31,0.0,results_top_three_domain_frac_wired.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
32,0.0,results_top_domain_frac_wired.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
33,0.006,results_full_domain_frac_progressive.com,97,100,0.06942368122571169,0.073,0.066,1.1,197,GOP,DEM,0.3825277726825016,GOP
34,0.009,results_top_three_domain_frac_progressive.com,97,100,0.14213197969543145,0.137,0.147,1.07,197,GOP,DEM,0.6967988512708807,DEM
35,0.008,results_top_domain_frac_progressive.com,97,100,0.2639593908629442,0.268,0.26,1.03,197,GOP,DEM,0.8987963327300336,GOP
36,0.0,results_full_domain_frac_theatlantic.com,97,100,0.007841988806455811,0.008,0.008,1.04,197,GOP,DEM,0.927645912050997,GOP
37,0.0,results_top_three_domain_frac_theatlantic.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
38,0.0,results_top_domain_frac_theatlantic.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
39,0.002,results_full_domain_frac_healthcare.gov,97,100,0.01952362358453729,0.021,0.018,1.12,197,GOP,DEM,0.8033921879897812,GOP
40,0.002,results_top_three_domain_frac_healthcare.gov,97,100,0.06091370558375635,0.062,0.06,1.03,197,GOP,DEM,0.9445914931700452,GOP
41,0.003,results_top_domain_frac_healthcare.gov,97,100,0.10152284263959391,0.103,0.1,1.03,197,GOP,DEM,0.9430915785190193,GOP
42,0.0,results_full_domain_frac_allstate.com,97,100,0.03700673269201188,0.037,0.037,1.01,197,GOP,DEM,0.9463511443625587,GOP
43,0.0,results_top_three_domain_frac_allstate.com,97,100,0.10321489001692047,0.103,0.103,1.0,197,GOP,DEM,0.9913169439483385,DEM
44,0.127,*results_top_domain_frac_allstate.com,97,100,0.16243654822335024,0.227,0.1,2.27,197,GOP,DEM,0.0163624228205855,GOP
45,0.05,**results_full_domain_frac_MapsLocations,97,100,0.0553272869262717,0.03,0.08,2.67,197,GOP,DEM,1.5336504669667308e-13,DEM
46,0.086,**results_top_three_domain_frac_MapsLocations,97,100,0.07783417935702198,0.034,0.12,3.49,197,GOP,DEM,1.3818628066127122e-05,DEM
47,0.078,results_top_domain_frac_MapsLocations,97,100,0.1218274111675127,0.082,0.16,1.94,197,GOP,DEM,0.09591499570060968,DEM
48,0.0,results_full_domain_frac_healthinsurance.org,97,100,0.007809449433814917,0.008,0.008,1.03,197,GOP,DEM,0.9430915785190193,GOP
49,0.0,results_top_three_domain_frac_healthinsurance.org,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
50,0.0,results_top_domain_frac_healthinsurance.org,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
51,0.0,results_full_domain_frac_investopedia.com,97,100,0.007841988806455811,0.008,0.008,1.04,197,GOP,DEM,0.927645912050997,GOP
52,0.0,results_top_three_domain_frac_investopedia.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
53,0.0,results_top_domain_frac_investopedia.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
54,0.007,results_full_domain_frac_youtube.com,97,100,0.02465554749818709,0.028,0.021,1.31,197,GOP,DEM,0.3904245068752279,GOP
55,0.0,results_top_three_domain_frac_youtube.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
56,0.0,results_top_domain_frac_youtube.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
57,0.014,*results_full_domain_frac_foragentsonly.com,97,100,0.02003263234227701,0.027,0.013,2.09,197,GOP,DEM,0.04044795317270431,GOP
58,0.0,results_top_three_domain_frac_foragentsonly.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
59,0.0,results_top_domain_frac_foragentsonly.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
60,0.001,results_full_domain_frac_nytimes.com,97,100,0.008270916900358525,0.008,0.009,1.08,197,GOP,DEM,0.8450559165804009,DEM
61,0.0,results_top_three_domain_frac_nytimes.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
62,0.0,results_top_domain_frac_nytimes.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
63,0.001,results_full_domain_frac_farmers.com,97,100,0.023027226580526076,0.022,0.024,1.06,197,GOP,DEM,0.8295265054117527,DEM
64,0.004,results_top_three_domain_frac_farmers.com,97,100,0.032148900169204735,0.034,0.03,1.15,197,GOP,DEM,0.7573335879615134,GOP
65,0.0,results_top_domain_frac_farmers.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
66,0.004,results_full_domain_frac_metlife.com,97,100,0.01338255652976465,0.015,0.011,1.36,197,GOP,DEM,0.5029370478876571,GOP
67,0.002,results_top_three_domain_frac_metlife.com,97,100,0.032148900169204735,0.031,0.033,1.08,197,GOP,DEM,0.8645863669785191,DEM
68,0.063,results_top_domain_frac_metlife.com,97,100,0.06091370558375635,0.093,0.03,3.09,197,GOP,DEM,0.06844618866695838,GOP
69,0.001,results_full_domain_frac_wikipedia.org,97,100,0.039997439109114234,0.04,0.04,1.02,197,GOP,DEM,0.9215197887188216,DEM
70,0.028,*results_top_three_domain_frac_wikipedia.org,97,100,0.02368866328257191,0.038,0.01,3.78,197,GOP,DEM,0.024217780782625917,GOP
71,0.0,results_top_domain_frac_wikipedia.org,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
72,0.008,results_full_domain_frac_thegeneral.com,97,100,0.023357944931548993,0.027,0.019,1.41,197,GOP,DEM,0.1566435394429853,GOP
73,0.024,*results_top_three_domain_frac_thegeneral.com,97,100,0.015228426395939087,0.027,0.003,8.25,197,GOP,DEM,0.016503997190942064,GOP
74,0.0,results_top_domain_frac_thegeneral.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
75,0.001,results_full_domain_frac_uhc.com,97,100,0.008590394377196409,0.008,0.009,1.16,197,GOP,DEM,0.7322020898669448,DEM
76,0.0,results_top_three_domain_frac_uhc.com,97,100,0.00676818950930626,0.007,0.007,1.03,197,GOP,DEM,0.9756112884613004,GOP
77,0.0,results_top_domain_frac_uhc.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
78,0.01,results_full_domain_frac_progressive.insurance,97,100,0.0219361856417694,0.027,0.017,1.62,197,GOP,DEM,0.14461765262261608,GOP
79,0.021,results_top_three_domain_frac_progressive.insurance,97,100,0.02368866328257191,0.034,0.013,2.58,197,GOP,DEM,0.08796782129108678,GOP
80,0.0,results_top_domain_frac_progressive.insurance,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
81,0.01,results_full_domain_frac_apple.com,97,100,0.024383611312545322,0.029,0.02,1.49,197,GOP,DEM,0.2021701364800574,GOP
82,0.0,results_top_three_domain_frac_apple.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
83,0.0,results_top_domain_frac_apple.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
84,0.003,results_full_domain_frac_nationwide.com,97,100,0.041575260610793606,0.043,0.04,1.07,197,GOP,DEM,0.6709443913213436,GOP
85,0.001,results_top_three_domain_frac_nationwide.com,97,100,0.0338409475465313,0.034,0.033,1.03,197,GOP,DEM,0.9430915785190193,GOP
86,0.0,results_top_domain_frac_nationwide.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
87,0.003,results_full_domain_frac_safeauto.com,97,100,0.020166719912912804,0.021,0.019,1.14,197,GOP,DEM,0.6304503499487281,GOP
88,0.003,results_top_three_domain_frac_safeauto.com,97,100,0.001692047377326565,0.003,0.0,inf,197,GOP,DEM,0.31982446100278666,GOP
89,0.0,results_top_domain_frac_safeauto.com,97,100,0.0,0.0,0.0,,197,GOP,DEM,,
90,0.028,results_full_snippet_mean_polarity,97,100,0.5161204771793351,0.53,0.503,1.05,197,GOP,DEM,0.0616241843130937,GOP
91,0.078,*results_top_three_snippet_mean_polarity,97,100,0.5327033840947547,0.572,0.494,1.16,197,GOP,DEM,0.004914356361383285,GOP
92,0.006,results_top_snippet_mean_polarity,97,100,0.6212116751269036,0.618,0.624,1.01,197,GOP,DEM,0.8752956420880218,DEM
93,0.028,results_full_snippet_mean_polarity,97,100,0.5161204771793351,0.53,0.503,1.05,197,GOP,DEM,0.0616241843130937,GOP
94,0.078,*results_top_three_snippet_mean_polarity,97,100,0.5327033840947547,0.572,0.494,1.16,197,GOP,DEM,0.004914356361383285,GOP
95,0.006,results_top_snippet_mean_polarity,97,100,0.6212116751269036,0.618,0.624,1.01,197,GOP,DEM,0.8752956420880218,DEM
96,0.076,**results_avg_jacc,97,100,0.7351836570508811,0.774,0.698,1.11,197,GOP,DEM,1.987515016875189e-05,GOP
97,0.855,*results_avg_edit,97,100,4.4197168047021105,3.986,4.841,1.21,197,GOP,DEM,0.009745025569289108,DEM
