,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.267,**results_top_three_domain_frac_google.com,10,10,0.19999999999999998,0.333,0.067,5.0,20,GOP,DEM,0.00020249932206764027,progressive,GOP
1,0.033,results_top_three_domain_frac_MapsLocations,10,10,0.3166666666666666,0.3,0.333,1.11,20,GOP,DEM,0.3434363961379127,insurance companies,DEM
2,0.2,*results_top_three_domain_frac_MapsLocations,10,10,0.09999999999999999,0.0,0.2,inf,20,GOP,DEM,0.005121072764272635,auto insurance,DEM
3,0.067,results_top_three_domain_frac_MapsLocations,10,10,0.03333333333333333,0.0,0.067,inf,20,GOP,DEM,0.16785065605707486,geico insurance,DEM
4,0.2,*results_top_three_domain_frac_MapsLocations,10,10,0.13333333333333333,0.033,0.233,7.0,20,GOP,DEM,0.004811028180854976,progressive insurance,DEM
5,0.2,*results_top_three_domain_frac_MapsLocations,10,10,0.09999999999999999,0.0,0.2,inf,20,GOP,DEM,0.005121072764272635,car insurance,DEM
6,0.1,results_top_three_domain_frac_MapsLocations,9,10,0.05263157894736842,0.0,0.1,inf,19,GOP,DEM,0.0811261888458405,geico,DEM
7,0.067,results_top_three_domain_frac_MapsLocations,10,10,0.03333333333333333,0.0,0.067,inf,20,GOP,DEM,0.16785065605707486,progressive,DEM
8,0.067,results_top_three_domain_frac_wikipedia.org,10,10,0.06666666666666667,0.1,0.033,3.0,20,GOP,DEM,0.2900334160014484,progressive insurance,GOP
9,0.23,*results_top_three_domain_frac_wikipedia.org,9,10,0.17543859649122806,0.296,0.067,4.44,19,GOP,DEM,0.0010167343450582327,geico,GOP
10,0.067,results_top_three_domain_frac_thegeneral.com,10,10,0.03333333333333333,0.067,0.0,inf,20,GOP,DEM,0.16785065605707486,auto insurance,GOP
11,0.167,*results_top_three_domain_frac_thegeneral.com,10,10,0.11666666666666665,0.2,0.033,6.0,20,GOP,DEM,0.01972363221865994,car insurance,GOP
