,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.016,**results_full_domain_frac_debt.org,95,100,0.012306496921881536,0.021,0.004,4.7,195,GOP,DEM,0.0001916857736035901,GOP
1,0.044,**results_full_domain_frac_MapsLocations,95,100,0.03083945968561353,0.008,0.052,6.29,195,GOP,DEM,3.18883190465286e-14,DEM
2,0.009,results_full_domain_frac_UserTweetCarousel,95,100,0.021336996336996338,0.017,0.026,1.57,195,GOP,DEM,0.19299268014302115,DEM
3,0.002,results_full_domain_frac_wikipedia.org,95,100,0.029733727810650888,0.029,0.031,1.05,195,GOP,DEM,0.8397128848578405,DEM
4,0.02,*results_top_three_domain_frac_tdbank.com,95,100,0.010256410256410256,0.0,0.02,inf,195,GOP,DEM,0.013556758919315058,DEM
5,0.021,*results_top_three_domain_frac_debt.org,95,100,0.017094017094017092,0.028,0.007,4.21,195,GOP,DEM,0.04616724391568896,GOP
6,0.025,*results_top_three_domain_frac_santanderbank.com,95,100,0.02222222222222222,0.035,0.01,3.51,195,GOP,DEM,0.03829221557370874,GOP
7,0.025,*results_top_three_domain_frac_rocketloans.com,95,100,0.02222222222222222,0.035,0.01,3.51,195,GOP,DEM,0.03829221557370874,GOP
8,0.072,**results_top_three_domain_frac_MapsLocations,95,100,0.058119658119658114,0.021,0.093,4.43,195,GOP,DEM,4.5033196777020474e-05,DEM
9,0.002,results_top_three_domain_frac_UserTweetCarousel,95,100,0.034188034188034185,0.035,0.033,1.05,195,GOP,DEM,0.9042954143135878,GOP
10,0.002,results_top_three_domain_frac_wikipedia.org,95,100,0.034188034188034185,0.035,0.033,1.05,195,GOP,DEM,0.9042954143135878,GOP
11,0.095,*results_top_domain_frac_santanderbank.com,95,100,0.05641025641025641,0.105,0.01,10.53,195,GOP,DEM,0.0049071540204434555,GOP
12,0.075,*results_top_domain_frac_rocketloans.com,95,100,0.06666666666666667,0.105,0.03,3.51,195,GOP,DEM,0.0382922155737088,GOP
13,0.197,**results_top_domain_frac_MapsLocations,95,100,0.1641025641025641,0.063,0.26,4.12,195,GOP,DEM,0.00015325153560760062,DEM
14,0.08,*results_top_domain_frac_citizensbank.com,95,100,0.041025641025641026,0.0,0.08,inf,195,GOP,DEM,0.004158024036355915,DEM
15,0.0,results_top_domain_frac_UserTweetCarousel,95,100,0.0,0.0,0.0,,195,GOP,DEM,,
16,0.0,results_top_domain_frac_wikipedia.org,95,100,0.0,0.0,0.0,,195,GOP,DEM,,
