,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,query,winner
0,0.05,*results_full_domain_frac_debt.org,10,10,0.041666666666666664,0.067,0.017,4.0,20,GOP,DEM,0.0051629256736767815,personal loans,GOP
1,0.043,*results_full_domain_frac_debt.org,9,10,0.020242914979757085,0.043,0.0,inf,19,GOP,DEM,0.01334906342601871,loan,GOP
2,0.064,*results_full_domain_frac_debt.org,10,10,0.05909090909090908,0.091,0.027,3.33,20,GOP,DEM,0.0013229505842674947,loans bad credit,GOP
3,0.025,results_full_domain_frac_MapsLocations,10,10,0.0125,0.0,0.025,inf,20,GOP,DEM,0.16785065605707492,quicken,DEM
4,0.072,**results_full_domain_frac_MapsLocations,10,10,0.035984848484848495,0.0,0.072,inf,20,GOP,DEM,0.00020540265120850396,personal loans,DEM
5,0.051,*results_full_domain_frac_MapsLocations,9,10,0.05263157894736842,0.026,0.077,3.0,19,GOP,DEM,0.003949772803445329,loan,DEM
6,0.073,**results_full_domain_frac_MapsLocations,10,10,0.04507575757575758,0.008,0.082,9.82,20,GOP,DEM,1.2655377739370363e-05,bank loans,DEM
7,0.062,*results_full_domain_frac_MapsLocations,9,10,0.03289473684210526,0.0,0.062,inf,19,GOP,DEM,0.014956363910414203,quicken loans,DEM
8,0.055,*results_full_domain_frac_MapsLocations,10,10,0.027272727272727275,0.0,0.055,inf,20,GOP,DEM,0.005121072764272635,loans bad credit,DEM
9,0.034,*results_full_domain_frac_MapsLocations,9,10,0.06072874493927125,0.043,0.077,1.8,19,GOP,DEM,0.03526520347508006,payday loans,DEM
10,0.064,**results_full_domain_frac_MapsLocations,10,10,0.04090909090909091,0.009,0.073,8.0,20,GOP,DEM,0.0006237457011994752,home loans,DEM
