,average count,average rank,domain
0,1.0,2.3,dailycaller.com
1,1.2,2.7,businessinsider.com
2,1.0,2.3,cnbc.com
3,1.0,1.3,nytimes.com
4,1.0,1.4,washingtonpost.com
5,1.0,2.0,ibtimes.com
6,1.0,1.0,go.com
7,1.0,1.5,bloomberg.com
8,1.0,1.0,latimes.com
9,1.5,1.8,breitbart.com
10,1.0,1.0,foxnews.com
11,2.0,1.5,seekingalpha.com
12,1.0,2.0,ndtv.com
13,1.0,2.5,politico.com
14,1.6,2.0,cnn.com
15,1.9,2.4,247sports.com
16,1.0,2.9,huffingtonpost.com
17,1.0,2.0,theadvocate.com
18,1.0,2.0,independent.co.uk
19,1.0,2.0,wcvb.com
