,code_str,key
0,organization-none,DPInfoCtr
1,individual-political,alfranken
2,organization-political,CAL_FIRE
3,individual-political,VCFD_PIO
4,organization-none,RedCrossLA
5,individual-corporate,RyanShazier
6,organization-corporate,Eagles
7,individual-corporate,cj_wentz
8,organization-corporate,CFBPlayoff
9,organization-corporate,pizzahut
10,organization-corporate,dominos
11,organization-corporate,McDonalds
12,organization-corporate,mcdonaldscorp
13,organization-corporate,amazon
14,organization-corporate,Walmart
15,organization-corporate,chevrolet
16,organization-corporate,Honda
17,organization-corporate,Toyota
18,organization-corporate,WellsFargo
19,individual-political,realDonaldTrump
20,individual-political,HillaryClinton
21,individual-political,barackobama
